str_no_string|CHYBÍ TEXT!
str_npc16_personalityclash_speech_b|Včera přišla a nabídla se, že mi přičaruje štěstí. Mně, muslimce. Vždyť přece Alláh považuje čarodějnictví za smrtelný hřích...
str_npc1_personalityclash2_speech|Kozák v družině - to je hotové neštěstí! A když se jmenuje {s11}, je to stokrát horší. Jestli s námi zůstane i nadále, budu se s tebou muset rozloučit, {synku/dceruško}.
str_npc2_personalityclash2_speech|Možná, že teď není vhodné o tom mluvit, {pane/paní}, ale ta {s11}, to je určitě opravdová čarodějnice. Několikrát jsem ji potkal za úplňkové noci na hřbitově. Sbírala tam nějaké kořínky. Hrůza pomyslet, co z nich asi dělá.
str_npc3_personalityclash2_speech|Přísahám při panence Marii, kozák {s11} je pěkný mizera, {pane/paní}! Nemluvě o tom, jak strašně nenávidí nás, počestné katolíky. Už jsem viděl ledacos, ale aby člověk vypil na posezení plný kotel kořalky a pak obcházel tábor a hledal, s kým by se mohl porvat... no tak to vidím poprvé.
str_npc4_personalityclash2_speech|Já to nechápu. Ten {s11} vůbec nepije kořalku! Jaký z něj tedy, čert aby ho spral, bude rytíř?
str_npc5_personalityclash2_speech|{Veliteli/Velitelko}, promiň mi mou otevřenost, ale ten litevský přivandrovalec {s11} mě pořád otravuje. Považuje se za důstojníka a myslí si, že mu snad budu dělat pucfleka nebo co.
str_npc6_personalityclash2_speech|Inu, {pane/paní}, jsem prost
str_npc7_personalityclash2_speech|Poslyš, kapitáne. {s11} mi dělá ze života hotové peklo. Nejdřív mě začala komandovat, říkala mi synku a pak se dokonce chtěla přestěhovat se blíž k mému stanu.
str_npc8_personalityclash2_speech|Je tu jeden problém, {playername}! Ta tvá strážkyně, {s11}, mě od prvního dne nemá v lásce. Čekám od ní nějakou levárnu. 
str_npc9_personalityclash2_speech|Ten {s11}! Zase mi přímo před nosem vyfoukl lepší místo a ani se neomluvil! Jestli se ten tataráč nenaučí chovat, jak se patří na kulturního člověka, budu mu muset dát lekci!
str_npc10_personalityclash2_speech|{s11} je nebezpečný člověk. Jestli on je doktor, jsem já patriarchou v Jeruzalémě, takže, jednoduše řečeno, proč ho vlastně v družině máme?
str_npc11_personalityclash2_speech|{s11} je vyzvědačka od Girejů! Určitě ji poslali, aby mě vyřídila.
str_npc12_personalityclash2_speech|Byl bych úplně spokojený a vůbec bych si nestěžoval, nebýt {s11}. Ta ženská mě nenávidí. Říká, že jí připomínám nebožtíka manžela.
str_npc13_personalityclash2_speech|Dlouho jsem si to nechala líbit, ale všechno má své meze. Ten {s11} si mě zřejmě začíná ztotožňovat s tou slečinkou, která si ho tak snadno omotala kolem prstu. Jenže mně je ta jeho péče a nadbíhání těžce proti srsti.
str_npc14_personalityclash2_speech|Pověz mi na rovinu, proč vlastně máme v družině toho mastičkáře? {s11} je šarlatán a budižkničemu. Z těch jeho patlanin je mi v jednom kuse špatně od žaludku, a jestli na mě ještě jednou vytáhne ty své hnusné pijavice, donutím ho, aby je sežral...
str_npc15_personalityclash2_speech|Poslyš, už zase nemáme ani kapku mouky. {s11}, ta tvá povedená trhovkyně, už zase koupila nahnilé maso a plesnivou zeleninu. Jak z toho mám podle tebe teď vyčarovat normální oběd?
str_npc16_personalityclash2_speech|{s11} je přivandrovalec s nesmyslnými představami o tom, že by Nogajové mohli mít vlastní chanát. Ten nás zatáhne do nějaké šlamastiky, věř mi...
str_npc1_personalityclash2_speech_b|Vždyť pořád jenom chlastá kořalku a vymýšlí, koho přepadnout a oloupit...
str_npc2_personalityclash2_speech_b|Určitě se chceš zeptat, co jsem tam v noci dělal já. Byl jsem se jenom podívat na hrob svých rodičů. Ale jestli to tak bude pokračovat, nebudu s tebou moct zůstat.
str_npc3_personalityclash2_speech_b|V posledním boji mě div nepřizabil, protože si mě spletl s nepřítelem. A k tomu neustále vřeští něco o "prokletých kacířích"! Pocházím se starého šlechtického rodu Spasokukockých a nenechám se zesměšňovat od nějakého vidláka.
str_npc4_personalityclash2_speech_b|Nezlob se, ale jestli se chlapi od nás dozví, že jsem s tím parchantem v jedné družině, budu pro smích celé Síči.
str_npc5_personalityclash2_speech_b|Jsem švédský landsknecht a sloužím tomu, kdo mi platí žold. A na prodej je můj kord, ale ne moje vojenská čest. Jestli to tak bude pokračovat, budeme se nakonec muset rozejít každý svou cestou.
str_npc6_personalityclash2_speech_b|Včera všem rozdávala nějaký odvar, prý "aby je nezasáhla kulka". Já jsem to nepil, zašel jsem místo toho do kostela zapálit svíčku. Ale jestli to tak půjde dál, tak na to svíčky brzy nebudou stačit.
str_npc7_personalityclash2_speech_b|Říká o mě, že jsem tupý bezcitný balvan a prostoduchý cucák. Ještě několik takových večerů a budu si hledat jinou společnost.
str_npc8_personalityclash2_speech_b|Inu, vzhledem ke své bývalé práci jsem nečekal, že mě lidé přijmou s otevřenou náručí, ale ona mě může kdykoliv podříznout jako ovci!
str_npc9_personalityclash2_speech_b|A co je nejhorší, v boji myslí jenom na zajatce, ne na splnění zadaných rozkazů. Pořád od něj slyším jenom "otroci, otroci"! Dělá z naší družiny učiněnou nájezdnickou hordu.
str_npc10_personalityclash2_speech_b|Dávej na něj trochu lepší pozor, jinak začnu pochybovat o tom, jestli chci zůstat ve tvé družině.
str_npc11_personalityclash2_speech_b|Ať si ode mě drží odstup, jinak si budeš muset vybrat - buď ona, nebo já!
str_npc12_personalityclash2_speech_b|Když bere do rukou zbraň, běhá mi mráz po zádech. Posledních pár dní nedokážu myslet na nic jiného.
str_npc13_personalityclash2_speech_b|A jestli si ten sprosťák myslí, že bude nějaké děvče mlčet a nechá si ty jeho obhroublé vtípky líbit, tak to se těžce plete.
str_npc14_personalityclash2_speech_b|Na tvém místě, {pane/paní}, už bych mu dávno ukázala, kde nechal tesař díru. Jinak si budu muset hledat nového velitele.
str_npc15_personalityclash2_speech_b|Něco ti povím. Za jednou pecí není pro dvě ženské dost místa. Nejsi přece žádný Tatar, abys měl na krku čtyři manželky. Takže jestli se mi bude i nadále plést do hospodaření...
str_npc16_personalityclash2_speech_b|Stačí, abys okem mrknul, a vypravím ho na cestu do Šeré stepi na setkání s jeho předky. Už tady jeho přítomnost snáším opravdu z posledních sil.
str_npc1_personalitymatch_speech|Ten {s11} se mi zamlouvá. Na to, že je to mohamedán a navíc kat, je velmi odvážným bojovníkem a prokazuje mi úctu.
str_npc2_personalitymatch_speech|Chci ti jen říct, kdybychom tak měli v družině víc vojáků, jako je ten {s11}, to by bylo terno! Představ si, že je to velmi vzdělaný člověk a umí výborně pouštět žilou.
str_npc3_personalitymatch_speech|Když mám tu příležitost, chci ti říct, že {s11} je jediný slušný člověk v družině, i když je to muslim.
str_npc4_personalitymatch_speech|Jak říkám. {s11}, to je panečku ženská. Včera jsem ji štípl do boku a schytal jsem takovou ránu ohlávkou, že jsem se sotva udržel na nohou.
str_npc5_personalitymatch_speech|Řeknu ti, jestli máme v družině nějakého pořádného člověka, je to {s11}. Já jsem sice luterán, ale stejně ho považuju za svého duchovního pastýře. Zvláště od té doby, co jsme spolu celou noc debatovali nad soudkem dobrého tokajského vína.
str_npc6_personalitymatch_speech|Pane, cítím se zdravý a plný síly. {s11} mi před chvílí přiložil pijavice. Ten doktor si zaslouží obdiv a uznání.
str_npc7_personalitymatch_speech|Promiň, jestli se pletu do věcí, po kterých mi nic není, kapitáne, ale chtěl bych tě na něco upozornit. {s11}, to je skutečný bojovník a mistr vojenského řemesla!
str_npc8_personalitymatch_speech|Člověk by to neřekl, ale Tataři a kozáci jsou bratrské národy! Včera v noci jsme se já a {s11} vraceli z hospody, drželi jsme se kolem ramen a zpívali jsme si. On kozácké písničky a já tatarské. Šlo nám to náramně, vesničané vylézali z chatrčí polooblečení, jen aby si nás poslechli.
str_npc9_personalitymatch_speech|Blahoslaven buď ten den, kdy se k nám přidala {s11}! Jídlo, pití a ... prosté radosti vojenského života pro nás vojáky ve službě hodně znamenají.
str_npc10_personalitymatch_speech|Hmm. {s11} má pro strach uděláno. A nebojí se pohledu na krev.
str_npc11_personalitymatch_speech|My Nogajové jsme měli ukrajinská děvčata vždycky v oblibě. A naše {s11}, to je ženská krev a mlíko. Až se mi podaří vydobýt pro Nogaje nezávislost a stanu se chánem, hned ten den si ji vezmu za ženu. Milovanou ženu, samozřejmě.
str_npc12_personalitymatch_speech|Když už mám tu možnost, chci ti říct, že {s11} je výborný chlapík. Nevytahuje se, že zná svůj rodokmen jako někteří jiní, a vždycky rád pomůže kolegovi.
str_npc13_personalitymatch_speech|Už dávno bych od tebe odešla, nebýt {s11}. Ten stařík mi připomíná nebožtíka otce. Je to jedinečný člověk a cítím se v jeho společnosti v bezpečí!
str_npc14_personalitymatch_speech|Pane, řeknu ti to na rovinu. Ten dvorský flákač, který ve mně nevidí nic než bláto na svých podrážkách, se mi protiví. Ano, {s11}, toho myslím. Jsem vojenská markytánka, a ne nějaká hradní děvka.
str_npc15_personalitymatch_speech|Co je to tam v dálce za jezdce? Nevrací se to už {s11} z hlídky? Nechci nic říkat, ale je to slušný, uctivý pán. A vždycky mi pochválí jídlo, a vůbec...
str_npc16_personalitymatch_speech|{s11}, to je voják, jak má být. Možná má trochu obhroublé vtípky a neumí se chovat vybraně, ale zato ví, jak se má o sebe v bitvě postarat!
str_npc1_personalitymatch_speech_b|Kdyby mě náhodou někdy odsoudili k trestu smrti, nezlobil bych se, kdyby mi měl setnout hlavu právě on.
str_npc2_personalitymatch_speech_b|A nedávno mi jeho znalost medicíny zachránila život.
str_npc3_personalitymatch_speech_b|Není divu, že jsme si brzy začali rozumět. A kdyby se mi ho podařilo obrátit na křesťanskou víru, biskup by mi určitě hned zrušil klatbu.
str_npc4_personalitymatch_speech_b|A jaká je to dobrá hospodyňka! To je vidět, že je z Novgorodu, boršč a halušky se naučila vařit tak výborně, že si po jídle i prsty olizuješ. Dobře jsi udělal, žes ji k nám vzal.
str_npc5_personalitymatch_speech_b|A navíc je náš svatý otec, jak se ukázalo, schopný i v boji. Posledně se například bil tak dobře, že se nepříteli splašili koně a dali se na útěk.
str_npc6_personalitymatch_speech_b|Ten balzám, který mi po bitvě přiložil na rány, mě postavil za pár dní zase na nohy. Jsem rád, že toho učeného pána máme v družině.
str_npc7_personalitymatch_speech_b|Nejdřív mi připadal nafoukaný, ale pak se ukázalo, že je na něj ve všem spolehnutí.
str_npc8_personalitymatch_speech_b|Chceš mi snad připomenout, že Alláh neschvaluje pití vína? V zásadě máš pravdu, ale {s11} se v náboženství vyzná moc dobře. Vysvětlil mi, že o kořalce se v koránu nepíše ani slovo...
str_npc9_personalitymatch_speech_b|Naše vojenská markytánka je skvělá naprosto ve všem. Bože, kdyby tak nebyla prostého původu, hned bych jí nabídl svou ruku a srdce - lepší hospodyni pro své panství bych nenašel na celém světě.
str_npc10_personalitymatch_speech_b|Řeknu ti to takhle: když s námi bojuje on, jsme mnohem silnější.
str_npc11_personalitymatch_speech_b|A jestli je v umění lásky stejně zkušená, jako v přípravě lektvarů, musí se v rozkoši přímo utápět!
str_npc12_personalitymatch_speech_b|Škoda, že se rozhodl pro vojenskou kariéru. Byl by z něho výborný lékař.
str_npc13_personalitymatch_speech_b|A on pociťuje podobné duchovní pouto ke mně. Zajdu teď do lesa, vyhledám ty správné trávy a vyléčím mu tu pakostnici.
str_npc14_personalitymatch_speech_b|A jestli po mně ještě jednou hodí tu svou kamizolu a procedí mezi zuby, že mu to mám do rána přeprat, najdu si jinou vojenskou jednotku.
str_npc15_personalitymatch_speech_b|Jestli ho potkáš, vyřiď mu, aby přišel k obědu o něco dřív. Připravila jsem mu něco opravdu dobrého. Jo, kdyby tak byl můj muž býval takový kus chlapa a přitom tak galantní... To bych se pak nebyla musela ohánět válečkem...
str_npc16_personalitymatch_speech_b|Myslím, že by sis ho {měl/měla} pořádně všímat a dobře ho odměnit. Ten tě nikdy nezradí.
str_npc1_retirement_speech|Inu, co se dá dělat, {synku/děvenko}. Mám už svoje roky a nemůžu skákat jako kůzle a mlátit kolem sebe šavlí. Našetřil jsem si nějaké peníze, koupím si menší statek a tam se k stáru usadím...
str_npc2_retirement_speech|Musím ti něco říct, {pane/paní}. Od začátku se věci nedařily tak, jak jsem doufal. Promiň, ale chci od tebe odejít. Najdu si vhodnější společníky, shovívavější k mým zvykům.
str_npc3_retirement_speech|Stala se taková věc, {veliteli/velitelko}! Měl jsem v noci vidění. Panenka Marie mi řekla: vykonej pouť do Rigy, k biskupovi, a učiň pokání! Sejme z tebe kletbu a vrátí ti farnost. Nebylo to první takové znamení, asi bych tam měl jít...
str_npc4_retirement_speech|Mám práci, {hochu/děvče}. Bratři od Donu se vypravili do Persie, prý pro nějaké zboží. Chtějí, abych jel s nimi. Tak se prosím nezlob, ale já s nimi pojedu.
str_npc5_retirement_speech|Je mi to líto, {veliteli/velitelko}, ale jsem nucen tě požádat o zrušení naší smlouvy. Voják nepatří do žoldnéřské družiny, ale do pravidelné královské armády. Ať se ti vždycky daří!
str_npc6_retirement_speech|Poslyš, {pane/paní}. Srdce mi nedá pokoj, pořád jsem v myšlenkách u své ženy, jak se jí chudince v cizině asi vede. Tak se nezlob, ale musím tě na nějaký čas opustit.
str_npc7_retirement_speech|Kapitáne! Promiň mi to velkodušně, ale v poslední době si tu připadám jako páté kolo u vozu. Zkusím si najít jinou družinu. Někoho, kdo mě patřičně ocení.
str_npc8_retirement_speech|Odpusť, {pane/paní}, ale stala se taková věc. Kat ze sousedního města už byl moc starý a odešel na odpočinek. Nemáš ani zdání, jak se mi stýská po mé bývalé práci. Promiň, ale chci tam zajet a věnovat se svému řemeslu...
str_npc9_retirement_speech|{playername}, přišel čas, kdy se budeme muset rozloučit. Slyšel jsem, že se kolem Brjanska začalo bojovat, tak se tam chci vypravit a získat zpět državy, o které jsem přišel. Děkuju ti za všechno a vzpomínej na mě v dobrém.
str_npc10_retirement_speech|Nebudu chodit kolem horké kaše. Jsem voják štěstěny a tobě se v poslední době štěstí vyhýbá. Navíc jsem dostal výhodnější nabídku. Doufám, že se nepotkáme na bojišti. Sbohem.
str_npc11_retirement_speech|Přijel posel ze stepi, {pane/paní}! Nogajská horda je připravena zahájit tažení a osvobodit se od turecké nadvlády. Promiň, ale u toho prostě nesmím chybět!
str_npc12_retirement_speech|Inu, přišel čas, abych se s tebou rozloučil, milostivý pane. Místní obyvatelé mě uprosili, abych u nich zůstal bydlet a kurýroval je. Jsem ti vděčný za pomoc i za ochranu a kdybys někdy potřeboval přiložit pijavice, hned se na mě obrať.
str_npc13_retirement_speech|Už mě ty nekonečné nájezdy a bitvy unavují, {playername}! Zkusím si najít nějaký tichý koutek, kde bych mohla žít v klidu a věnovat se svým věcem. Na rozloučenou ti vyvěštím štěstí ve vojenských záležitostech.
str_npc14_retirement_speech|Promiň, {pane/paní}, ale už mi došla trpělivost. Tví vojáci jsou rozežraní a nevděční a tví společníci hrubí a nevychovaní. A kromě toho - nakupovat a přitom mít vlastní kapsu prázdnou, to při mém řemesle prostě nejde. Tady máš účetní záznamy, tady jsou napsané všechny výdaje a příjmy. Doufám, že se rozejdeme v dobrém.
str_npc15_retirement_speech|Trmácíme se po lesích a po polích jako nějací cikáni. Promiň, ale já půjdu a zkusím se radši vrátit domů. Děkuji ti za chléb a sůl, za pěkné přijetí i za to, co jsem se naučila.
str_npc16_retirement_speech|Promiň, ale nadále ti nemůžu s čistým svědomím dělat ochránce. Tví společníci a to, co děláš, je pro mě něco naprosto nepřijatelného. Sbohem, i když je možné, že se ještě potkáme.
str_npc1_rehire_speech|Víš, {synku/dcerko}, nejsem už sice nejmladší, ale klidný a pokojný život, to prostě není nic pro mě. Zvlášť pokud jsou kolem nepřátelé. Takže jestli mi objednáš číši dobrého vína, s radostí se vrátím pod tvou korouhev.
str_npc2_rehire_speech|Musím přiznat, že jsi byl nejlepším společníkem ze všech lidí, které jsem kdy potkal. Když jsem odešel, udělal jsem velkou chybu.
str_npc3_rehire_speech|To jsi ty, {pane veliteli/paní velitelko}! Kněz z Domského chrámu mi řekl, že prý věřit na prorocké sny je hřích a pověrčivost. Na tu dobu, co jsem si odseděl v biskupské šatlavě, ještě teď vzpomínám s hrůzou. Prostě, můžeš se mnou zase plně počítat.
str_npc4_rehire_speech|Ať ti zdraví slouží! Já jsem to tušil, že z toho nájezdu nevzejde nic dobrého. Osud tomu nechtěl, a tak jsem se při první příležitosti trhl. Takže kdybys mě vzal nazpátek, budu rád.
str_npc5_rehire_speech|{Můj pane/Má paní}! Pár týdnů u mušketýrského pluku mi úplně stačilo, abych si uvědomil, jakou chybu jsem udělal. Místo pořádného boje jsme měli od rána do večera pochodová cvičení a když jsem se vrátil z opušťáku trochu v náladě, nafasoval jsem deset ostrejch v base. A jak jsem tak seděl ve vlhké studené díře, vzpomínal jsem na tažení a říkal si, {playername}, to {byla panečku velitelka/byl panečku velitel}! S tebou jsem strávil asi nejlepší časy v životě. Tak už jsem i pergamen koupil a sepsal jsem si smlouvu. Můžeš mi ji podepsat?
str_npc6_rehire_speech|Tak jsem tě konečně našel. Ženu mám v pořádku, je živá a zdravá, a tak můžu jít zase k tobě do služby.
str_npc7_rehire_speech|Přeju ti dobré zdraví, kapitáne. Mýlil jsem se, když jsem říkal, že si najdu lepší společníky. Nevadilo by ti, kdybych se k vám zase přidal?
str_npc8_rehire_speech|Tebe jsem tu opravdu nečekal, {pane/paní}. Ukázalo se, že ve zdejších zemích se může katem stát jenom místní rodák. Tak jsem se zase musel živit příležitostnou prací. {Nevzal/Nevzala} bys mě zpátky?
str_npc9_rehire_speech|Jak bych ti to řekl, {playername}... Zřejmě bude jednodušší získat od tebe za věrnou službu nové državy než se snažit získat zpět ty staré! Myslím, že nebudeš proti tomu, abychom znovu bojovali pod stejnou zástavou, ne?
str_npc10_rehire_speech|Jeden vedle druhého jsou to podvodníci a mizerové! "Výhodnější nabídka" se jevila výhodnou přesně do té chvíle, než mi měli vyplatit žold! Za takovou almužnu bych ani nový bandalír nepořídil. Jinými slovy, jestli nemáš nic proti, vrátím se do tvé družiny.
str_npc11_rehire_speech|Tentokrát nám Alláh nebyl příznivě nakloněn. Utrpěli jsme porážku, ale náš boj za nezávislost tím samozřejmě neskončil. Prosím, vezmi mě zpátky, jestli mě ještě potřebuješ.
str_npc12_rehire_speech|Dary, kterými mě ti vesničané zahrnuli, stály za starou bačkoru a ani jsem si tam pořádně neprotáhl nohy. Kdepak, být vojenským doktorem je mnohem lepší. Můžu zase vstoupit do tvých služeb?
str_npc13_rehire_speech|Tak se znovu potkáváme. Měl jsi pravdu, válka je všude a na zemi už nezůstala žádná klidná místa. Tak jsem si řekla, že mi bude líp s vojáky.
str_npc14_rehire_speech|{Můj milý pane/Má milá paní}! Jak ráda tě zase vidím. Úděl svobodné markytánky je hořký a nezáviděníhodný - armády dneska nepotřebují dodavatele, velitelé prostě přikážou vyrabovat vesnice, přes které projíždějí. Proto prosím zapomeň na všechno, co jsem ti posledně říkala, a nezlob se na hloupou Švédku. Můžu se k tobě vrátit, viď?
str_npc15_rehire_speech|Ach, {pane/paní}, chudák vdova prostě dnes nemá v životě štěstí. Domek mi na rozkaz vojvody zabavili, a tak už se zase potloukám po světě. Vezmi mě zpátky k sobě, budu ti poctivě a věrně sloužit.
str_npc16_rehire_speech|Od té doby, co jsme se rozešli, ses hodně {změnil/změnila}. Doufám, že ne k horšímu. Můžu zase k tobě do služby, že ano?
str_npc1_home_intro|Vodovice! Území koruny Velkopolské! Tady jsem prožil svoje dětství a mládí!
str_npc2_home_intro|Kamenec! Prokleté, ale taky překrásné město.
str_npc3_home_intro|Krakov. Staré hlavní město Polska. Město velkých králů a horlivých katolíků.
str_npc4_home_intro|Tady odsud pocházím. Tatík dostal povolávací rozkaz ke korsuňskému pluku.
str_npc5_home_intro|Tady jsem se narodil a vyrostl jsem tady.
str_npc6_home_intro|Úkryt nebo nedostupné místo, které se dá dobře bránit, nebo taky přístřeší. To znamená slovo Tula. A tak se taky jmenuje mé rodné město.
str_npc7_home_intro|Rjazaň je první ruské město, které padlo pod náporem mongolských hord. Pocházím odsud.
str_npc8_home_intro|Tady, kde se Don vlévá do Azovského moře, je můj rodný kraj.
str_npc9_home_intro|Slyším zvon z vilniuské zvonice! Staré litevské hlavní město, mám na ně spoustu vzpomínek.
str_npc10_home_intro|Tady to poznávám! Tady jsme svedli jednu výbornou bitvu, když jsme přitáhli do vašich zemí.
str_npc11_home_intro|Širá step, kam oko dohlédne... můj rodný kraj.
str_npc12_home_intro|Přijíždíme do Kyjeva!
str_npc13_home_intro|Poltava. Dneska jméno toho městečka nikomu nic neříká, ale podle mých předpovědí tam brzy dojde k velké bitvě, která proslaví mé město po celém světě a budou ji opěvovat ti nejlepší kobzaři!
str_npc14_home_intro|Ještě pár mil a uvidíme hradby Rjazaně!
str_npc15_home_intro|Ta tichá řeka, která protéká lesem, se jmenuje Volchov. Do Novgorodu je to odsud, co by kamenem dohodil.
str_npc16_home_intro|Slyším šumění moře. Ještě kousek a uvidíš mou rodnou Kafu.
str_npc1_home_description|Právě tady se zrodila Rzeczpospolita. Naše šlechta miluje svobodu snad nejvíc ze všech lidí na celém Božím světě. I krále jsme si vždycky volili a potom byl první mezi sobě rovnými.
str_npc2_home_description|Odsud už není daleko do Rumunska, které stále považuji za svou vlast. A tohle je typické pohraniční městečko. Nevím o žádném sousedním národu, na který bychom někdy nelili smůlu ze zdejších hradeb. Byl tu chán Baty se Zlatou hordou i Olgerd se svými korouhvemi. Město obléhal Severin Nalivajko, Křivonos, Bohun, dokonce i sám Chmelnický.
str_npc3_home_description|Tady byl v roce 1386 pokřtěn litevský kníže Jagello. A jeho sňatek s královnou Jadwigou položil základ spojení Polska a Litvy v naši dnešní republiku, Rzeczpospolitu.
str_npc4_home_description|Korsuň založil ještě kníže Jaroslav Moudrý a teď se jí ze všech ukrajinských měst vyrovná snad jedině Čigirin.
str_npc5_home_description|Wiburg, město švédských křižáků, kteří do zdejších zemí přišli ve třináctém století, aby šířili světlo křesťanské víry mezi divokými a zaostalými pohany. První pevnost tady postavili v roce 1293 na příkaz krále Torgilse Knutssona.
str_npc6_home_description|Před půl stoletím se Tuly zmocnil Dmitrij Samozvanec a tady pak čekal, až bude dobyta Moskva. A o tři roky později se tu objevil další samozvaný carevič - Tušínský zloděj.
str_npc7_home_description|Dnešní město se nachází asi padesát verst od toho bývalého. Ale přesně tam je moje vlast.
str_npc8_home_description|Azak-Kale. Dřív se to tu jmenovalo Tana a donští kozáci tomu tady říkají Azov. Praděd mi vyprávěl, že prý městu kdysi vládli naši předkové a že náš rod pochází z Janova. A už tehdy jsme v mé rodině hrdě nosili znamení městských katů.
str_npc9_home_description|Slyšíte to vytí vlků? To je dobré znamení. Staří lidé vyprávějí, že ve zdejších lesích byl kdysi na lovu litevský kněz Gedimin a skolil prý tady tura. Když tady po lovu přenocoval, zdálo se mu o obrovském železném vlkovi. Byl to věštecký sen - na vršku, kde kníže ve snu viděl vlka, pak brzy založili pevnost.
str_npc10_home_description|Má vlast leží tuze daleko odsud...
str_npc11_home_description|My, potomci velkých chánů, jsme nepřišli do těchto zemí jako uprchlíci, ale jako právoplatní vládcové. Ale turecký sultán nám vnutil za pány Gireje z Krymu. Od té doby žijeme mizerně, skoro jako otroci.
str_npc12_home_description|Je to nádherné město, milostpane. Čas k němu sice nebyl milosrdný, ale i tak je hlavní město staré Rusi i nadále tím nejkrásnějším městem na celé zemi.
str_npc13_home_description|Zdejší polnosti jsou vyhlášené svou úrodnou černozemí a lesy jsou plné divoké zvěře. Žijí tu dobří lidé, kteří dodržují tradici chleba a soli. Kdyby nebylo té války...
str_npc14_home_description|Než dobyli Revel Švédové, bylo to svobodné město a patřilo se svazu Hansovních měst. Má rodina tam žije už od dob Livonského řádu.
str_npc15_home_description|Je to velké město, a bohaté. V dětství jsem se měla jako v bavlnce.
str_npc16_home_description|Mé rodné město má největší tržiště na celém světě. Pravda, zboží máme takové... specifické. Věnujeme otrokům zvláštní péči a dobře se o ně staráme - však taky jejich cena závisí na tom, jak dobře vypadají.
str_npc1_home_description_2|Jestli umřu, pochovejte mě na tichém hřbitůvku poblíž rodné obce.
str_npc2_home_description_2|Spolu s chlapy z domobrany jsem pomáhal bránit hlavní věž a viděl jsem město v obklíčení nesčetných kozáckých pluků. A vidíš, jak se mi jeho obyvatelé odvděčili...
str_npc3_home_description_2|Tohle město pro mě znamená něco víc než jenom vlast. Všechno tu na mě dýchá starobylostí...
str_npc4_home_description_2|Konala se tu velká bitva, v níž Chmelnický na hlavu porazil šlechtu. Jenže já jsem byl tehdy v tatarském zajetí.
str_npc5_home_description_2|Hospodin drží nad mým rodným městem ochrannou ruku. V září roku 1495 oblehli Wiburgskou pevnost pluky moskevského cara Ivana III. Ale když už se město chystalo spustit vlajku a otevřít bránu, objevil se na nebi kříž. Střelci se polekali božího hněvu a nechali město na pokoji. V naší rodině si to vyprávění předáváme z pokolení na pokolení.
str_npc6_home_description_2|Ve zdejších lesích mě otec učil lovit. Později, když už jsem se naučil číst zaječí stopy a trefit šípem do oka veverku, mě pak poslali do Moskvy.
str_npc7_home_description_2|Moje město sice není nijak velké, ale my, rjazaňští bojaři, jsme na svou zemi a na své předky hrdí!
str_npc8_home_description_2|Už to tady měl v držení snad každý - Skitové, Řekové, Rusíni, Pečeněhové. A teď ta pevnost představuje klíč ke Krymu.
str_npc9_home_description_2|Bývaly časy, kdy ve Vilniusu sídlila knížata, kterým patřila rozsáhlá území od Severního až k Černému moři...
str_npc10_home_description_2|Ale o tom ti povím až někdy jindy.
str_npc11_home_description_2|Nemáme vlastní města, paláce ani vojsko - ve všem jsme podřízeni bachčisarajským. Ale mou vlastní je slavný přitom Nogaj. A budu se za něj bít až do posledního dechu.
str_npc12_home_description_2|Nebýt těch strašných kureněvských kozáků, v životě bych nebyl své rodné předměstí opustil. Ale osud se neptá, co by člověk chtěl. Zvláště ne lidí s takovou nevděčnou profesí, jako je medicína.
str_npc13_home_description_2|Nemám těm negramotným sedlačiskům za zlé, že mě vyhnali. Však já jim to někdy vrátím. I s úroky.
str_npc14_home_description_2|Pro lidi z Revele je obchod celkem běžná práce. Můj otec dovážel do Anglie ruské konopí a já jsem od něj časem utekla a zařídila jsem si živobytí jako armádní dodavatel.
str_npc15_home_description_2|Panenky jsem neměla ráda a hrávala jsem si s kluky na vojáčky. Když jsem trochu vyrostla, začala jsem doma pomáhat s pečením. Tam se taky ukázalo, že váleček na těsto v pádné ruce není o nic horší než meč.
str_npc16_home_description_2|Jednou se sem možná vrátím a otevřu si vlastní podnik. Obchod s otroky je velmi výnosné zaměstnání.
str_npc1_home_recap|Jsem velkopolský šlechtic, příbuzný nejmocnějších urozených pánů z Rzeczpospolity.
str_npc2_home_recap|Můj rod po dlouhá staletí vládl v Rumunsku. Ale já jsem se narodil a vyrostl jsem v Kamenci.
str_npc3_home_recap|Můj otec byl nižším šlechticem z krakovského předměstí. Chtěl jsem se stát vojákem, ale tatík mě strčil do církevní školy.
str_npc4_home_recap|Kozácká usedlost poblíž Žlutých vod. Tam jsem vzal poprvé do ruky šavli a tam jsem taky vykouřil svou první fajfku tabáku.
str_npc5_home_recap|Můj rod odvozuje svůj původ od křižáků, kteří bojovali proti pohanům v Karelii a pak se v těch krajích usadili.
str_npc6_home_recap|Mám smutný osud. Projíždím přes rodné město, ale musím zůstat v utajení, ani na hrob svých rodičů nemůžu zajít!
str_npc7_home_recap|Naše léno leží kousek od Staré Rjazaně. Přesně tam jsem se narodil.
str_npc8_home_recap|Dívám se na rodný břeh, kde jsme si jako děti hráli na biřice a zbojníky, a slzy se mi derou do očí.
str_npc9_home_recap|Mí rodiče měli vlastní dům na Starém městě. Přesně tam mě taky maminka přivedla na svět.
str_npc10_home_recap|Dětství jsem prožil v paláci, ve srovnání se kterým vypadají honosné domy zdejších vládců jako chudé světničky...
