qstr_Next_Page|Další stránka
qstr_{s9}{s10}^Current_st|{s9}{s10}^Titul: {s11}^Maršál: {s12}^Od posledního útoku uplynulo: {reg1} hod.^Při útoku pomáhali: {reg2}^^
qstr_Selected_faction_is:|Vybraná frakce: {s10}^^{s9}
qstr_You_are_currently_re|Čteš knihu jménem {s8}.
qstr_You_are_not_reading_|Nečteš žádnou knihu.
qstr_none|nic
qstr_{s5}_and_{s6}|{s5} a {s6}
qstr_{s5}_{s6}|{s5}, {s6}
qstr_Renown:_{reg2}.^Hono|Proslulost: {reg2}^Respekt: {reg3}^Přátelé: {s8}^Nepřátelé: {s6}^{s9}
qstr_Your_estates_are:_{s|Tvá panství: {s8}.^{s9}
qstr_You_are_a_lord_of_{s|Jsi šlechtic {s8}.^{s9}
qstr_Current_party_size_l|Maximální velikost družiny je teď {reg5}.^^Ovlivňující faktory:^^Základní velikost:  +{reg4}^Velitelské schopnosti: {s2}{reg1}^Charisma: {s3}{reg2}^Proslulost: {s4}{reg3}^CELKEM:  {reg5}
qstr_Loyal|Věrnost
qstr_Devoted|Oddanost
qstr_Fond|Přátelství
qstr_Gracious|Vděk
qstr_Friendly|Obliba
qstr_Supportive|Podpora
qstr_Favorable|Přízeň
qstr_Cooperative|Sympatie
qstr_Accepting|Náklonnost
qstr_Indifferent|Neutrální
qstr_Suspicious|Podezíravé
qstr_Grumbling|Nesouhlasné
qstr_Hostile|Nepřátelství
qstr_Resentful|Odmítavé
qstr_Angry|Rozzlobené
qstr_Hateful|Nenávist
qstr_Revengeful|Pomstychtivé
qstr_Vengeful|Nevraživost
qstr_{s2}^{s4}:_{reg1}__{|{s2}^{s4}: {reg1} ({s3})
qstr_Your_relation_with_t|Tvé vztahy s frakcemi:^{s2}
qstr_V_{s10}_stroitsya_{s|V sídle {s10} se staví {s11}. Zbývá ještě {reg4} = {reg5}
qstr_V_{s10}_postroeno_{s|V sídle {s10} byla dokončena stavba: {s11}.
qstr_Player_renown_is_inc|Proslulost hráče se zvýšila na 100.
qstr_{reg1}_{s1}_{reg2?ac|{reg2?{s1} ({reg1} osob) přijímají:{reg1} {s1} přijímá} návrh.
qstr_No_one_accepts_the_o|Návrh nikdo nepřijal.
qstr_You_start_reading_{s|Díváš se do knížky s názvem {s2}. Stačilo si projít pár stránek a je ti jasné, že se z téhle knihy můžeš hodně naučit. Říkáš si, že bude dobré vzít si ji s sebou a číst si v ní vždycky, když budeš mít čas.
qstr_You_flip_through_the|Listuješ si v knížce s názvem {s2}, ale text je na tebe moc složitý. Z dalšího čtení tě začíná bolet hlava, budeš toho muset nechat.
qstr_You_paid_{reg3}_of_y|Žold tvým lidem činí {reg3}, v měšci máš {reg4} tolarů. Zůstalo ti {reg5} tolarů
qstr_Your_debt_to_your_me|Dlužíš svým lidem {reg3} tolarů, ale máš jenom {reg4}. Nezaplacená částka {reg5} tolarů se ti přičítá k dluhu. Morálka tvé družiny poklesla
qstr_This_week_s_wages:_{|Týdenní žold: {reg6} tolarů^Dluhy: {reg2} tolarů^Úhrn: {reg3} tolarů^Aktuální stav: {reg4} tolarů^^{s1}
qstr_Villagers|Rolníci
qstr_You_have_encountered|Setkání na cestě: {s1}.
qstr_Armiya_protivnika_po|Nepřátelská armáda ustoupila k táboru.
qstr_You_have_engaged_{s1|Přijíždíš na bojiště. Útočníkem je {s1}, {s3} se brání. Rozhodneš se, že {s3} potřebuje tvoji pomoc.
qstr_You_were_caught_by_{|{s1} tě dohání, zatímco cílem útoku tvých vojáků je {s3}.
qstr_You_were_victorious!|Vítězství je tvoje!
qstr_Battle_was_lost._You|Prohráváš. Tvé vojsko je na hlavu poraženo.
qstr_Your_companions_carr|Tví společníci tě odnesli z bojiště.
qstr_You_have_defeated_th|Podařilo se ti zvítězit nad nepřítelem.
qstr_You_have_retreated_f|Podařilo se ti ustoupit z bojiště.
qstr_^^Ally_Casualties:{s|^^Spojenecké ztráty:{s0}
qstr_{s1}_of_{s3}_managed|{s1} ({s3}) se úspěšně schoval.
qstr_{s17}|{s17}
qstr__V_gorode_ostalos_{r|Naživu zůstalo {reg0} vojáků, které jsi zajal. Co s nimi chceš udělat?
qstr__V_gorode_ostalos_{re|Naživu zůstalo {reg0} vojáků, které jsi osvobodil ze zajetí. Mají se přidat k posádce?
qstr_Victory_comment._Pla|Vítězství. Hráč zůstal sám.
qstr_Ordinary_victory_com|Běžné vítězství. Hráč s sebou přivedl nejméně 40 % posil.
qstr_Player_participation|Hráč se zúčastnil boje. Počáteční síla nepřítele přesahovala 1k.
qstr_No_victory_comment._|Žádné vítězství se nekonalo. Nebyla to velká bitva a hráč s sebou přivedl méně než 40 % všech spojeneckých vojsk.
qstr_Some_of_your_tendons|V boji ti přesekli nějaké šlachy. Tvá síla se snížila na 1.
qstr_You_took_a_nasty_wou|V boji tě ošklivě zasáhli do nohy a ještě dlouho po uzdravení budeš kulhat. Tvá rychlost se snížila na 1.
qstr_You_have_trouble_thi|Po boji se ti nějak nedaří soustředit - možná za to může ten silný úder do hlavy, který tě zasáhl. Kromě toho tě sužuje silná bolest hlavy. Tvá inteligence se snížila na 1.
qstr_Perhaps_I_m_getting_|Asi se ode mě odvrátilo štěstí...
qstr_Retirement_is_starti|Odchod na odpočinek vypadá čím dál, tím lákavěji.
qstr_No_matter!_I_will_pe|To nic není! To přežiju!
qstr_What_did_I_do_to_des|Čím jsem si to zasloužil?
qstr_I_suppose_it_ll_make|No co, aspoň budu mít o čem vyprávět.
qstr_Player_retreats_from|Hráč odchází z bojiště.
qstr_{s9}_wants_you_to_fo|{s9} chce, ať následuješ jeho armádu, dokud nedostaneš jiný rozkaz.
qstr_{s8}_of_{s9}|{s8} ({s9})
qstr__Your_own_banner_fli| Tahle pevnost je tvoje.
qstr__You_see_the_banner_| Majitelem této pevnosti je {s7}.
qstr__This_castle_seems_t| Tato pevnost nemá majitele.
qstr__Your_own_banner_flie| Nad městskou bránou vlaje tvá vlajka.
qstr__You_see_the_banner_o| Majitelem tohoto města je {s7}.
qstr__The_townsfolk_here_| Místní obyvatelé vyhlásili nezávislost.
qstr_Zapasov_edi_v_{reg6?|Zásoby jídla {reg6?ve městě:v pevnosti} postačí ještě na {reg3} dní.
qstr_Zapasov_edi_v_{reg6?g|Zásoby jídla {reg6?ve městě:v pevnosti} došly. Obránci hladoví.
qstr_Vi_stroite_lestnici_|Začínáš stavět žebříky. Práce bude hotova za {reg9} hodin.
qstr_Prokladka_podkopa_dl|Příprava nálože bude trvat ještě {reg9} hodin.
qstr_Postroika_lestnic_za|Přípravy byly dokončeny. Můžeš kdykoliv zahájit útok.
qstr_Postroika_podkopa_za|Přípravy byly dokončeny. Můžeš kdykoliv zahájit útok.
qstr_As_a_last_defensive_|Spolu se zbývajícími obránci ustupuješ do hlavní síně pevnosti, kde se svými vojáky svedeš poslední zoufalý boj. Jestli tě porazí, nebudeš mít kam ustoupit.
qstr_You_ve_been_driven_a|Musíš se stáhnout z hradeb a útočníci se hrnou do ulic. Pokud nad nimi zvítězíš, snad se ti je podaří vytlačit z města.
qstr_You_ve_breached_the_|Podařilo se ti probít za hradby, ale obránci zoufale pokračují v boji na ulicích! Budeš se s nimi muset vypořádat, než budeš moct zaútočit na pevnost v centru města.
qstr_The_town_centre_is_y|Podařilo se ti obsadit střed města, ale zbývající obránci se schovali v pevnosti. Pokud máš plně zvítězit, musí pevnost padnout.
qstr_The_remaining_defend|Zbývající obránci se schovali v pevnosti. Musíš je tam pronásledovat a rozdrtit poslední zbytky odporu.
qstr__kriticheskie|kritické
qstr__ogromnie|ohromné
qstr__visokie|vysoké
qstr_However_since_you_ar|Jelikož vládce {s9} dosud nevyslechl tvoji přísahu, neuznají tě v {reg8?tomto městě:této pevnosti} za svého {nového pána/novou paní}.
qstr_The_enemy_has_been_f|Nepřítel byl nucen ustoupit. Bitva skončila, ale obléhání pokračuje.
qstr__This_village_and_th|Tato vesnice a přilehlé polnosti teď patří tobě.
qstr__You_remember_that_t| Vzpomínáš si, že tato vesnice a přilehlé polnosti vlastní {s7}. 
qstr__These_lands_belong_|Tyto pozemky zatím nikomu nepatří.
qstr__{s3}__{reg9}_.| {s3} ({reg9}).
qstr__The_village_is_infe|Na vesnici útočí {s35} (je jich {reg8}).
qstr__The_village_has_bee|Vesnice byla vypleněna. Obyvatelé se vyděšeně rozutekli a ty se procházíš mezi vypálenými budovami.
qstr__The_village_is_bein|Na vesnici někdo zaútočil!
qstr_No_one_here_seems_to|Nikdo si nepřeje přidat se ke tvé družině.
qstr_One_{s3}_volunteers_|{s3} se hlásí, že se k tobě přidá.
qstr_{reg5}_{s3}_voluntee|{reg5} dobrovolníkům se zachtělo vyrazit s tebou.
qstr_Try_as_you_might_you|Ať se snažíš, jak se snažíš, nic s loupežníky nenaděláš. Nadšeně vesnici vyplenili a nenechali kámen na kameni, aby dali rolníkům za vyučenou, a nechali za sebou spálenou zemi.
qstr_village|vesnici
qstr_town|město
qstr_castle|pevnost
qstr_{s18}_{s0}|{s18}, {s0}
qstr_The_{s17}_has_no_imp|{s17} nemá k dispozici žádná vylepšení.
qstr_The_{s17}_has_the_fo|{s17} má k dispozici vylepšení: {s18}.
qstr_The_assasins_beat_yo|Vrahové tě zbili a odhodili tvé tělo v domnění, že už je po tobě.
qstr_You_have_fallen._The|Sotva padneš, zbojníci tě rychle prohledají, oberou tě o všechno, co mělo aspoň jakous-takous cenu, a mizí v noční temnotě. No co, jsi naživu, a to je nejdůležitější.
qstr_Luckily_some_of_your|Naštěstí už byli tví společníci neklidní, že dlouho nejdeš, vypravili se tě hledat a našli tě ležet u cesty. Odnesli tě na bezpečné místo a ošetřili ti rány.
qstr_Luckily_some_passing|Naštěstí tě pár lidí z městečka našlo ležet u cesty a domysleli si, že nebudeš obyčejný žebrák nebo ochlasta. Odnesli tě do nejbližší zájezdní hospody a ošetřili ti rány.
qstr_You_fail_to_steal_an|Nepodařilo se ti ukrást dobytek.
qstr_You_drive_away_{reg1|Z vesnického stáda se ti podařilo odehnat {reg17} {reg12?:} kusů dobytka.
qstr_OiM_Teper_luchshe_{s|Bude lepší, když tě teď {s9} hodně dlouho neuvidí.
qstr_OiM_Potop_Loshad_tep|Máš koně. Je na čase vrátit ho panu Skrzetuskému.
qstr_You_are_at_{s2}.|Toto místo se jmenuje {s2}.
qstr__You_have_successful|Podařilo se ti proklouznout dovnitř.
qstr___{reg1}_denars_per_| ({reg1} tol. za noc)
qstr_Moreover_you_earn_{r|K tomu dostáváš ještě {reg8} tolarů za chytré sázky na své vlastní vítězství.
qstr_Victory_is_yours!_Yo|Vítězství je tvoje! Tento boj vyhráváš, ale musíš se připravit na další kolo.
qstr_You_have_been_bested|Sice tě v tomhle boji porazili, ale pořadatel uznává tvou dovednost a odvahu a povolil ti účast v dalším kole.
qstr_{s11}^{s12}|{s11}^{s12}
qstr_You_were_beaten._The|Porazili tě. Rolníci mají radost z úspěchu, ale nepodařilo se ti jim udělit zamýšlenou lekci...
qstr_After_beating_your_l|Po poražení všech protivníků, začneš rolníkům vysvětlovat, jak se mají proti takovým útokům co nejlépe bránit. Doufejme, že to pochopí a správně se připraví.
qstr_The_bandits_are_brok|Zbojníci jsou poraženi! Těch pár, kteří zůstali živí a jakž takž zdraví, pelášilo pryč a ani se neohlédlo, takový strach měli z rolníků a z jejich nového ochránce.
qstr_{s1}_s_Ship|Kapitán lodi: {s1}
qstr_^{s3}_=_{reg1}{s1}|^{s3} = {reg1}{s1}
qstr_^{s3}_=_{reg1}{s2}|^{s3} = {reg1}{s2}
qstr_However_{reg3?You_ar|Jenže {reg3?nemáš:{s1}} kde vzít tolik tolarů, aby z toho byl nějaký zisk.
qstr_^Buying_{s4}_here_an|^Když tady nakoupíš určité zboží ({s4}) a prodáš ho v obci {s5}, budeš na tom mít zisk ve výši {reg6} tolarů za kus. {s3}
qstr_{reg3?You_find:{s1}_|{reg3?Vysvětluješ:{s1} vysvětluje}, jak se věci mají:^{s3}
qstr__Continue....|Pokračovat...
qstr__Ne_hvataet_money_nu|Nemáš dost peněz. Potřebuješ {reg8} tolarů.
qstr__Back|Pokračovat...
qstr__Stoimost_{reg8}_din|Cena: {reg8} tolarů.
qstr__Continue|Pokračovat...
qstr_{s2}^{reg1}_{s1}_ear|{s2}^{reg1} {s1} dostává {reg0} zkušenostních bodů.
qstr_{s2}^{s1}_earned_an_|{s2}^{s1} dostává ještě {reg0} zkušenostních bodů.
qstr_^You_earned_{reg0}_e|^Dostáváš {reg0} zkušenostních bodů.{s2}
qstr_The_training_didn_t_|Výcvik dopadl velmi špatně.
qstr_The_training_didn_t_g|Výcvik nedopadl nejlépe.
qstr_The_training_went_qu|Výcvik dopadl celkem normálně.
qstr_The_training_went_ve|Výcvik dopadl velmi dobře.
qstr_The_training_went_pe|Výcvik dopadl výborně.
qstr_{s13}_asked_you_to_r|{s13} tě žádá, ať mu přijdeš na pomoc s vojskem, máš s sebou přivést nejméně {reg13} vojáků.
qstr_{s13}_ordered_you_to|{s13} ti přikazuje zúčastnit se útoku, jehož cílem je {s14}.
qstr_Find_and_speak_with_|Vyhledej vládce jménem {s3} ze země {s4} a slož mu přísahu věrnosti.
qstr_you|ty
qstr_OiM_You_ve_failed_to|Nepodařilo se ti ubránit vesnici.
qstr_OiM_You_ve_protected|Nepřátelé jsou poraženi, cesta je volná.
qstr_OiM_You_ve_failed_to_|Koně se ti nakonec doručit nepodařilo.
qstr_OiM_You_ve_protected_|Kůň je živý a zdravý. Nejvyšší čas ho doručit, kam je třeba, než si na něj zase někdo začne dělat chutě.
qstr_OiM_Da_takoe_bivaet_|Ano, taková šance se naskytne jen jednou v životě!
qstr_OiM_Potop_Pani_osvob|Paní je osvobozena! Je čas vyrazit na zpáteční cestu.
qstr_OiM_Potop_kshetuskiy|Probít se do konírny.
qstr_OiM_You_ve_failed_to_w|Ani tak se ti nepodařilo prolomit nepřátelský nápor, a bitvu jsi prohrál.
qstr_OiM_You_ve_got_the_h|Kůň je živý a zdravý. Nejvyšší čas ho doručit, kam je třeba, než si na něj zase někdo začne dělat chutě.
qstr_Kozaki_podnyali_na_n|Kozáci zburcovali stráže!
qstr_OIM_getman_heroe_can|List od preceptora rumunského města Berghoff nejvyššímu magistrovi: ^^Vážený pane! O legendárním Černém hejtmanovi se nám podařilo zjistit toto: jedná se o relikvii jedné z rodových větví vládců staré Rusi. Podle rodových skazek olegovských knížat uzavřeli v polovině 12. století po Kristu jejich předkové tajnou úmluvu s pohanskými knězími, takzvanými volchvy. Volchvové měli velký vliv na prosté lidi a knížecí rod se chtěl s jejich pomocí zmocnit vlády. ^^Právě tehdy prý volchvové předali Olegovcům Černého hejtmana - palcát, který propůjčuje svému vlastníkovi obrovskou moc, a knížata postavila nedaleko Kyjeva Kirillovský klášter, kde by měl být podle všeho palcát uschován. ^^Podobnou verzi si vyprávějí i vládcové Žmudi, Radziwillové - starý šlechtický rod, z něhož pochází řada pohanských kněží a jehož kořeny sahaji hluboho do rurikovských časů.
qstr_OIM_getman_heroe_nee|Ale ne, je to napsáno čert ví jakým starodávným jazykem. Tohle dokáže přešíst leda tak nějaký vědátor.
qstr_OIM_add__pora_nayti_|Po dlouhé době vyhledávání v archivu jsi dospěl k názoru, že se palcát s největší pravděpodobností nachází v rodové hrobce Radziwillů.
qstr_OiM_You_ve_failed_to_wi|Prohrál jsi boj. Stráže tě chytily a strčily tě do žaláře.
qstr_OiM_You_ve_wing_the_|Král je svržen.
qstr_OIM_add_getman__Da_z|Tak o tohle tu běží? Není divu, že se Radziwille toho palcátu tolik chtěl zmocnit. Toho, kdo bude mít Černého hejtmana, podpoří staré šlechtické rody. Tak si říkám, o co jsem já horší než nějaký Radziwille?
qstr_OIM_add_getman__Knig|Tuhle knížku bez slovníku nepřečtu.
qstr_OIM_add_getman__Prik|No co, je na čase ukázat protivníkům, jak bojují skuteční kozáci.
qstr_OIM_add_getman__Nuzh|Hejtman má pro tebe nový úkol. Budeš za ním muset zajít.
qstr_OiM_dmitriy_Teper_ko|Stráže vězení jsou mrtvé, a teď už tě pozná jedině car. Budeš si muset najít mocného vládce, který by tě vzal pod ochranu.
qstr_OIM_add_getman__Prika|Barabáš ti přikázal porazit Moskevské carství.
qstr_OIM_add_getman__Bunt|Povstání bylo utopeno v krvi. Barabáš tě chce vidět.
qstr_you_we_lost_the_figh|Prohráváš boj a tím i peníze, které jsi {vsadil/vsadila} - {reg0} tolarů.
qstr_you_won_the_fight._A|Vyhráváš {reg0} tolarů. Kromě toho získáváš nové bojové zkušenosti.
qstr_you_we_lost_the_fight|Prohrál jsi. Navíc jsi utrpěl menší trauma.
qstr_you_won_the_fight._An|Vyhrál jsi rvačku a naučil ses pár nových fint.
qstr_You_ve_got_wound.._I|Máš z toho trauma. Opravdu by sis měl trochu odpočinout a dát se dohromady.
qstr_oim_the_duel_is_over|Tento boj skončil nerozhodně.
qstr_oim_the_duel_is_over.|Prohrál jsi. Měl bys zapracovat na své přesnosti.
qstr_oim_the_duel_is_over._|Zdá se, že všechno to cvičení s mušketou nevyšlo nazmar. Vyhrál jsi.
qstr_You_sought_that_the_|Zpozoroval jsi břichatého boháče. Možná bys mohl trošku ulehčit jeho měšci.
qstr_There_is_gourds._It_|Odpočal sis v hospodě, nacpal ses, co se do tebe vešlo a rozhodl ses pokračovat v cestě.
qstr_You_lost_the_fight._|Prohrál jsi. Stráže zpozorovaly výtržnost a sebraly tě...
qstr_The_man_is_dead..._Y|Zabil jsi svého soupeře. Bereš si pár mincí, co měl v měšci, a jeho zbraň.
qstr_you_were_killed_as_c|Rozhodnutí soudu je nelítostné: {playername} se za vraždy a loupeže odsuzuje k trestu smrti oběšením. 
qstr_Nu_vow_vostaniye_zak|Povstání skončilo. Je na čase promluvit si s Razinem.
qstr_Razin_now_is_the_mar|Razin je nyní maršálem.
qstr_OiM_text_for_main_qs|Posel ti vyřídil, že s tebou chce mluvit sám pan král...
qstr_Viberite_nuzhnuyu_va|Vyber si skupinu, kterou potřebuješ.
qstr_Na_daniy_moment_eto_|V této obci není ani živáčka, jen vítr se honí po prázdných ulicích.
qstr_V_vashem_otryade_net|Nemáš ani jednoho společníka.
qstr_V_vashem_otryade_ime|Máš v družině společníky, kteří by se mohli něco naučit.
qstr_Prosmotret_spisok_go|Prohlédnout si seznam neobléhaných měst, kde máš spojence.
qstr_U_vas_net_gorodov_gd|Žádného pomocníka starosty neznáš.
qstr_Vam_nuzhno_poslat_go|Dobyli tvé hlavní město. Budeš si muset zvolit dočasné hlavní město.
qstr_Vibor_stolici_proshe|Máš teď nové hlavní město.
qstr_Vam_nuzhno_vibrat_di|Nemáš ani hlavní město, ani žádné jiné město, kde by bylo možné dočasně zřídit státní metropoli.
qstr_{s5}|{s5}
qstr_{s6}_^{s5}|{s6} ^{s5}
qstr_{s7}|{s7}
qstr_{s8}_^{s7}|{s8} ^{s7}
qstr_Breaking_camp...|Stržení tábora.
qstr_{s65}|{s65}
qstr_Current_wealth:_{reg|Stav tvé pokladny: {reg1}
qstr_Your_party_is_spotte|V obci {s1} zpozorovali tvoji družinu.
qstr_{reg1}_{s1}_{reg2?ha|{s1} ({reg1}) {reg2?utekli:utekl} v noci z družiny.
qstr_{s1}_of_{s3}_has_bee|{s1} z frakce {s3} je opět na svobodě.
qstr_Building_of_{s0}_in_|Stavba {s0} v obci {s4} byla dokončena.
qstr_{s1}_is_no_longer_in|Město {s1} už nesužují noční loupežná přepadení.
qstr_You_pay_for_accommod|Platíš za ubytování.
qstr__Your_tactics_skill_| Tvá znalost taktiky se zvýšila o 1.
qstr__Your_persuasion_ski| Tvá schopnost přesvědčování se zvýšila o 1.
qstr__Your_leadership_ski| Tvé velitelské schopnosti se zvýšily o 1.
qstr__Your_intelligence_h| Tvá inteligence se zvýšila o 1.
qstr__Your_trade_skill_ha| Tvá znalost obchodu se zvýšila o 1.
qstr__Your_weapon_master_| Tvá schopnost boje se zbraněmi se zvýšila o 1.
qstr__Your_engineer_skill| Tvá znalost stavitelství se zvýšila o 1.
qstr_You_have_finished_re|Už máš přečtenou celou knížku {s1}.{s2}
qstr_Book_Read|Čtení knížky
qstr_You_must_follow_{s1}|Jdi přesně tam, kam {s1}!
qstr_You_must_follow_{s1}!|Jdi přesně tam, kam {s1}! Tohle je poslední varování!
qstr_{s1}_is_scouted.|Okolí místa {s1} je sledováno.
qstr_{s1}_has_switched_fr|{s1} vyměnilo jednoho vůdce ({s2}) za druhého ({s3}).
qstr_{s4}_is_in_{s5}|{s4} se nachází na místě zvaném {s5}
qstr_OiM_Ne_uspeli_otoyti|Než jsi stačil od kozáků odejít, požádal tě vězeň o rozmluvu.
qstr_OiM_add_{s2}_joined_|{s2} se přidal k Zaglobovu povstání!
qstr_{s5}^_{s1}|{s5}^ {s1}
qstr_You_promised_to_help|Slibuješ, že podpoříš kandidáta jménem {s13} při pokusu zmocnit se trůnu země {s14}.
qstr_{s6}_has_joined_your_|{s6} se přidává ke tvé družině.
qstr_{reg65?my_Lady:my_Lo|{reg65?paní:pane}
qstr_{reg65?My_Lady:My_Lo|{reg65?paní:pane}
qstr_{reg65?madame:sir}|{reg65?paní:pane}
qstr_{reg65?Madame:Sir}|{reg65?paní:pane}
qstr_Viberite_variant.|Toto je má nabídka:
qstr_Seychas_vse_dostupni|Všichni přítomní důstojníci jsou nyní zaneprázdněni výcvikem nováčků.
qstr_U_vas_nedostatochno_|Na to, abys {mohl/mohla} najímat lidi do domobrany, máš příliš lehký měšec!
qstr_Vot_vse_chto_dostupn|Co ti můžu nabídnout?
qstr_Vot_chto_vam_seychas|Nyní je k dispozici:
qstr_Na_daniy_moment_net_|Žádná možnost není dostupná.
qstr_Ya_seychas_zaynuat_p|Odpusť, ale stále ještě na tvůj příkaz řeším tu záležitost ohledně {s1}. Budu mít čas za {reg1?dní:hodin}.
qstr_Viberite_zhelayumiy_|Co si přeješ?
qstr_Zdes_esche_net_{s1}.|{s1} tu ještě není.
qstr_Zdes_uzhe_est_{s1}.|{s1} už je tady
qstr_{reg0?Naynyat:Postro|{reg0?Najmout:Postavit}.
qstr_U_vas_zdes_uzhe_post|Už máš postaveny tyto budovy:^
qstr_Zdes_k_tebe_loyalni_|V tomto městě jsi {jmenoval/jmenovala} lidi do následujících funkcí:^
qstr_U_vas_nichego_esche_|V tomto směru jsme dosud ničeho nedosáhli.
qstr_It_s_your_money_or_y|Peníze, nebo život, {pane/paní}. Budeš se divit, jak dneska život přijde draho.
qstr_Lucky_for_you_you_ca|Buď zdráv, dobrý člověče. Moc rád tě vidím. ^Hezky sem dej všechno zlato a jdi si svou cestou živ a zdráv.
qstr_This_a_robbery_eh?_I|Hej, {pane/paní}, tohle je přepadení. Dej sem, co máš cenného, je-li ti život milý. Nechceš si přece vyzkoušet, jak ostré mají mí chlapi nože, že ne?
qstr_we_have_made_very_li|skoro vůbec jsme nepostoupili kupředu
qstr_we_have_suceeded_in_|dobyli jsme kousek země, ale čeká nás ještě dlouhá cesta
qstr_we_have_become_a_sig|máme slušnou sílu a teď i šanci na vítězství
qstr_we_are_winning_the_w|tuhle válku vyhrajeme, ale nepřítel se ještě drží
qstr_we_are_on_the_verge_|už jsme skoro vyhráli. Zbývající nepřátelé nepředstavují hrozbu, ale budeme je muset vyslídit
qstr_Yes_{s5}?|Ano, {s5}?
qstr__no_fiefs_|(Lokální síť)
qstr__fiefs:_{s0}_|(Državy: {s0})
qstr_{playername}_when_we|{playername}, na začátku měl jen málokdo tolik odvahy, aby mě podpořil, a ještě méně bylo těch, kteří za mě byli ochotni položit život. Ty jsi však nepochyboval ani na okamžik, když bylo potřeba se vypořádat s mými nepřáteli. Hodně jsme toho spolu prožili, a byly doby, kdy už mě naděje skoro opustila. Ale nakonec jsme s boží pomocí zvítězili. Teď tě musím opustit a ujmout se toho, co mi po právu náleží. {s3} je teď moje země, a když se ujmu vlády, přijmu tím velkou zodpovědnost. Čeká mě ještě nejedna zkouška, a předpokládám, že mě ani teď neopustíš. A samozřejmě budeš vždy prvním mezi mými poddanými.
qstr_I_am_{s4}_the_ruler_|Jsem {s4}, vládce země {s6}
qstr_I_am_{s4}_a_vassal_o|Jsem {s4}, šlechtic z panství {s6}
qstr_{s9}{reg5?_and_the_l|{s9}{reg5?. Patří mi {s8}.:.}
qstr_Your_mission_is_comp|Tvůj úkol je splněn. {s9} chce, ať následuješ jeho armádu, dokud nedostaneš další rozkazy.
qstr_{s13}_asked_you_to_g|{s13} tě prosí o přivedení {reg3} kusů skotu.
qstr_{s9}_asked_you_to_sc|{s9} tě prosí o provedení průzkumu kolem obcí {s13}, {s14} a {s15} a pak mu máš podat hlášení.
qstr_{s16}_and_{s17}|{s16} a {s17}
qstr_{s16}_{s17}|{s16}, {s17}
qstr_Very_well_I_will_acc|Dobře, přijmu tě znovu do svých služeb, když mi složíš přísahu věrnosti.
qstr_A_pardon_will_only_b|Odpustím ti, pouze pokud mi předáš {s17}. Přijímáš mé podmínky?
qstr_No._There_is_no_chan|Ne. O míru nemůže být ani řeči, nemám zájem.
qstr_We_are_not_at_war_wi|Nejsme s nikým ve válečném stavu.
qstr_We_are_at_war_with_{|Vedeme válku, naším nepřítelem je {s12}.
qstr_{s9}_asked_you_to_ta|{s9} tě žádá, abys dovezl zprávu adresátovi jménem {s13}. Když jsi tento úkol {dostal/dostala}, nacházel se {s13} v místě zvaném {s4}.
qstr_{s9}_asked_you_to_tak|{s9} tě žádá, abys dovezl zprávu adresátovi jménem {s13} z obce {s15} . Když jsi tento úkol dosta, nacházel se {s13} právě v místě zvaném {s4}.
qstr_{s11}_asked_you_to_e|{s11} tě prosí o laskavost. Jeho {s17} {s13} potřebuje doprovodit do místa zvaného {s14}.
qstr_{s13}_asked_you_to_d|{s13} tě požádal, ať se vypořádáš se zbojníky, kteří se schovávají ve vesnici zvané {s15}. Máš mu to pak zajít ohlásit.
qstr_{s9}_asked_you_to_ra|{s9} tě žádá, ať naverbuješ jednotku {s14} v počtu {reg1} osob a přivedeš mu ji.
qstr_{s9}_asked_you_to_co|{s9} tě požádal, ať zajedeš do vesnice {s3} a vybereš tam daně. Pětinu vybrané částky si můžeš nechat.
qstr_{s9}_asked_you_to_hu|{s9} tě požádal, ať vypátráš uprchlíka jménem {s4}. Naposledy ho viděli v obci {s3}.
qstr_{s9}_asked_you_to_as|{s9} tě poprosil, ať zabiješ místního kupce ve městě {s3}.
qstr_{s9}_has_asked_you_t|{s9} tě poprosil, ať zajdeš na setkání se špehem ve městě {s13}.
qstr_{s9}_asked_you_to_ca|{s9} tě poprosil, ať zajmeš a oloupíš {reg13}. {s13} mu pak snad vyhlásí válku, což je účelem.
qstr_{s9}_asked_you_to_cat|{s9} tě poprosil, ať najdeš tři skupiny jeho uprchlých nevolníků a přivedeš je živé a zdravé do vesnice zvané {s4}. Říkal, že všichni prchali přibližně směrem, kde leží {s3}.
qstr_{s11}_asked_you_to_f|{s11} tě pověřil sledováním špeha, který se vydal na cestu z obce {s12}. Špeh by si tě neměl všimnout, jinak by mohl začít něco tušit a vrátil by se. Až se vyzvědač sejde s tím, kdo ho najal, máš je oba přepadnout a přivést, {s11} už na ně čeká.
qstr_{s11}_asked_you_to_c|{s11} tě žádá, ať zajedeš do {s13}, zajmeš tam nějakého šlechtice a přivezeš ho. {s11} ho potom vyslechne.
qstr_{s9}_asked_you_to_le|{s9} tě požádal, abys u něj nechal svého společníka jménem {s3}, a to na týden.
qstr_{s9}_asked_you_to_col|{s9} tě požádal, ať vyzvedneš dlužnou částku {reg4} tolarů od dlužníka jménem {s3}.
