qstr_Next_Page|下 一 頁 
qstr_Though_the_distinction|隨 著 時 光 流 逝 ， 你 最 終 成 長 為 {reg3?女 人 :男 人 }。 而 自 這 一 刻 起 ， 似 乎 整 個 世 界 也 隨 之 改 變 。 你 踽 踽 獨 行 ， 只 有 背 上 的 樂 器 與 自 己 的 歌 喉 相 伴 。 生 活 艱 辛 ， 多 少 夜 晚 你 忍 著 轆 轆 饑 腸 演 奏 卻 得 不 到 一 聲 喝 彩 ， 但 你 最 終 還 是 靠 著 自 己 的 音 樂 熬 了 過 來 。 隨 著 時 光 流 逝 ， 你 漸 漸 習 慣 了 為 酒 館 裡 醉 醺 醺 的 酒 客 們 演 奏 ， 甚 至 可 以 說 服 任 何 人 向 自 己 讓 步 。 
qstr_Though_the_distinction_|隨 著 時 光 流 逝 ， 你 最 終 成 長 為 {reg3?女 人 :男 人 }。 而 自 這 一 刻 起 ， 似 乎 整 個 世 界 也 隨 之 改 變 。 作 為 一 個 大 城 市 裡 的 學 生 ， 你 在 大 學 學 習 神 學 、 哲 學 與 醫 藥 。 不 過 並 不 是 所 有 的 知 識 都 源 於 講 堂 。 你 也 許 不 總 和 朋 友 們 在 小 巷 裡 游 蕩 著 滋 事 ， 尋 找 酒 和 女 人 ， 但 你 清 楚 地 知 道 被 打 落 下 巴 是 怎 麼 回 事 ， 以 及 如 何 勸 說 憤 怒 的 市 民 放 下 木 棒 ， 接 受 對 他 砸 爛 的 店 鋪 的 現 金 賠 償 。 
qstr_Though_the_distinction_f|隨 著 時 光 流 逝 ， 你 最 終 成 長 為 {reg3?女 人 :男 人 }。 而 自 這 一 刻 起 ， 似 乎 整 個 世 界 也 隨 之 改 變 。 你 走 街 串 巷 ， 買 賣 能 弄 到 的 各 類 商 品 。 日 子 並 不 寬 裕 ， 但 你 成 為 了 討 價 還 價 的 大 師 ， 甚 至 可 以 在 最 吝 嗇 的 老 頭 那 討 得 好 價 錢 。 很 快 ， 你 意 識 到 ， 你 已 有 足 夠 的 能 開 創 自 己 的 商 業 帝 國 了 … … 
qstr_Though_the_distinction_fe|隨 著 時 光 流 逝 ， 你 最 終 成 長 為 {reg3?女 人 :男 人 }。 而 自 這 一 刻 起 ， 似 乎 整 個 世 界 也 隨 之 改 變 。 作 為 一 個 鐵 匠 ， 你 追 求 極 致 的 技 藝 ， 將 平 淡 無 奇 的 礦 石 鍛 冶 成 美 觀 實 用 的 器 具 。 隨 著 時 間 推 移 ， 你 成 為 了 行 中 翹 楚 ， 而 精 湛 的 工 藝 也 換 來 了 更 好 的 價 錢 。 飽 餐 過 後 看 著 屋 中 熊 熊 的 爐 火 ， 你 足 以 為 自 己 的 工 作 與 日 益 高 漲 的 名 望 而 自 傲 。 
qstr_Though_the_distinction_fel|隨 著 時 光 流 逝 ， 你 最 終 成 長 為 {reg3?女 人 :男 人 }。 而 自 這 一 刻 起 ， 似 乎 整 個 世 界 也 隨 之 改 變 。 不 滿 於 像 芸 芸 眾 生 般 為 蠅 頭 小 利 齟 齬 ， 你 潛 入 領 主 的 林 子 ， 享 用 其 饋 贈 ， 去 他 的 法 律 。 你 獵 殺 牡 鹿 、 野 豬 與 鵝 ， 暗 中 出 售 這 些 昂 貴 的 肉 食 。 你 在 守 林 人 的 鼻 子 底 下 砍 伐 林 木 ， 將 其 變 為 木 柴 給 貧 苦 人 家 在 冬 日 帶 來 溫 暖 。 當 然 ， 是 要 收 錢 的 。 
qstr_Only_you_know_exactl|只 有 你 確 切 知 道 自 己 為 何 放 棄 以 前 的 生 活 ， 來 做 一 個 冒 險 者 。 因 為 心 中 的 熊 熊 燃 燒 的 怒 火 ， 決 定 離 開 並 不 艱 難 。 你 要 復 仇 ， 你 要 審 判 ， 對 你 所 作 的 一 切 都 不 能 饒 恕 ， 所 有 的 債 只 能 用 鮮 血 來 償 還 … … 
qstr_Only_you_know_exactly|只 有 你 自 己 才 清 楚 你 為 什 麼 放 棄 之 前 的 生 活 成 為 冒 險 者 。 你 能 說 的 只 是 你 不 能 再 忍 受 留 在 原 來 的 地 方 了 ， 對 你 曾 愛 過 的 人 的 記 憶 是 如 此 親 切 又 是 如 此 痛 苦 。 也 許 新 生 活 會 讓 你 忘 卻 過 往 ， 或 是 給 你 羞 於 啟 齒 的 名 字 帶 來 榮 光 … … 
qstr_Only_you_know_exactly_|只 有 你 確 切 知 道 自 己 為 何 放 棄 以 前 的 生 活 ， 來 做 一 個 冒 險 者 。 你 不 確 定 從 何 時 起 ， 家 園 變 成 了 監 獄 ， 親 人 也 變 得 陌 生 ， 只 有 流 浪 占 據 了 你 的 世 界 。 不 管 是 向 往 遙 遠 的 樂 土 還 是 僅 僅 路 上 的 自 由 ， 你 再 不 願 呆 在 同 樣 的 地 方 ， 只 是 再 不 回 頭 地 走 下 去 … … 
qstr_Only_you_know_exactly_w|只 有 你 確 切 知 道 自 己 為 何 放 棄 以 前 的 生 活 ， 來 做 一 個 冒 險 者 。 你 知 道 再 也 不 能 回 去 ， 也 沒 有 地 方 可 回 。 曾 經 的 家 園 已 經 煙 消 雲 散 ， 你 必 須 面 對 現 實 ， 在 大 千 世 界 上 ， 沉 浮 全 靠 自 己 一 人 … … 
qstr_Only_you_know_exactly_wh|只 有 你 自 己 才 清 楚 你 為 什 麼 放 棄 之 前 的 生 活 成 為 冒 險 者 。 對 其 他 人 而 言 ， 很 明 顯 你 是 單 為 錢 財 而 來 。 你 渴 望 變 得 富 有 ， 權 勢 滔 天 ， 受 人 矚 目 ， 被 人 畏 懼 。 你 渴 望 人 們 服 從 於 你 ， 渴 望 自 己 的 名 字 人 盡 皆 知 ， 而 當 它 被 提 起 時 ， 人 人 都 將 顫 栗 。 你 渴 望 得 到 一 切 ， 不 允 許 任 何 人 擋 在 前 方 … … 
qstr_Back_to_the_beginnin|退 回 開 始 … … 
qstr_View_next_segment...|查 看 下 節 … … 
qstr___|-
qstr__+|+
qstr_^No_food:___{reg7}|^沒 有 食 物 ： -{reg7}
qstr_^Wage_debt:___{reg6}|^拖 欠 工 資 ： -{reg6}
qstr_Current_party_morale|當 前 隊 伍 士 氣 為 {reg5}。 ^當 前 隊 伍 士 氣 修 正 為 ： ^^基 礎 士 氣 ： +50^隊 伍 規 模 ： {s2}{reg1}^統 御 技 能 ： {s3}{reg2}^食 物 品 種 ： {s4}{reg3}{s5}{s6}^最 近 事 件 ： {s7}{reg4}^共 計 ： {reg5}
qstr_Defending|正 在 防 御 
qstr_Gathering_army|集 結 軍 隊 
qstr_Besieging_{s11}|圍 攻 {s11}
qstr_Raiding_{s11}|突 襲 {s11}
qstr_Attacking_enemies_ar|攻 擊 {s11}附 近 的 敵 人 
qstr_No_one|沒 有 人 
qstr_{s9}{s10}^Current_st|{s9}{s10}^當 前 狀 態 ： {s11}^元 帥 ： {s12}^從 最 近 一 次 的 進 攻 已 過 了 ： {reg1}小 時 ^進 攻 的 最 大 追 隨 者 數 ： {reg2}^^
qstr_Selected_faction_is:|選 擇 的 集 團 是 ： {s10}^^{s9}
qstr_You_are_currently_re|你 正 在 閱 讀 {s8}。 
qstr_You_are_not_reading_|你 沒 有 在 讀 任 何 書 籍 。 
qstr_none|無 
qstr_{s5}_and_{s6}|{s5}和 {s6}
qstr_{s5}_{s6}|{s5}， {s6}
qstr_Renown:_{reg2}.^Hono|聲 望 ： {reg2}。 ^榮 譽 ： {reg3}。 ^朋 友 ： {s8}。 ^敵 人 ： {s6}。 ^{s9}
qstr_Your_estates_are:_{s|你 的 封 地 在 ： {s8}。 ^{s9}
qstr_You_are_a_lord_of_{s|你 是 {s8}的 一 名 貴 族 。 ^{s9}
qstr_Current_party_size_l|當 前 的 部 隊 上 限 為 {reg5}^當 前 部 隊 上 限 的 修 正 為 ： ^^因 基 礎 人 數 ： + {reg4}^因 玩 家 統 御 ： {s2}{reg1}^因 玩 家 魅 力 ： {s3}{reg2}^因 玩 家 聲 望 ： {s4}{reg3}^總 計 ： {reg5}
qstr_Loyal|忠 誠 
qstr_Devoted|忠 誠 
qstr_Fond|親 切 
qstr_Gracious|親 切 
qstr_Friendly|支 持 
qstr_Supportive|支 持 
qstr_Favorable|贊 同 
qstr_Cooperative|贊 同 
qstr_Accepting|冷 淡 
qstr_Indifferent|冷 淡 
qstr_Suspicious|冷 淡 
qstr_Grumbling|猜 疑 
qstr_Hostile|猜 疑 
qstr_Resentful|怨 恨 
qstr_Angry|怨 恨 
qstr_Hateful|憎 恨 
qstr_Revengeful|憎 恨 
qstr_Vengeful|敵 意 
qstr_{s2}^{s4}:_{reg1}__{|{s2}^{s4}:{reg1}({s3})
qstr_Your_relation_with_t|你 與 各 國 的 關 系 為 ： ^{s2}
qstr_V_{s10}_stroitsya_{s|{s11}被 建 在 {s10}。 剩 余 {reg4}={reg5}
qstr_V_{s10}_postroeno_{s|{s10}的 {s11}被 建 好 了 。 
qstr_Player_renown_is_inc|玩 家 聲 望 上 升 100 點 。 
qstr_{reg1}_{s1}_{reg2?ac|{reg1}個 {s1}{reg2?接 受 :接 受 }你 的 提 議 。 
qstr_No_one_accepts_the_o|沒 人 接 受 你 的 提 議 。 
qstr_You_start_reading_{s|你 開 始 讀 {s2}。 你 決 定 把 它 帶 在 身 邊 ， 任 何 有 空 的 時 候 就 讀 幾 頁 。 
qstr_You_flip_through_the|你 翻 著 {s2}， 但 你 發 現 裡 面 的 內 容 很 難 理 解 。 看 了 幾 頁 後 ， 你 感 覺 到 頭 很 痛 ， 然 後 放 棄 閱 讀 了 。 
qstr_You_paid_{reg3}_of_y|你 支 付 了 你 的 {reg4}泰 勒 中 的 {reg3}泰 勒 給 你 的 部 下 。 你 有 {reg5}泰 勒 余 下 。 
qstr_Your_debt_to_your_me|你 對 你 部 下 的 欠 債 累 計 至 了 {reg3}泰 勒 ， 然 而 你 只 有 {reg4}泰 勒 。 未 支 付 的 {reg5}泰 勒 被 添 加 為 了 負 債 。 你 的 隊 伍 失 去 士 氣 。 
qstr_This_week_s_wages:_{|本 周 薪 水 ： {reg6}泰 勒 ^之 前 負 債 ： {reg2}泰 勒 ^總 共 支 付 ： {reg3}泰 勒 ^當 前 財 富 ： {reg4}泰 勒 ^^{s1}
qstr_Villagers|村 民 們 
qstr_You_have_encountered|你 遇 到 {s1}了 。 
qstr_Armiya_protivnika_po|敵 軍 撤 退 至 營 地 。 
qstr_You_have_engaged_{s1|你 偶 遇 到 了 一 場 戰 斗 。 {s1}正 在 攻 擊 {s3}。 你 決 定 去 幫 助 {s3}。 
qstr_You_were_caught_by_{|當 你 帶 著 部 下 在 {s3}掠 奪 的 時 候 ， 被 {s1}撞 見 了 。 
qstr_You_were_victorious!|你 獲 勝 了 ！ 
qstr_Battle_was_lost._You|戰 斗 失 敗 。 你 的 軍 隊 被 徹 底 毀 滅 。 
qstr_Your_companions_carr|你 的 同 伴 把 你 從 戰 場 上 運 了 出 來 。 
qstr_You_have_defeated_th|你 擊 敗 了 敵 人 。 
qstr_You_have_retreated_f|你 撤 離 了 戰 場 。 
qstr_^^Ally_Casualties:{s|^^友 軍 傷 亡 ： {s0}
qstr_{s1}_of_{s3}_managed|{s3}的 {s1}設 法 逃 離 。 
qstr_{s17}|{s17}
qstr__V_gorode_ostalos_{r|還 有 {reg0}名 戰 斗 人 員 活 著 ， 他 們 是 你 的 俘 虜 了 。 你 將 如 何 處 置 他 們 ？ 
qstr__V_gorode_ostalos_{re|還 有 {reg0}名 戰 士 活 著 ， 是 你 救 了 他 們 。 把 他 們 征 入 駐 軍 嗎 ？ 
qstr_Victory_comment._Pla|勝 利 注 釋 ： 玩 家 單 獨 完 成 的 。 
qstr_Ordinary_victory_com|普 通 的 勝 利 注 釋 ： 玩 家 出 了 至 少 40%的 兵 力 。 
qstr_Player_participation|玩 家 參 與 注 釋 ： 敵 人 至 少 有 1000的 初 始 強 度 。 
qstr_No_victory_comment._|沒 有 勝 利 注 釋 。 戰 斗 很 小 ， 並 且 玩 家 提 供 的 兵 力 不 及 盟 軍 的 兵 力 的 40% 。 
qstr_Some_of_your_tendons|你 戰 斗 中 傷 到 了 一 些 肌 腱 ， 你 失 去 了 1點 力 量 。 
qstr_You_took_a_nasty_wou|你 受 了 重 傷 ， 它 將 導 致 你 走 路 有 點 跛 ， 即 使 是 在 它 被 治 好 後 。 你 失 去 了 1點 敏 捷 。 
qstr_You_have_trouble_thi|就 在 戰 斗 後 ， 你 思 考 變 得 困 難 了 ， 也 許 這 是 因 為 你 的 頭 部 受 了 一 記 特 別 的 打 擊 ， 並 且 現 在 有 頻 繁 的 頭 痛 折 磨 著 你 的 生 活 。 你 的 智 力 下 降 1點 。 
qstr_Perhaps_I_m_getting_|也 許 我 的 運 氣 在 變 差 … … 
qstr_Retirement_is_starti|撤 退 聽 起 來 變 得 越 來 越 動 聽 。 
qstr_No_matter!_I_will_pe|沒 關 系 ！ 我 將 繼 續 堅 持 ！ 
qstr_What_did_I_do_to_des|我 該 怎 麼 做 才 能 得 到 這 些 ？ 
qstr_I_suppose_it_ll_make|我 猜 這 些 至 少 可 以 構 造 出 一 個 很 好 的 故 事 … … 
qstr_Player_retreats_from|玩 家 從 戰 斗 中 撤 退 
qstr_{s9}_wants_you_to_fo|{s9}希 望 你 能 夠 在 接 到 進 一 步 的 指 令 以 前 跟 著 他 的 部 隊 前 進 。 
qstr_{s8}_of_{s9}|{s9}的 {s8}
qstr__Your_own_banner_fli|這 座 堡 壘 現 歸 你 所 有 。 
qstr__You_see_the_banner_|這 座 堡 壘 現 歸 {s7}所 有 。 
qstr__This_castle_seems_t|這 個 堡 壘 似 乎 不 屬 於 任 何 人 。 
qstr__Your_own_banner_flie|你 自 己 的 旗 幟 飄 揚 在 城 鎮 大 門 上 。 
qstr__You_see_the_banner_o|這 座 城 鎮 現 歸 {s7}所 有 。 
qstr__The_townsfolk_here_|這 裡 的 市 民 宣 告 了 他 們 的 獨 立 。 
qstr_Zapasov_edi_v_{reg6?|好 像 {reg6?城 鎮 裡 :城 堡 裡 }倉 庫 中 的 存 糧 能 夠 支 持 {reg3}天 。 
qstr_Zapasov_edi_v_{reg6?g|{reg6?城 鎮 裡 :城 堡 裡 }倉 庫 中 已 經 沒 有 存 糧 了 ， 守 城 人 員 快 要 餓 死 了 。 
qstr_Vi_stroite_lestnici_|你 開 始 建 造 攻 城 梯 ， 需 要 {reg9}小 時 完 成 。 
qstr_Prokladka_podkopa_dl|放 置 爆 炸 物 會 多 花 上 {reg9}小 時 。 
qstr_Postroika_lestnic_za|准 備 工 作 完 成 了 。 你 隨 時 都 可 以 攻 擊 城 鎮 了 。 
qstr_Postroika_podkopa_za|准 備 工 作 完 成 了 。 你 隨 時 都 可 以 攻 擊 城 鎮 了 。 
qstr_As_a_last_defensive_|你 撤 退 到 城 堡 的 大 廳 裡 進 行 最 後 的 防 御 。 你 和 你 手 下 殘 余 的 士 兵 將 准 備 在 這 裡 接 受 一 場 惡 戰 。 如 果 你 戰 敗 了 ， 你 就 無 路 可 退 了 。 
qstr_You_ve_been_driven_a|你 們 被 敵 人 從 城 牆 上 面 趕 下 去 了 ， 現 在 敵 人 大 量 湧 入 街 道 內 。 如 果 你 能 擊 敗 他 們 ， 你 也 許 能 扭 轉 局 勢 ， 反 敗 為 勝 。 
qstr_You_ve_breached_the_|你 已 經 突 破 了 城 牆 ， 但 是 那 些 頑 固 的 守 衛 者 繼 續 在 街 道 上 抵 抗 你 的 攻 擊 ！ 你 得 消 滅 他 們 才 能 攻 擊 城 鎮 中 心 的 城 堡 。 
qstr_The_town_centre_is_y|這 個 城 鎮 的 鎮 廣 場 是 你 的 了 ， 但 是 剩 下 的 守 衛 者 撤 退 到 城 堡 裡 了 。 你 要 完 全 消 滅 他 們 才 能 取 得 完 全 的 勝 利 。 
qstr_The_remaining_defend|殘 存 的 守 軍 撤 退 到 城 堡 准 備 最 後 一 搏 ， 你 必 須 攻 進 去 掃 除 剩 余 的 抵 抗 力 量 。 
qstr__kriticheskie|緊 要 的 
qstr__ogromnie|大 的 
qstr__visokie|高 的 
qstr_However_since_you_ar|然 而 ， 自 從 你 放 棄 向 {s9}發 的 誓 言 。 他 是 絕 對 不 會 承 認 你 是 這 個 {reg8?城 鎮 :城 堡 }的 {領 主 /領 主 }。 
qstr_The_enemy_has_been_f|敵 人 被 迫 撤 退 了 。 進 攻 停 止 了 ， 但 是 圍 城 還 在 繼 續 。 
qstr__This_village_and_th|這 個 村 子 及 周 圍 的 土 地 現 歸 你 所 有 。 
qstr__You_remember_that_t|你 記 得 這 個 村 子 及 周 圍 的 土 地 屬 於 {s7}。 
qstr__These_lands_belong_|這 些 土 地 不 屬 於 任 何 人 。 
qstr__{s3}__{reg9}_.|{s3}({reg9}) 。 
qstr__The_village_is_infe|這 個 村 子 受 到 {reg8}個 {s35}侵 擾 。 
qstr__The_village_has_bee|這 座 村 莊 慘 遭 洗 劫 ， 當 你 經 過 那 些 燒 毀 的 房 屋 時 ， 無 數 冤 魂 四 散 而 去 。 
qstr__The_village_is_bein|村 莊 已 遭 到 襲 擊 。 
qstr_No_one_here_seems_to|這 裡 好 像 沒 有 人 想 加 入 你 的 部 隊 。 
qstr_One_{s3}_volunteers_|1個 {s3}的 志 願 者 跟 隨 你 。 
qstr_{reg5}_{s3}_voluntee|{reg5}個 {s3}的 志 願 者 跟 隨 你 。 
qstr_Try_as_you_might_you|盡 管 使 出 了 全 身 解 數 ， 你 還 是 沒 能 擊 敗 這 些 強 盜 。 被 激 怒 的 強 盜 將 村 捨 付 之 一 炬 以 報 復 農 民 ， 而 後 轉 身 離 開 了 這 片 焦 土 。 
qstr_village|村 子 
qstr_town|城 鎮 
qstr_castle|堡 壘 
qstr_{s18}_{s0}|{s18}， {s0}
qstr_The_{s17}_has_no_imp|{s17}沒 有 升 級 的 設 施 。 
qstr_The_{s17}_has_the_fo|{s17}有 如 下 升 級 的 設 施 ： {s18}。 
qstr_The_assasins_beat_yo|刺 客 把 你 放 倒 ， 而 後 離 去 ， 留 你 躺 在 地 上 等 死 … … 
qstr_You_have_fallen._The|你 倒 下 了 。 強 盜 們 迅 速 從 你 的 身 上 搜 刮 錢 財 ， 然 後 消 失 在 夜 幕 中 。 你 還 勉 強 活 著 。 
qstr_Luckily_some_of_your|很 幸 運 的 是 ， 你 的 一 些 同 伴 發 現 你 沒 有 回 來 就 出 來 尋 找 你 ， 發 現 你 躺 在 路 邊 ， 他 們 急 忙 把 你 抬 帶 安 全 的 地 方 並 為 你 包 扎 傷 口 。 
qstr_Luckily_some_passing|很 幸 運 的 是 ， 一 些 路 過 的 鎮 民 發 現 你 躺 在 路 邊 上 ， 他 們 差 點 就 把 你 當 成 乞 丐 了 ， 他 們 把 你 抬 到 最 近 的 旅 館 裡 並 為 你 包 扎 傷 口 。 
qstr_You_fail_to_steal_an|你 沒 能 偷 到 一 頭 牛 。 
qstr_You_drive_away_{reg1|你 從 村 子 的 牛 欄 裡 趕 走 了 {reg17}{reg12?頭 :頭 }牛 。 
qstr_OiM_Teper_luchshe_{s|你 最 好 別 讓 你 自 己 被 {s9}看 見 。 
qstr_OiM_Potop_Loshad_tep|馬 被 奪 走 了 。 該 把 它 帶 到 它 該 去 的 地 方 去 了 。 
qstr_You_are_at_{s2}.|你 在 {s2}。 
qstr__You_have_successful|你 成 功 潛 入 了 。 
qstr___{reg1}_denars_per_|（ 每 晚 {reg1}泰 勒 ） 
qstr_Moreover_you_earn_{r|此 外 ， 你 聰 明 地 往 自 己 身 上 押 注 ， 贏 得 了 {reg8}泰 勒 。 
qstr_Victory_is_yours!_Yo|你 勝 利 了 ！ 你 贏 得 了 這 場 戰 斗 ， 但 是 現 在 你 必 須 為 下 一 回 合 做 好 准 備 。 
qstr_You_have_been_bested|你 在 混 戰 中 被 打 敗 了 ， 但 是 競 技 場 老 板 相 當 認 可 你 的 技 能 和 勇 氣 ， 允 許 你 進 入 下 一 輪 比 賽 。 
qstr_{s11}^{s12}|{s11}^{s12}
qstr_You_were_beaten._The|你 被 擊 敗 了 。 農 民 們 因 為 他 們 的 成 功 而 受 鼓 舞 ， 但 是 你 想 教 給 他 們 的 課 程 可 能 並 沒 有 被 他 們 掌 握 … … 
qstr_After_beating_your_l|在 擊 敗 你 的 剛 才 的 對 手 後 ， 你 向 農 民 們 講 解 他 們 該 如 何 更 好 地 防 御 如 此 的 一 擊 。 但 願 他 們 能 學 到 這 一 經 驗 ， 並 在 下 次 打 得 更 認 真 。 
qstr_The_bandits_are_brok|這 些 強 盜 被 打 敗 了 ！ 那 些 還 活 著 的 和 意 識 還 清 醒 的 都 夾 著 尾 巴 逃 跑 了 ， 他 們 懼 怕 這 些 農 民 和 他 們 的 新 教 官 。 
qstr_{s1}_s_Ship|{s1}的 船 
qstr_^{s3}_=_{reg1}{s1}|^{s3}={reg1}{s1}
qstr_^{s3}_=_{reg1}{s2}|^{s3}={reg1}{s2}
qstr_However_{reg3?You_ar|不 過 ， {reg3?你 :{s1}}不 能 找 到 任 何 能 夠 給 你 帶 來 利 潤 的 商 品 。 
qstr_^Buying_{s4}_here_an|^在 這 裡 購 買 {s4}然 後 賣 到 {s5}去 ， 將 會 獲 得 每 件 商 品 {reg6}泰 勒 的 利 潤 。 {s3}
qstr_{reg3?You_find:{s1}_|{reg3?你 :{s1}}找 到 下 列 物 品 ： ^{s3}
qstr__Continue....|繼 續 … … 
qstr__Ne_hvataet_money_nu|錢 不 夠 。 要 求 有 {reg8}泰 勒 。 
qstr__Back|繼 續 … … 
qstr__Stoimost_{reg8}_din|花 費 ： {reg9}泰 勒 。 
qstr__Continue|繼 續 … … 
qstr_{s2}^{reg1}_{s1}_ear|{s2}^{reg1}個 {s1}獲 得 {reg0}點 經 驗 。 
qstr_{s2}^{s1}_earned_an_|{s2}^{s1}獲 得 了 {reg0}點 額 外 的 經 驗 。 
qstr_^You_earned_{reg0}_e|^你 獲 得 了 {reg0}點 經 驗 。 {s2}
qstr_The_training_didn_t_|訓 練 進 行 得 很 糟 糕 。 
qstr_The_training_didn_t_g|訓 練 進 行 得 不 太 好 。 
qstr_The_training_went_qu|訓 練 進 行 得 不 錯 。 
qstr_The_training_went_ve|訓 練 進 行 得 非 常 好 。 
qstr_The_training_went_pe|訓 練 進 行 得 很 完 美 。 
qstr_{s13}_asked_you_to_r|{s13}要 你 帶 著 至 少 {reg13}人 去 向 他 報 告 。 
qstr_{s13}_ordered_you_to|{s13}命 令 你 參 加 對 {s14}的 攻 擊 。 
qstr_Find_and_speak_with_|找 到 {s4}的 {s3}並 向 他 立 下 效 忠 的 誓 言 。 
qstr_you|你 
qstr_OiM_You_ve_failed_to|你 保 衛 村 莊 失 敗 。 
qstr_OiM_You_ve_protected|你 擊 敗 了 敵 人 。 你 可 以 繼 續 上 路 了 。 
qstr_OiM_You_ve_failed_to_|你 送 馬 失 敗 。 
qstr_OiM_You_ve_protected_|你 設 法 勝 過 了 追 趕 你 的 人 。 你 必 須 盡 快 運 送 馬 匹 ， 在 別 人 決 定 搶 走 它 之 前 ， 把 它 送 到 。 
qstr_OiM_Da_takoe_bivaet_|好 機 會 來 了 ， 但 是 一 生 只 有 這 一 次 機 會 。 
qstr_OiM_Potop_Pani_osvob|這 位 女 士 自 由 了 。 該 回 去 了 。 
qstr_OiM_Potop_kshetuskiy|你 需 要 潛 入 馬 廄 。 
qstr_OiM_You_ve_failed_to_w|你 未 能 打 敗 敵 人 的 反 抗 ； 你 戰 敗 了 。 
qstr_OiM_You_ve_got_the_h|你 設 法 勝 過 了 追 趕 你 的 人 。 你 必 須 盡 快 把 馬 送 給 斯 克 熱 杜 斯 基 。 
qstr_Kozaki_podnyali_na_n|哥 薩 克 人 向 衛 兵 告 急 了 ！ 
qstr_OIM_getman_heroe_can|匈 牙 利 貝 格 霍 夫 市 的 訓 誡 師 給 領 導 人 的 報 告 。 ^^您 好 ， 先 生 ！ 我 獲 悉 到 那 柄 傳 說 中 的 黑 杖 是 俄 羅 斯 的 最 高 統 治 者 家 族 的 某 一 員 的 遺 物 。 根 據 奧 列 格 家 族 的 家 族 傳 說 ， 在 公 元 十 二 世 紀 中 葉 ， 他 們 的 祖 先 與 異 教 徒 的 祭 司 ， 亦 即 占 卜 者 們 ， 制 定 了 一 份 秘 密 契 約 。 那 些 占 卜 者 們 支 配 著 普 通 人 們 ， 親 王 們 正 是 通 過 他 們 的 影 響 而 篡 奪 權 力 。 ^就 在 這 個 時 期 ， 占 卜 者 們 交 給 了 奧 列 格 家 族 的 親 王 們 黑 杖 — — 一 柄 有 著 令 人 難 以 置 信 的 力 量 的 手 杖 。 在 基 輔 附 近 ， 這 些 親 王 們 建 立 了 基 裡 洛 夫 斯 基 修 道 院 。 顯 然 ， 那 柄 手 杖 就 被 保 存 在 那 裡 。 ^^在 薩 莫 吉 希 亞 的 顯 赫 家 族 拉 齊 維 烏 氏 中 ， 也 流 傳 著 類 似 的 傳 說 。 最 終 我 發 現 ， 回 溯 到 留 裡 克 家 族 的 統 治 時 期 ， 拉 齊 維 烏 氏 的 祖 先 在 當 時 擔 任 的 是 祭 司 。 
qstr_OIM_getman_heroe_nee|這 本 書 是 以 古 代 語 言 寫 的 ， 你 無 法 理 解 。 你 需 要 某 人 來 翻 譯 它 。 
qstr_OIM_add__pora_nayti_|在 檔 案 堆 裡 花 了 許 多 小 時 之 後 ， 你 發 現 ， 那 柄 手 杖 一 定 在 拉 齊 維 烏 家 族 的 墓 穴 中 。 
qstr_OiM_You_ve_failed_to_wi|你 戰 敗 了 。 衛 兵 把 你 綁 了 起 來 並 把 你 扔 進 了 監 獄 。 
qstr_OiM_You_ve_wing_the_|國 王 被 廢 黜 了 。 
qstr_OIM_add_getman__Da_z|拉 齊 維 烏 之 所 以 要 為 那 根 手 杖 而 斗 爭 ， 當 然 事 出 有 因 。 無 論 誰 握 住 了 它 ， 他 都 會 像 獲 得 了 所 有 的 古 代 家 族 的 支 持 一 樣 。 你 必 須 找 到 這 件 古 物 … … 
qstr_OIM_add_getman__Knig|沒 有 翻 譯 人 員 ， 就 讀 不 了 這 本 書 。 
qstr_OIM_add_getman__Prik|該 向 敵 人 展 示 真 正 的 哥 薩 克 人 是 如 何 戰 斗 的 了 。 
qstr_OIM_add_getman__Nuzh|酋 長 有 新 任 務 給 你 。 你 應 該 與 他 晤 面 。 
qstr_OiM_dmitriy_Teper_ko|現 在 ， 監 獄 守 衛 已 死 ， 只 有 沙 皇 才 知 道 你 的 容 貌 。 你 需 要 找 到 一 位 強 大 的 庇 護 人 來 保 護 你 。 
qstr_OIM_add_getman__Prika|巴 拉 巴 什 命 令 你 征 服 沙 皇 俄 國 。 
qstr_OIM_add_getman__Bunt|起 義 受 到 了 血 腥 鎮 壓 。 巴 拉 巴 什 想 要 見 你 。 
qstr_you_we_lost_the_figh|你 戰 敗 了 。 更 糟 的 是 ， 你 必 須 支 付 敵 人 {reg0}泰 勒 。 
qstr_you_won_the_fight._A|你 贏 了 {reg0}泰 勒 。 你 也 學 到 了 一 些 新 的 戰 斗 技 術 。 
qstr_you_we_lost_the_fight|你 被 打 敗 了 。 幸 運 的 是 ， 這 只 是 個 皮 肉 傷 而 已 。 
qstr_you_won_the_fight._An|你 贏 得 了 戰 斗 並 學 到 了 一 些 新 的 招 數 。 
qstr_You_ve_got_wound.._I|你 受 傷 了 。 最 好 休 息 一 下 再 振 作 起 來 。 
qstr_oim_the_duel_is_over|戰 斗 結 果 是 平 手 。 
qstr_oim_the_duel_is_over.|你 輸 了 。 你 應 該 練 習 你 的 射 擊 技 能 。 
qstr_oim_the_duel_is_over._|你 長 時 間 地 練 習 火 槍 ， 看 來 這 是 有 用 的 。 你 贏 了 ！ 
