str_no_string|BRAK LINII!
str_npc8_signup_response_2|Kat nienawidzący kobiet, a do tego obżartuch... Obawiam się, że nie po drodze nam.
str_npc9_signup_response_2|Nie sądzę, żebyś dogadał się z członkami mojego oddziału. Szczęścia życzę!
str_npc10_signup_response_2|Boję się, że taki cerber jak Ty przestraszy mi wszystkich najemników.
str_npc11_signup_response_2|Zabranie Ciebie ze sobą byłoby niebezpieczne. Nie chcę prowokować Tatarów.
str_npc12_signup_response_2|A po co w takim razie są prości ludzie? Nie potrzebuję w oddziale buntowników.
str_npc13_signup_response_2|Jeden pacyfista w oddziale ma niszczycielską moc pułku kirasjerów.
str_npc14_signup_response_2|Nie. Nie potrzebuję takiej zakłamanej antyfeministki.
str_npc15_signup_response_2|We Francji była pewna wojowniczka, Joanna d'Arc. Marnie skończyła...
str_npc16_signup_response_2|Ochroniarz z własnym zdaniem na temat uczciwości? To raczej konwojent...
str_npc1_payment|Będę ci bardzo przydatny {panie/pani}, możesz na to liczyć. Jeszcze jedna sprawa, zanim odejdziemy, czy możesz pożyczyć mi {reg3} talarów? Wstyd mi to powiedzieć, ale w ciągu ostatnich kilku tygodni zadłużyłem się w tutejszej tawernie i oberżyści już nie wierzą w opowieści o posiadanym przeze mnie złocie. Wiesz, może zrobić się dość nieprzyjemnie, jeśli zobaczą, że odchodzę bez uregulowania rachunków.
str_npc2_payment|Chętnie. Mam tylko jedną prośbę. Ostatniej nocy nie powiodło mi się w grze. Nie mógłbyś spłacić mojego długu? Suma jest niewielka, tylko {reg3} talarów. Wtedy będę w stanie opuścić to miasto z czystym sercem i sumieniem.
str_npc3_payment|.
str_npc4_payment|Jest tylko jedna drobnostka. Trochę jestem winien karczmarzowi. Wczoraj balowałem, stawiałem wszystkim, którzy byli w karczmie. Potem trochę pobiłem się z Lachami... Nie mógłbyś mnie, tak jakby, wykupić? Chodzi o jakieś {reg3} talarów.
str_npc5_payment|I jeszcze jedno. Gdy zabrakło mi środków do życia, zostałem zmuszony do zastawienia swego kirysu. Nie mógłbyś dać mi awansem {reg3} talarów, żebym mógł rozliczyć się z lichwiarzem? Przecież bez kirysu w walce będę pożyteczny nie bardziej niż żółw bez skorupy.
str_npc6_payment|Jest tylko jeden problem. Moja żona została bez grosza. Gdybyś dał mi {reg3} talarów, abym mógł jej przekazać na utrzymanie, to i teraz poszedłbym, dokąd powiesz. Inaczej, żeby zdobyć jakiś grosz, będę musiał dołączyć do rozbójników.
str_npc7_payment|Jestem gotów. Jedyna prośba - wypłać mi {reg3} talarów na nowy kaftan. Stary jest całkiem znoszony, nie chciałbym wyruszać w takim stanie.
str_npc8_payment|Mój topór będzie Ci dobrze służył, ago. Oczywiście, jeśli dasz mi {reg3} talarów, żebym mógł zapłacić za nową rękojeść do niego. Przez miesiąc pracował na wojnie, więc się zniszczył.
str_npc9_payment|Cieszę się, {Panie/Pani}, że się dogadaliśmy. Ale mam do Ciebie niewielką prośbę. Muszę pilnie zdobyć {reg3} talarów, żeby wykupić drzewo genealogiczne, które rozpisał mi i zatwierdził pieczęcią cudem napotkany po drodze heraldyk. Dzięki temu dokumentowi mogę żądać zwrotu swoich ziem...
str_npc10_payment|Dogadaliśmy się. I skoro teraz, jak to się mówi, jedziemy na jednym wózku, chcę Cię prosić o pewną przysługę. Chodzi o kwotę {reg3} talarów. Właśnie tyle żąda jubiler za obrączkę. Wyślę go swojej pannie, a ona do mnie wróci - taką żywię nadzieję.
str_npc11_payment|Allah akbar! Wypłać mi {reg3} talarów na nowe siodło.
str_npc12_payment|{Panie/Pani}, została tylko jedna formalność. Chciałbym dostać niewielką zaliczkę. Wystarczy {reg3} talarów.
str_npc13_payment|Skoro się dogadaliśmy, ośmielę się poprosić o drobną przysługę. Mieszka tu moja daleka krewna, która kiedyś mnie przygarnęła. Nie mógłbyś dać mi {reg3} talarów, żebym mogła podziękować jej za dobroć?
str_npc14_payment|Jest tylko jedna niemiła kwestia. Niedawno odbywał się tu jarmark i ja, bez zgody miejscowej gildii kupców, sprzedałam niedużą partię wina. Dopóki nie zapłacę kary w wysokości {reg3} talarów, straż nie wypuści mnie z miasta.
str_npc15_payment|Oj, jaka radość. {Dobry człowieku/Dobra kobieto}, nie żałuj mi {reg3} talarów na nowe safianowe trzewiki. Dokąd miałabym iść w samych onucach?
str_npc16_payment|Dziękuję! Najpierw jednak daj mi {reg3} talarów. Widziałam w zbrojowni znakomitą kolczugę. Co ze mnie za strażniczka bez niej?
str_npc1_payment_response|Dobrze.
str_npc2_payment_response|Oto {reg3} talarów.
str_npc3_payment_response|Dobrze.
str_npc4_payment_response|Proszę bardzo. Masz {reg3} talarów.
str_npc5_payment_response|W tej sakwie jest {reg3} talarów. Mam nadzieję, że odpłacisz mi wierną służbą.
str_npc6_payment_response|Rodzina - rzecz święta. Proszę, weź.
str_npc7_payment_response|Oczywiście. Weź pieniądze.
str_npc8_payment_response|Masz i przelicz.
str_npc9_payment_response|Drzewo genealogiczne dla szlachcica to rzecz najważniejsza. Weź pieniądze.
str_npc10_payment_response|Oto {reg3} talarów. Ale nie wydaje mi się, żeby zostały dobrze wydane.
str_npc11_payment_response|Dobrze, weź {reg3} talarów.
str_npc12_payment_response|Cóż, mam nadzieję, że będziesz mi dobrze służył. Trzymaj.
str_npc13_payment_response|Gdy dają - bierz, a gdy biją - uciekaj. Proszę, weź pieniądze.
str_npc14_payment_response|Bierz. Myślę, że ten wydatek szybko się zwróci.
str_npc15_payment_response|Dobrze, weź. Cieszę się, że jesteś z nami.
str_npc16_payment_response|Skoro trzeba, to trzeba. Oto {reg3} talarów.
str_npc1_morality_speech|Posłuchaj, {synku/dziewucho}! Nie lubię {s21}. Uprzedzałem Cię przecież.
str_npc2_morality_speech|Proszę o wybaczenie, ale nie lubię {s21}. To niegodne szlachcica.
str_npc3_morality_speech|To nie do zniesienia! Znów {s21}. Ile to jeszcze potrwa?
str_npc4_morality_speech|Ej, Kozaku, {s21} to hańba dla siczowca. Następnym razem dobrze pomyśl, zanim tak postąpisz.
str_npc5_morality_speech|Chodzi o {s21}? Tego się nie spodziewałem. Troska o żołnierzy powinna być na pierwszym miejscu.
str_npc6_morality_speech|Rozkazałeś {s21}! Nie tak się umawialiśmy.
str_npc7_morality_speech|Chodzi o {s21}. Jestem wstrząśnięty do głębi.
str_npc8_morality_speech|Ah, {s21}, niech mnie szatan zagryzie! Nie pasuje mi to.
str_npc9_morality_speech|Przecież... {s21} to hańba! Nie dla mnie taka służba.
str_npc10_morality_speech|Zdajecie sobie sprawę, że {s21} to dla mnie ujma na honorze? Dowódca, który pozwala sobie na coś takiego, nie zyska mojego zaufania.
str_npc11_morality_speech|Jesteśmy wojownikami i nie powinniśmy {s21}. W ten sposób wkrótce stracimy wszystkich swoich żołnierzy.
str_npc12_morality_speech|{Panie naczelniku/Pani naczelnik}, jestem lekarzem i nie mogę spokojnie patrzeć, jak pozwalasz {s21}. Miej litość dla prostych ludzi.
str_npc13_morality_speech|Posłuchaj, {s21} nie jest najlepszym zajęciem dla człowieka, któremu powierzyłem swoje życie. Nie dopuszczaj do tego na przyszłość, nie kuś losu.
str_npc14_morality_speech|Jestem markietanką i nie pozwolę na {s21}. Postaraj się na przyszłość nie dopuścić do czegoś podobnego.
str_npc15_morality_speech|Oto, co Ci powiem - {s21} to grzech. Jeśli tak będzie dalej, to... eh... już nie wiem...
str_npc16_morality_speech|Panie, uprzedzałam, że nie ma dla mnie nic gorszego niż {s21}. Mam nadzieję, że to się nie powtórzy.
str_npc1_2ary_morality_speech|I znów {s21}! Nie, do diabła, tak być nie może!
str_npc2_2ary_morality_speech|Zdecydowałeś się {s21}. Jeśli tak dalej pójdzie, to będziemy musieli się rozstać.
str_npc3_2ary_morality_speech|No cóż, {s21}. Nie popieram czegoś podobnego.
str_npc4_2ary_morality_speech|Sława i honor ponad wszystko. A Ty wziąłeś się za {s21}, a bodajbyś smażył się w piekle!
str_npc5_2ary_morality_speech|[Nie ma drugorzędnych norm moralnych]
str_npc6_2ary_morality_speech|[Nie ma drugorzędnych norm moralnych]
str_npc7_2ary_morality_speech|Raczysz {s21}? To niedopuszczalne. Jeśli tak będzie dalej, poszukam innego dowódcy.
str_npc8_2ary_morality_speech|[Nie ma drugorzędnych norm moralnych]
str_npc9_2ary_morality_speech|[Nie ma drugorzędnych norm moralnych]
str_npc10_2ary_morality_speech|[Nie ma drugorzędnych norm moralnych]
str_npc11_2ary_morality_speech|[Nie ma drugorzędnych norm moralnych]
str_npc12_2ary_morality_speech|[Nie ma drugorzędnych norm moralnych]
str_npc13_2ary_morality_speech|Z łatwością przychodzi Ci {s21}? Obawiam się, że się nie dogadamy.
str_npc14_2ary_morality_speech|[Nie ma drugorzędnych norm moralnych]
str_npc15_2ary_morality_speech|[Nie ma drugorzędnych norm moralnych]
str_npc16_2ary_morality_speech|[Nie ma drugorzędnych norm moralnych]
str_npc1_personalityclash_speech|Oto, co Ci powiem, {mój synu/moja córko}! Odkąd jest z nami ten przeklęty {s11}, miejsca sobie nie mogę znaleźć. Ten świętoszek to łotrzyk i złodziej.
str_npc2_personalityclash_speech|Nie mogę dłużej tego znieść. Ten były klecha, {s11}, nieustannie mnie prześladuje. Nie wiem, co sobie ubzdurał, ale co wieczór nakreśla kredą krąg i modli się w nim, dziwnie na mnie patrząc. A wczoraj próbował skropić mnie wodą...
str_npc3_personalityclash_speech|Oto, co Ci powiem, Panie starszy. Starzec {s11} to bardzo zły człowiek. Nie daje mi spokoju, nieustannie mnie obraża i posądza o wszystkie grzechy śmiertelne.
str_npc4_personalityclash_speech|Słuchaj, przyjacielu. {s11} to podejrzany typ. Jego historia o ucieczce z Moskwy szyta jest grubymi nićmi, a zamiast listów do Astrachania, klnę się na wszystkie świętości, wysyła do kogoś donosy.
str_npc5_personalityclash_speech|Pozwól, że się do Ciebie zwrócę, {herr/dame} {playername}! Ośmielę się zauważyć, że ten {s11} wydaje mi się bardzo podejrzany. Nie lubi światła, włóczy się nocami po obozie i w ogóle zachowuje się bardzo dziwnie.
str_npc6_personalityclash_speech|Pozwól, że coś powiem! Nie podoba mi się ten {s11} i jego katowskie sztuczki. Jak sobie pomyślę, że gdybym nie uciekł z Moskwy, wpadłbym w łapy kogoś takiego jak on, to aż mnie ciarki przechodzą.
str_npc7_personalityclash_speech|Kapitanie, nie mogę dłużej milczeć. Starzec {s11}... Z każdym dniem coraz trudniej z nim wytrzymać. Odkąd dowiedział się, że nie znoszę nawet zapachu alkoholu, cały czas próbuje chuchać mi w twarz. A śmierdzi od niego jak z beczki piwa.
str_npc8_personalityclash_speech|Posłuchaj, ago! {s11}-chanum to straszna kobieta, klnę się na Allaha. Ona już swojego męża zabiła i teraz czuję, że zamierza się na mnie.
str_npc9_personalityclash_speech|{playername}! Chcę Ci powiedzieć, że {s11} nie jest dobrym kompanem. Nieustannie nazywa moją Briańszczyznę odwiecznymi ruskimi ziemiami, choć każdy wykształcony człowiek wie, że one od zawsze należą do Litwy!
str_npc10_personalityclash_speech|Powiedz, jak długo jeszcze mam znosić tego nieokrzesanego Szweda? {s11} może nadaje się na adiutanta, ale gdy prosi się go o jakąś drobną przysługę, to stroszy piórka jak paw w ogrodzie wersalskim.
str_npc11_personalityclash_speech|Ten bezczelny chłopak nieustannie wyprowadza mnie z równowagi! Tak, {s11}, bo to o  nim mowa. Nie ma dnia, żeby nie plątał mi się pod nogami.
str_npc12_personalityclash_speech|Nie chciałem mówić, miłościwy Panie, ale {s11} doprowadza mnie do rozpaczy. W jego oczach jestem chłopem, wieśniakiem, który nie ma nawet prawa wzroku podnieść.
str_npc13_personalityclash_speech|Jeśli {s11} nie przestanie się na mnie gapić jak na dziewkę z przydrożnej karczmy, to taki urok na niego rzucę, że pożałuje!
str_npc14_personalityclash_speech|{Meister/Pani}, chcę Ci powiedzieć wprost, że nie podoba mi się ten szlachciura. Uważa mnie za brud, który osiadł na jego szlachetnych trzewikach. Tak, {s11}, bo to o nim mowa. Jestem wojskową markietanką, a nie jakąś dziewką z twierdzy!
str_npc15_personalityclash_speech|Wybacz głupiej babie, ale powiedz szczerze, co Cię podkusiło, żeby wziąć do oddziału wampira? {s11}, a któżby inny?! Jest dokładnie taki, jak go babka w swoich bajkach opisywała.
str_npc16_personalityclash_speech|Posłuchaj, Panie! Wszystko rozumiem, ale w oddziale nie ma miejsca dla czarownicy. Nie podoba mi się ta {s11} i jej szamańskie sztuczki.
str_npc1_personalityclash_speech_b|Jeśli ten {s11} jeszcze raz spróbuje mnie wyspowiadać, to, jakem szlachcic, po szlachecku dam mu w gębę!
str_npc2_personalityclash_speech_b|Oczywiście, szanuję cudze uczucia religijne, ale wszystko ma swoje granice!
str_npc3_personalityclash_speech_b|A jego sprośne żarty pod moim adresem nieustannie wywołują śmiech wśród nieokrzesanych żołnierzy. Nie będę już tego znosić.
str_npc4_personalityclash_speech_b|Jestem pewien, że to szpieg. Jeśli dalej będziesz go znosił, wybieraj - on albo ja!
str_npc5_personalityclash_speech_b|Pewnego razu, gdy się przebudziłem, zobaczyłem nad sobą jego bladą twarz i wyszczerzone zęby. Bardzo mi się nie podoba, że służę pod jednym sztandarem z tym wampirem.
str_npc6_personalityclash_speech_b|Coraz bardziej boję się iść ramię w ramię z tym potworem. Nie jestem słabeuszem, ale nie mam zamiaru nadstawiać karku dla mistrza.
str_npc7_personalityclash_speech_b|Do tego cały czas wyśpiewuje polskie pieśni i wyzywa carskich dowódców od tchórzy i bandytów. Moja cierpliwość się kończy!
str_npc8_personalityclash_speech_b|A co ja jej takiego powiedziałem? To był komplement. Mówię, że w moim haremie byłaby trzecią, a może nawet i drugą żoną! Nie rozumiem tych rosyjskich kobiet.
str_npc9_personalityclash_speech_b|Jeśli będzie nalegał, to sprawa niewątpliwie zakończy się pojedynkiem.
str_npc10_personalityclash_speech_b|Podstawą dyscypliny jest wyraźne oddzielenie dowódców i podkomendnych. Wybacz, ale bratanie się to nie dla mnie.
str_npc11_personalityclash_speech_b|Najgorsze jest to, że ciągle krzyczy na mnie podczas walki, mówiąc mi, co mam robić. Ostatnio z jego winy straciłem porządny jasyr. Murzo, naucz go, jak ma się zachowywać, albo zrobię to sam.
str_npc12_personalityclash_speech_b|A przecież jestem takim samym członkiem oddziału jak on! Też mi szlachcic, który nie ma nawet ziemi pod ogródek. Nie mogę bez końca godzić się z podobną obrazą.
str_npc13_personalityclash_speech_b|Jestem porządną dziewczyną i nie będę znosić żołnierskiego chamstwa.
str_npc14_personalityclash_speech_b|Jeśli jeszcze raz rzuci mi swą kamizelkę, cedząc przez zęby swoje ''na rano masz to uprać'', poszukam sobie innego miejsca.
str_npc15_personalityclash_speech_b|Może i dobry z niego wojownik, ale wcale nie jest mi przez to łatwiej. Kiedy włóczy się tu po nocach, aż mnie ciarki przechodzą. Nie mnie jednej się to nie podoba. No cóż, wybieraj...
str_npc16_personalityclash_speech_b|Wczoraj podeszła i zaproponowała, że powróży mi na szczęście - mnie, muzułmance. Przecież Allah uważa pogaństwo za grzech śmiertelny...
str_npc1_personalityclash2_speech|Kozak w oddziale - nieszczęście! A jeśli jeszcze nazywa się {s11}, to nieszczęście po stokroć. Jeśli on z nami zostanie, będę musiał się z Tobą pożegnać, {synku/dziewucho}.
str_npc2_personalityclash2_speech|Możliwe, że przychodzę nie w porę, {Panie/Pani}, ale ta {s11} to prawdziwa wiedźma. Kilka razy spotkałem ją w księżycową noc na cmentarzu. Zbierała tam jakieś korzonki. Wolę nie myśleć, co ona z nich robi...
str_npc3_personalityclash2_speech|Przysięgam na Dziewicę Maryję - Kozak {s21} to prawdziwy pomiot piekielny! Nie mówiąc już o jego nienawiści do nas, katolików. Wiele widziałem, ale żeby człowiek mógł z bezsenności wypić cały dzban horyłki, a potem łaził po obozie i szukał okazji do bójki... Tak, coś takiego widzę po raz pierwszy.
str_npc4_personalityclash2_speech|Czegoś tu nie rozumiem. Ten {s11} nie pije horyłki! Jaki z niego zatem, do kroćset, lycerz?
str_npc5_personalityclash2_speech|{Herr komendant/Pani}, przepraszam za szczerość, ale ten litewski parweniusz {s11} żyć mi nie daje. Wymyślił sobie, że jest oficerem i żąda, żebym pełnił obowiązki jego adiutanta.
str_npc6_personalityclash2_speech|{Panie/Pani}, jestem prostym człowiekiem, więc powiem wprost. Niepotrzebnie ciągasz za sobą tę wiedźmę. {s11} ze swoimi wywarami, wróżbami i urokami nie jest nam potrzebna.
str_npc7_personalityclash2_speech|Kapitanie, posłuchaj. {s11} zmieniła moje życie w istne piekło. Na początku postanowiła się o mnie troszczyć, nazywała synkiem i wciąż próbowała na popasach ulokować się jak najbliżej mojego namiotu.
str_npc8_personalityclash2_speech|I jeszcze taka sprawa, {playername}-aga! Ta Twoja strażniczka {s11} nienawidzi mnie od pierwszego dnia. Więc spodziewam się po niej najgorszego.
str_npc9_personalityclash2_speech|{s11}! Znów zgarnął mi sprzed nosa najlepsze miejsce i nawet nie przeprosił! Jeśli ten Tatarzyn nie nauczy się kultury, będę musiał udzielić mu lekcji!
str_npc10_personalityclash2_speech|{s11} to niebezpieczny człowiek. Taki z niego lekarz, jak ze mnie patriarcha Jerozolimy, a tak w ogóle, to czego on szuka w naszym oddziale?
str_npc11_personalityclash2_speech|{s11} jest szpiegiem Gerejów! Wysłano ją specjalnie po to, żeby się ze mną rozprawiła.
str_npc12_personalityclash2_speech|Byłbym ze wszystkiego zadowolony i nie skarżyłbym się na życie, gdyby nie {s11}. Ona mnie nienawidzi. Mówi, że przypominam jej nieboszczyka męża.
str_npc13_personalityclash2_speech|Długo to znosiłam, ale moja cierpliwość ma swoje granice. Ten {s11}, chyba zaczyna mylić mnie z tą Panienką, która owinęła go sobie wokół palca. Te jego zaloty i aluzje bardzo mi przeszkadzają.
str_npc14_personalityclash2_speech|Powiedz mi wprost, po co trzymamy w oddziale tego konowała? {s11} to szarlatan i nierób. Od jego mikstur stale boli mnie brzuch, a jeśli on jeszcze choć raz pokaże swoje ohydne pijawki, to go nimi nakarmię...
str_npc15_personalityclash2_speech|No i koniec, nie mam już mojej mocy. Ta {s11}, Twoja bisurmańska przekupka, znów kupiła śmierdzące mięso i nieświeże warzywa. Jak mam z tego zrobić normalny obiad?
str_npc16_personalityclash2_speech|{s11} to raptus z szaloną ideą niezależnego chanatu nogajskiego. Uwierz moim słowom, on sprowadzi na nas nieszczęście.
str_npc1_personalityclash2_speech_b|Przecież on cały czas pije horyłkę i myśli tylko, kogo by tu obrabować...
str_npc2_personalityclash2_speech_b|Pewnie chcesz zapytać, co tam robiłem w nocy? Po prostu odwiedzałem grób rodziców. Ale jeśli nic się nie zmieni, nie będę mógł dłużej u Ciebie służyć.
str_npc3_personalityclash2_speech_b|A w ostatniej bitwie o mało mnie nie zabił, pomyliwszy z wrogiem. Do tego te nieustanne krzyki: ''Przeklęty schizmatyk!''. Jestem ze starej szlacheckiej rodziny Spasokukockich i nie pozwolę, żeby prostak ze mnie szydził.
str_npc4_personalityclash2_speech_b|Wybacz mi, ale jeśli chłopcy zobaczą mnie w jednym oddziale z tym chłopem, to śmiechu będzie na całą Sicz.
str_npc5_personalityclash2_speech_b|Jestem szwedzkim landsknechtem i służę tylko temu, kto płaci mi żołd. Sprzedaję swoją szpadę, a nie honor żołnierza. Jeśli tak dalej będzie, to w końcu się rozstaniemy.
str_npc6_personalityclash2_speech_b|Wczoraj wszystkim rozdawała odwar ''na odwrócenie kul''. Nie wypiłem, za to poszedłem do najbliższej cerkwi i zapaliłem świeczkę. Ale jeśli tak dalej pójdzie, to mi świeczek nie wystarczy.
str_npc7_personalityclash2_speech_b|Od niedawna jest na mnie o coś zła. Nazywa mnie nieczułym bałwanem i niewdzięcznym szczeniakiem. Jeszcze kilka takich wieczorów i ruszę na poszukiwanie nowych towarzyszy.
str_npc8_personalityclash2_speech_b|Oczywiście, w mojej dawnej pracy trudno było liczyć na ciepłe uczucia rodaków, ale przecież ona w każdej chwili może zarżnąć mnie jak barana!
str_npc9_personalityclash2_speech_b|Do tego wszystkiego on w walce myśli tylko o jeńcach, a nie o wypełnieniu zadania. Wciąż od niego słyszę ''Jasyr, jasyr!''. Nasz oddział zmienia się w prawdziwą ordę.
str_npc10_personalityclash2_speech_b|Przyjrzyj mu się uważniej, inaczej moja obecność w oddziale stanie pod wielkim znakiem zapytania.
str_npc11_personalityclash2_speech_b|Niech trzyma się ode mnie z daleka, inaczej będziesz musiał wybrać - albo ona, albo ja!
str_npc12_personalityclash2_speech_b|Kiedy ona bierze broń do ręki, ciarki mnie przechodzą. Ostatnio tylko o tym myślę.
str_npc13_personalityclash2_speech_b|A jeśli on myśli, że samotna dziewczyna będzie milczała w odpowiedzi na jego nieprzystojne żarty, to się głęboko myli.
str_npc14_personalityclash2_speech_b|Na twoim miejscu, {meister/pani}, dawno już pokazałabym mu drzwi. A może powinnam sobie poszukać innego zleceniodawcy...
str_npc15_personalityclash2_speech_b|Powiem tak. Nie ma miejsca przy jednym piecu dla dwóch gospodyń. Nie jesteś jakimś Tatarem, żeby mieć po cztery żony. Tak więc, jeśli ona nadal będzie mi się wtrącać do gospodarstwa...
str_npc16_personalityclash2_speech_b|Wystarczy, że okiem mrugniesz, a wyprawię go na Szary Step, na spotkanie z przodkami. Nie mam już sił go znosić.
str_npc1_personalitymatch_speech|Podoba mi się ten {s11}. Cóż, że bisurman i kat, skoro w walce śmiały, a mnie okazuje szacunek.
str_npc2_personalitymatch_speech|Korzystając z okazji, chcę powiedzieć, że przydałoby się w naszym oddziale więcej wojowników takich jak ten {s11}! Wyobraź sobie, że to bardzo wykształcony człowiek i doskonale zna się na upuszczaniu krwi.
str_npc3_personalitymatch_speech|Korzystając z okazji, chcę powiedzieć, że {s11} to jedyny porządny człowiek w oddziale, chociaż muzułmanin.
str_npc4_personalitymatch_speech|Tak Ci powiem. {s11}, och, gorąca dziewka. Wczoraj ją w bok uszczypnąłem, a ona mnie kantarem tak rąbnęła, że ledwo uciec zdołałem...
str_npc5_personalitymatch_speech|Powiem wprost, jeśli w naszym oddziale jest jakiś porządny człowiek, to jest nim {s11}. Chociaż jestem luteraninem, uważam go za swego duchowego ojca. Szczególnie od czasu, gdy razem wypiliśmy w nocy beczułkę dobrego tokaju.
str_npc6_personalitymatch_speech|{Panie/Pani}, czuję się zdrów i pełen sił. {s11} dopiero co postawił mi pijawki. Ten lekarz zasługuje na uznanie i szacunek.
str_npc7_personalitymatch_speech|Wybacz, jeśli wtrącam się w nieswoje sprawy, kapitanie, ale chciałbym zwrócić na kogoś Twoją uwagę. {s11} to prawdziwy wojownik i towarzysz broni!
str_npc8_personalitymatch_speech|Cokolwiek by gadano, Tatarzy i Kozacy to prawdziwi bracia! Wczorajszej nocy ja i {s11} wracaliśmy z karczmy, szliśmy objęci i śpiewaliśmy pieśni. On - kozackie, a ja - tatarskie. Wyszło bardzo dobrze, mieszkańcy powyskakiwali z chat, tak jak stali, żeby nas posłuchać.
str_npc9_personalitymatch_speech|Niech będzie błogosławiony ten dzień, w którym pojawiła się u nas {s11}! Jedzenie, picie i... inne radości wojskowego życia wiele znaczą dla nas, żołnierzy.
str_npc10_personalitymatch_speech|Hm... A {s11} to nie pierwszy lepszy. I zupełnie nie boi się krwi.
str_npc11_personalitymatch_speech|My, Nogajowie, zawsze wysoko ceniliśmy ukraińskie dziewczyny. Są z nich najlepsze żony i nałożnice. A nasza {s11} to prawdziwa perła. Jak tylko wywalczę niepodległość Nogajów i zostanę chanem, natychmiast wezmę ją za żonę. Ulubioną żonę.
str_npc12_personalitymatch_speech|Korzystając z okazji, chcę powiedzieć, że {s11} to wspaniały młodzieniec. Nie przechwala się swoim pochodzeniem, jak niektórzy, i zawsze chętnie pomoże towarzyszowi.
str_npc13_personalitymatch_speech|Dawno już bym Cię zostawiła, gdyby nie {s11}. Starzec zastąpił mi zmarłego ojca. To jedyny człowiek, z którym czuję się bezpieczna!
str_npc14_personalitymatch_speech|{Mistrzu/Pani}, mówią, że kobieca przyjaźń nie istnieje, jednak powiem Ci coś - {s11} jest inna - na niej zawsze mogę polegać. Wyleczyła wszystkie nasze konie, a mnie ugotowała wywar na gorączkę, dzięki której wyzdrowiałam w ciągu jednego dnia.
str_npc15_personalitymatch_speech|Co to za jeździec, tam w oddali? Czyż to nie {s11} ze zwiadu wraca? Nic nie powiem, pan z niego wrażliwy, dobrze wychowany. I żarcie moje zawsze chwali i... w ogóle...
str_npc16_personalitymatch_speech|{s11} to prawdziwy wojownik. Może i jego żarty są niesmaczne, a zachowanie niewyszukane, ale umie sobie radzić!
str_npc1_personalitymatch_speech_b|I jeśli mnie kiedykolwiek skażą na śmierć, nie miałbym nic przeciwko, gdyby właśnie on odrąbał mi głowę...
str_npc2_personalitymatch_speech_b|A całkiem niedawno jego wiedza uratowała mi życie.
str_npc3_personalitymatch_speech_b|To dziwne, ale szybko znaleźliśmy wspólny język. Gdyby udało mi się zrobić z niego chrześcijanina, biskup na pewno przywróciłby mi święcenia.
str_npc4_personalitymatch_speech_b|A jaka gospodyni! Szkoda, że z Nowogrodu. Taki barszcz z uszkami nauczyła się gotować, że palce lizać. Dobrze zrobiłeś, że ją wziąłeś.
str_npc5_personalitymatch_speech_b|Do tego nasz święty ojciec, jak się okazało, jest niezastąpiony w walce. Na przykład, ostatnim razem tak wyklinał, że konie przeciwnika spłoszyły się w galopie.
str_npc6_personalitymatch_speech_b|Ten balsam, którym obłożył mi rany po walce, wyleczył mnie w ciągu kilku dni. Cieszę się, że mamy w oddziale tego uczonego męża.
str_npc7_personalitymatch_speech_b|Na początku wydał mi się wyniosły, ale potem okazało się, że jest to człowiek, na którego zawsze można liczyć.
str_npc8_personalitymatch_speech_b|Chcesz powiedzieć, że Allach nie pozwala pić wina? Zgadza się, ale {s11} doskonale zna religię. Wyjaśnił mi, że o horyłce nie napisano w Koranie ani słowa...
str_npc9_personalitymatch_speech_b|Nasza bojowa markietanka we wszystkim jest najlepsza. Ech, Boże, gdyby nie była nisko urodzona, oddałbym jej rękę i serce - lepszej gospodyni do mojej posiadłości nie ma na całym świecie.
str_npc10_personalitymatch_speech_b|Powiem Ci coś - razem w walce jesteśmy nie do pokonania.
str_npc11_personalitymatch_speech_b|I jeśli ona jest tak zdolna w sztuce miłosnej, jak w tym swoim szamaństwie, to będzie się kąpać w rozkoszy!
str_npc12_personalitymatch_speech_b|Szkoda, że wybrał drogę wojenną. Byłby z niego znakomity lekarz.
str_npc13_personalitymatch_speech_b|I on, prawdopodobnie, uważa mnie za przyjazną duszę. Pójdę do lasu, poszukam ziółek, żeby wyleczyć go z podagry.
str_npc14_personalitymatch_speech_b|Uważam, że jest najcenniejszą osobą w oddziale. I przekaż wszystkim: jeśli ktoś spróbuje ją skrzywdzić, do końca podróży będzie jadł tylko zepsutą koninę.
str_npc15_personalitymatch_speech_b|Jak go spotkasz, powiedz mu, żeby jak najszybciej przyszedł na obiad. Zachowałam dla niego najlepsze kąski. Gdyby mój mąż tak dobrze wyglądał i odnosił się do mnie z taką galanterią, nie wymachiwałabym wałkiem.
str_npc16_personalitymatch_speech_b|Wydaje mi się, Panie, że powinieneś mu się dobrze przyjrzeć i godnie go wynagrodzić. Ten człowiek nigdy Cię nie zawiedzie.
str_npc1_retirement_speech|Posłuchaj, {synku/dziewucho}! Już nie te lata, żeby jak koziołek skakać i szabelką wymachiwać. Pieniążków trochę odłożyłem, kupię sobie chutorek i tam na starość poczekam...
str_npc2_retirement_speech|{Panie/Pani}, muszę to powiedzieć. Od samego początku idzie nam zupełnie nie tak, jak się spodziewałem. Wybacz, ale opuszczę Cię. Poszukam towarzyszy, którzy będą lepiej odnosić się do mnie i moich przyzwyczajeń.
