str_no_string|AUCUNE CHAÎNE !
str_npc6_backstory_response_2|Triste histoire. Mais on m'en a déjà raconté de semblables. Au revoir !
str_npc7_backstory_response_2|Comme les Cosaques disent : "un homme maigre est soit malade, soit pauvre". Alors, vous comprenez...
str_npc8_backstory_response_2|Je suis désolé, mais je n'ai guère besoin d'un bourreau. Demandez à quelqu'un d'autre.
str_npc9_backstory_response_2|Chaque homme détermine lui-même quelle sera sa juste cause. Je ne pense pas être le compagnon qu'il vous faut.
str_npc10_backstory_response_2|Je vous conseille de reprendre le service.
str_npc11_backstory_response_2|Vous devriez peut-être vous trouver une nouvelle horde dans ce cas...
str_npc12_backstory_response_2|Ah non, cher ami ! Vous pourriez m'empoisonner également !
str_npc13_backstory_response_2|J'ai toujours pensé que les gens de votre espèce étaient des charlatans. Vous avez eu ce que vous méritez.
str_npc14_backstory_response_2|J'ai bien peur de ne pas avoir assez dans ma bourse pour payer tous vos nombreux talents. Je vais devoir refuser.
str_npc15_backstory_response_2|Eh bien, je plains ceux qui se frotteront à vous.
str_npc16_backstory_response_2|Vous avez l'air d'attirer les ennuis plus qu'autre chose.
str_npc1_signup|Tant mieux, alors. Mangeons et mettons-nous en route.
str_npc2_signup|Pardonnez-moi de ne pas me joindre à vous pour le repas. J'ai déjà soupé et je ne dîne jamais après cela.
str_npc3_signup|J'accepte votre proposition avec plaisir, mon fils ! Je jure sur notre Sainte Marie Mère de Dieu que vous ne le regrettez pas.
str_npc4_signup|Fort bien. Comme vous voudrez.
str_npc5_signup|Fort bien. Mais sachez aussi qu'outre mes talents pour manier le mousquet et la pique, je sais également m'occuper des prisonniers et collecter les trésors de guerre.
str_npc6_signup|Je n'ai nulle part où aller. Rares sont ceux qui engageraient un tireur d'élite en fuite. Je serais heureux de vous accompagner. Je peux toucher l'œil d'un écureuil avec une flèche et suivre les pistes comme personne, vous savez.
str_npc7_signup|Merci, {Monsieur/Madame}. Fêtons cela en buvant quelques chopes d'un bon kvas...
str_npc8_signup|Allah est grand, il m'a envoyé un bon maître. Au fait, un bon repas serait le bienvenu. Pas de porc, évidemment !
str_npc9_signup|Je vous remercie. Je peux mener des escadrons au combat et être votre bras droit pendant la bataille. Et je manie la pique comme personne !
str_npc10_signup|Bien sûr ! Vous ne le regretterez pas. J'entraînerai vos soldats nuit et jour ! J'en ferai de vrais guerriers !
str_npc11_signup|Je suis né sur une selle. Je suis un champion de l'épée et je me repère très bien dans les steppes.
str_npc12_signup|Je vous suis reconnaissant. Je ne fais pas que soigner la fièvre et appliquer des sangsues. Je sais aussi bander les blessures de guerre.
str_npc13_signup|Vous me proposez une place à vos côtés ? Très bien, j'accepte.
str_npc14_signup|Fort bien, j'accepte de vous suivre. Je m'occupe du marchandage à partir de maintenant. Je ne suis pas qu'une bonne négociatrice, je sais aussi me servir d'une épée. Les convois ont besoin d'être protégés, comme vous le savez...
str_npc15_signup|Je ne fais pas un bruit lorsque je suis calme. Mais si je m'énerve, je peux réduire n'importe qui en bouillie à mains nues. Prenez-moi avec vous, {Monsieur/Madame}. Je sais aussi faire des tartes !
str_npc16_signup|Je suis prêt à vous suivre jusque dans l'antre de Sheitan. Je suis un adepte des couteaux et un très bon tireur.
str_npc1_signup_2|Rappelez-vous seulement ceci : des soldats doivent être bien nourris et bien payés à tout instant.
str_npc2_signup_2|Je suis très habile à l'épée et j'ai appris les tactiques de bataille grâce à de longues observations. De plus, je sais pratiquer des saignées en cas de maladie.
str_npc3_signup_2|Le service religieux n'est pas ma seule occupation : je me sers aussi plutôt bien d'une pique. Si vous avez besoin de persuader quelqu'un, je suis capable de le faire, même s'il s'agit d'un mort. Il n'y a que les couards que je méprise...
str_npc4_signup_2|Mais rappelez-vous que depuis que j'ai été fait prisonnier, je ne supporte pas les commandants qui fuient le champ de bataille.
str_npc5_signup_2|N'oubliez pas que dans l'armée suédoise, nous sommes habitués à la régularité des payes et des repas. Par ailleurs, je ne me battrai pas contre ma propre nation. J'espère que vous comprenez.
str_npc6_signup_2|J'espère que vous êtes un honnête guerrier et non pas quelque fripouille. J'ai vu beaucoup de choses durant mon service et je ne saurai accepter que des innocents souffrent.
str_npc7_signup_2|Sachez que je ne supporterai pas d'être déshonoré par mon commandant.
str_npc8_signup_2|En effet, des repas réguliers sont le meilleur moyen de s'assurer la fidélité des soldats. De plus, j'essaie de garder mes distances avec toutes ces femmes... Créatures infernales !
str_npc9_signup_2|Du moment que notre groupe ne bafoue pas l'honneur des chevaliers, ça me convient. L'honneur est la première chose qui compte pour un noble lituanien, même un noble désargenté.
str_npc10_signup_2|Tant que votre groupe restera fort et uni, je serai à vos côtés. Mais je ne tolère pas les manquements au devoir... ni les dettes ni les retards de paye.
str_npc11_signup_2|Il vaut mieux que je ne croise pas de Criméen.
str_npc12_signup_2|Il faut que vous sachiez que je suis un homme simple et que je n'apprécie guère les maîtres qui gagnent leur fortune en volant les gens ordinaires...
str_npc13_signup_2|Mon art m'interdit de tuer des gens, si ce n'est pour me défendre. Mais pour toute autre activité paisible, je suis très utile.
str_npc14_signup_2|J'espère qu'il n'y a pas d'autre femme. Sinon, il va y avoir des chamailleries.
str_npc15_signup_2|En tout cas, si vous avez besoin de quelqu'un pour faire le ménage, appelez-moi.
str_npc16_signup_2|Les seules choses que je ne supporte pas, ce sont la couardise et le déshonneur.
str_npc1_signup_response_1|Je ne lésine jamais sur les provisions, mon vieux. Pas d'inquiétude.
str_npc2_signup_response_1|Dans ce cas, je vous souhaite la bienvenue dans mon groupe.
str_npc3_signup_response_1|J'espère que votre loquacité nous sera utile.
str_npc4_signup_response_1|Je suis d'accord avec vous. Trinquons, c'est moi qui offre ! Et préparez vos affaires, nous partons bientôt.
str_npc5_signup_response_1|Fort bien. Préparez-vous au voyage, mercenaire. Nous allons voir ce que vous valez.
str_npc6_signup_response_1|Vous êtes tout à fait l'homme qu'il me faut. Nous partirons après dîner.
str_npc7_signup_response_1|Buvez votre kvas, jeune homme, et ne vous inquiétez point.
str_npc8_signup_response_1|Faites votre travail et ne vous inquiétez pas pour vos repas.
str_npc9_signup_response_1|Je suis content que l'on se comprenne.
str_npc10_signup_response_1|Votre aide me serait très précieuse !
str_npc11_signup_response_1|Eh bien, Nogaï, vous êtes engagé.
str_npc12_signup_response_1|Je suis un homme d'honneur. Préparez-vous pour le voyage.
str_npc13_signup_response_1|Espérons que vous nous porterez chance.
str_npc14_signup_response_1|Je pense que vous vous entendrez bien avec mes compagnons. Rassemblez vos affaires.
str_npc15_signup_response_1|Des tartes ? J'ai l'impression que vous nous serez plus utile sur un champ de bataille que dans une cuisine.
str_npc16_signup_response_1|Rassemblez vos affaires. Nous allons partir.
str_npc1_signup_response_2|Il arrive que la guerre nous oblige à nous serrer la ceinture. Alors, non, désolé...
str_npc2_signup_response_2|Voyager avec l'engeance de Dracula ? Non merci.
str_npc3_signup_response_2|Si vous souhaitez rejoindre une armée, vous devriez enlever votre froc et votre croix, puis enfiler une cuirasse. Nous en reparlerons quand vous aurez fait votre choix.
str_npc4_signup_response_2|On peut gagner une guerre même en ayant perdu une bataille. Trouvez-vous un autre compagnon.
str_npc5_signup_response_2|Vous devez faire erreur, mercenaire. Je ne commande pas de régiment royal.
str_npc6_signup_response_2|À la guerre, la limite entre le vol et les faits d'armes est parfois fine. Il vaut mieux que nos chemins se séparent.
str_npc7_signup_response_2|Un abstinent moralisateur ? Nous ne passons pas nos journées à prier Dieu. Nous gagnons notre vie en faisant la guerre.
str_npc8_signup_response_2|Misogyne, bourreau et glouton... Je crois que nos chemins vont se séparer.
str_npc9_signup_response_2|Je ne pense pas que vous vous entendriez avec mes hommes. Au revoir !
str_npc10_signup_response_2|J'ai peur qu'un démon comme vous n'effraie tous mes mercenaires.
str_npc11_signup_response_2|Il serait dangereux de vous avoir à mes côtés. Je ne veux pas d'ennuis avec les Tartares.
str_npc12_signup_response_2|Et à quoi d'autre serviraient les serfs ? Non, je n'ai pas besoin d'un rebelle.
str_npc13_signup_response_2|Une âme pacifique dans un groupe est plus dangereuse qu'un régiment de cuirassiers.
str_npc14_signup_response_2|Sûrement pas. Je n'ai pas besoin d'un voleur misogyne.
str_npc15_signup_response_2|Il y a eu une femme guerrière, une fois, en France. Jeanne d'Arc. Elle a connu une fin tragique...
str_npc16_signup_response_2|Un garde du corps avec un grand sens de la décence. C'est un peu ridicule, non ?
str_npc1_payment|Je vais être très utile pour vous, {monsieur / madame}, vous pouvez le croire. Juste une dernière chose avant que nous allions, pourriez-vous me prêter {reg3} dinars? Je ne veux pas l'admettre, mais j'ai fait des dettes ici. J'ai séjourné dans cet hôtel pour un couple de semaines et les propriétaires de tavernes ne pense pas que je suis plus riche que je dis. Vous savez, la situation ici pourrait être laid, si tu me vois sortir avec vous avant de payer.
str_npc2_payment|Avec plaisir. Je n'ai qu'une requête : hier soir, j'ai été quelque peu malchanceux au jeu... Pourriez-vous régler ma dette ? C'est une somme dérisoire, à peine {reg3} thalers. Ainsi, je pourrai quitter la ville la conscience tranquille.
str_npc3_payment|.
str_npc4_payment|Petit détail : j'ai une légère dette envers le tavernier. Hier soir, j'ai voulu faire la fête et j'ai offert des tournées à tous les clients. Puis, on s'est bagarrés avec des Polonais qui passaient par là... Pourriez-vous régler ma dette ? Il ne s'agit que de {reg3} thalers.
str_npc5_payment|Une chose, encore. Après la perte de toutes mes possessions, j'ai dû vendre ma cuirasse. Pourriez-vous m'avancer {reg3} thalers afin de rembourser l'usurier ? Sans cuirasse lors d'une bataille, je ne vaux guère mieux qu'une tortue sans carapace.
str_npc6_payment|Oui, mais il y a un léger problème : ma femme est toujours sans le sou. Si vous acceptiez de me donner {reg3} thalers, je pourrais les lui envoyer pour qu'elle couvre ses besoins. Dans ce cas, je vous suivrais immédiatement. Sinon, il me faudra devenir brigand pour trouver de l'argent.
str_npc7_payment|Je suis prêt. Mais j'ai une petite requête : donnez-moi {reg3} thalers pour un nouveau manteau. Le mien est si usé, je ne voudrais pas voyager en ayant l'air si peu... présentable.
str_npc8_payment|Ma hache vous servira avec honneur. Si, bien sûr, vous me donnez {reg3} thalers pour que je m'achète un nouveau manche. J'ai travaillé un mois durant à l'abattoir local, cela a émoussé ma hache.
str_npc9_payment|C'est un plaisir de faire affaire avec vous, {Monsieur/Madame}. Mais j'ai une requête à vous faire. Il me faudrait {reg3} thalers d'urgence, pour acheter un arbre généalogique élaboré par un roi d'armes qui y avait apposé son sceau. J'avais rencontré cet homme par un heureux hasard. Avec un tel parchemin, il me serait possible de réclamer mes terres...
str_npc10_payment|Voilà une bonne nouvelle. Et puisque nous sommes à présent compagnons, j'aurais une petite chose à vous demander : seulement {reg3} thalers. C'est ce que réclame le bijoutier d'ici pour une bague que je souhaiterais faire parvenir à ma pani. Peut-être me reviendra-t-elle après cela.
str_npc11_payment|Allah Akbar ! J'aurais besoin de {reg3} thalers pour une nouvelle selle.
str_npc12_payment|Mettons-nous d'accord sur quelques formalités, {Monsieur/Madame}: une petite avance, pour ainsi dire. Seulement {reg3} thalers.
str_npc13_payment|Maintenant que nous avons trouvé un accord, puis-je vous demander une faveur ? C'est une parente éloignée qui m'a accueillie ici. Pourriez-vous me donner {reg3} thalers pour la dédommager de tout ce qu'elle a fait pour moi ?
str_npc14_payment|Il y a un léger problème, cependant. Il y avait une foire l'autre jour et j'y ai vendu des marchandises à un groupe sans la permission de la guilde locale. Tant que je n'aurai pas payé une amende de {reg3} thalers, les gardes ne me laisseront pas quitter la ville.
str_npc15_payment|Ah, quelle joie ! {Mon bon Monsieur/Ma bonne dame}, pourriez-vous m'accorder la maigre somme de {reg3} thalers pour que je m'achète des babouches ? Je ne peux aller nulle part avec ce que j'ai aux pieds.
str_npc16_payment|Grand merci ! Mais d'abord, accordez-moi {reg3} thalers, s'il vous plaît. J'ai repéré une excellente cotte de mailles. Sans une bonne armure, quelle sorte de garde du corps serais-je ?
str_npc1_payment_response|.
str_npc2_payment_response|Voici {reg3} thalers.
str_npc3_payment_response|.
str_npc4_payment_response|Vous n'avez qu'à demander. Voici vos {reg3} thalers.
str_npc5_payment_response|Il y a {reg3} thalers dans cette bourse. J'espère que ce prêt m'octroiera vos loyaux services.
str_npc6_payment_response|La famille passe en premier. Prenez cet argent.
str_npc7_payment_response|Bien sûr. Prenez l'argent.
str_npc8_payment_response|Tenez, vous pouvez recompter.
str_npc9_payment_response|Pour un noble, l'arbre généalogique compte énormément. Prenez cet argent, je vous en prie.
str_npc10_payment_response|Voici {reg3} thalers. Mais je ne pense pas que ce soit un bon investissement.
str_npc11_payment_response|Très bien, voilà vos {reg3} thalers.
str_npc12_payment_response|Bien. Mais j'attends de vous que vous me serviez fidèlement. Tenez.
str_npc13_payment_response|Nul n'est à l'abri de la pauvreté et de la prison, comme on dit. Prenez ceci.
str_npc14_payment_response|Prenez ceci. Je pense que cet investissement me rapportera bientôt.
str_npc15_payment_response|D'accord, prenez ceci. Je suis content de vous compter parmi nous.
str_npc16_payment_response|Si vous dites que vous en avez besoin, alors prenez ces {reg3} thalers.
str_npc1_morality_speech|Écoutez, {mon garçon/ma fille} ! J'ai été clair, je n'apprécie guère {s21} !
str_npc2_morality_speech|Pardonnez ma franchise, mais je déteste {s21}. Ce n'est pas digne d'un noble.
str_npc3_morality_speech|C'est intolérable ! Encore et toujours {s21}. Quand cela cessera-t-il ?
str_npc4_morality_speech|Hé, Cosaque, {s21} est une honte pour un habitant du Sich. Réfléchissez avant de parler, la prochaine fois.
str_npc5_morality_speech|Nous devons {s21} ? Surprenant. On pourrait croire que prendre soin de ses soldats serait la priorité.
str_npc6_morality_speech|Vous avez ordonné de {s21} ! C'est intolérable !
str_npc7_morality_speech|Ah, {s21} ? J'en suis bouleversé.
str_npc8_morality_speech|Ah, {s21}, par Sheitan ! Cela me retourne l'estomac.
str_npc9_morality_speech|Oh, {s21}, quel déshonneur. Je ne commettrai pas un tel acte.
str_npc10_morality_speech|Pour moi, {s21} serait un déshonneur. Un commandant qui autoriserait cela ne mérite point ma confiance.
str_npc11_morality_speech|Nous sommes des guerriers, nous ne devrions pas avoir à {s21}. Sinon, nous risquons de perdre tous nos soldats.
str_npc12_morality_speech|Commandant, je suis un médecin, je ne peux rester là à vous regarder {s21}. Ayez pitié de ces pauvres gens !
str_npc13_morality_speech|Écoutez, je ne ferais pas confiance à un homme qui accepterait de {s21}. Faites cesser cela ! Ne tentez pas le diable.
str_npc14_morality_speech|Je suis commissaire, je n'accepterai jamais de {s21}. Ne recommencez pas.
str_npc15_morality_speech|Selon moi, {s21} est un péché. Si cela continue, je ne sais pas quelle mesure je prendrai...
str_npc16_morality_speech|Maître, je vous ai prévenu que rien ne m'offensait plus que de {s21}. J'ose espérer que cela ne se reproduira pas.
str_npc1_2ary_morality_speech|Encore {s21} ! Ah non, ça suffit !
str_npc2_2ary_morality_speech|Vous avez décidé de {s21}. Si cela continue, nos chemins devront se séparer.
str_npc3_2ary_morality_speech|Ah {s21}, voilà une chose que je n'approuve point.
str_npc4_2ary_morality_speech|La gloire et l'honneur sont des priorités ! Et vous, vous avez décidé de {s21}. Allez en enfer !
str_npc5_2ary_morality_speech|[Pas de code moral secondaire]
str_npc6_2ary_morality_speech|[Pas de code moral secondaire]
str_npc7_2ary_morality_speech|Selon moi, {s21} est une chose inacceptable. Si cela ne cesse point, je me chercherai un autre commandant.
str_npc8_2ary_morality_speech|[Pas de code moral secondaire]
str_npc9_2ary_morality_speech|[Pas de code moral secondaire]
str_npc10_2ary_morality_speech|[Pas de code moral secondaire]
str_npc11_2ary_morality_speech|[Pas de code moral secondaire]
str_npc12_2ary_morality_speech|[Pas de code moral secondaire]
str_npc13_2ary_morality_speech|Mais {s21} ne vous dérange pas ? J'ai peur que nous ne nous entendions point.
str_npc14_2ary_morality_speech|[Pas de code moral secondaire]
str_npc15_2ary_morality_speech|[Pas de code moral secondaire]
str_npc16_2ary_morality_speech|[Pas de code moral secondaire]
str_npc1_personalityclash_speech|Voilà le problème, {mon garçon/ma fille} : depuis que ce fripon de {s11} est parmi nous, je ne suis pas tranquille. Il se fait passer pour un saint, mais en réalité, c'est un voleur doublé d'un escroc.
str_npc2_personalityclash_speech|Je n'en peux plus. Ce moine défroqué {s11} me suit partout. Je ne sais pas ce qu'il prépare, mais chaque nuit, il trace un cercle à la craie, au centre duquel il prie en me regardant de travers. Et l'autre jour, il a essayé de m'asperger d'eau bénite...
str_npc3_personalityclash_speech|Commandant, selon moi, {s11} est un homme dur et cruel. Je ne peux rien faire sans qu'il m'accuse de tous les maux.
str_npc4_personalityclash_speech|Écoutez, mon ami. J'ai des soupçons envers {s11}. Il prétend avoir fui Moscou, mais c'est une invention manifeste. Je le jure sur ma croix, c'est un espion. Il assure envoyer des lettres à Astrakhan, mais que fait-il vraiment ?
str_npc5_personalityclash_speech|Puis-je vous parler, {Herr/Dame} {playername} ? Je trouve que {s11} agit de manière suspecte. Il ne profite jamais du soleil, se promène dans le camp la nuit et se comporte de façon étrange.
str_npc6_personalityclash_speech|Permettez-moi, Monsieur ! Je n'aime pas ce {s11} avec ses habitudes de bourreau. À la seule pensée que j'aurais été livré à un homme comme lui si je n'avais pas fui Moscou, j'ai des frissons.
str_npc7_personalityclash_speech|Capitaine, je ne peux me taire plus longtemps. La présence de ce vieillard de {s11} m'est de plus en plus insoutenable. Depuis qu'il sait que je ne supporte pas l'odeur de l'alcool, il passe son temps à me souffler au visage. Et il a une haleine de fond de tonneau.
str_npc8_personalityclash_speech|Aga ! {s11}-hanum est une femme effrayante, Allah m'en soit témoin. Elle a tué son mari et je suis sûr que cette diablesse s'est entichée de moi.
str_npc9_personalityclash_speech|{playername} ! Je tiens à souligner que {s11} n'est pas de très bonne compagnie. Il assure que ma terre natale de Bryansk est d'origine russe, alors que tout homme avec un tant soit peu d'éducation sait qu'elles ont toujours fait partie de la Lituanie !
str_npc10_personalityclash_speech|Excusez-moi, mais combien de temps nous faudra-t-il supporter la présence de ce fruste de Suédois ? {s11} n'est point un compagnon de voyage. Il n'est rien plus qu'un serviteur. Et si vous lui demandez une petite faveur, il se rengorge comme un paon ! 
str_npc11_personalityclash_speech|Ce garçon m'énerve prodigieusement ! Oui, ce {s11}. Pas un jour ne passe sans que je l'aie dans les pattes.
str_npc12_personalityclash_speech|J'ai essayé de prendre sur moi, mon commandant, mais {s11} me désespère. Pour lui, je ne suis qu'un serf, un esclave qui n'a pas le droit de lever les yeux sur lui.
str_npc13_personalityclash_speech|Si {s11} n'arrête pas de me regarder comme si j'étais une de ces servantes de taverne, je lui lancerai un mauvais sort. Vous pouvez en être certain.
str_npc14_personalityclash_speech|{Monsieur/Madame}, permettez-moi d'être claire. Je n'apprécie pas ce noble qui me considère comme une flaque de boue sur le bord d'une route ou comme un étron collé à sa si noble botte. Oui, je parle de {s11}. Je suis un commissaire de l'armée, pas une vulgaire servante !
str_npc15_personalityclash_speech|Pardonnez les paroles d'une pauvre femme, mais pourquoi avez-vous pris un vampire dans notre groupe ? Je parle évidemment de {s11}, qui d'autre ? On dirait qu'il sort tout droit des histoires que me racontait ma grand-mère.
str_npc16_personalityclash_speech|Maître ! Je peux supporter beaucoup de choses, mais pas une sorcière ! Les pratiques de shaman de cette {s11} ne sont pas de mon goût. Pas du tout.
str_npc1_personalityclash_speech_b|Si ce {s11} me sermonne une fois de plus, je vous jure que je le réduirai en bouillie, comme tout bon aristocrate le ferait !
str_npc2_personalityclash_speech_b|Je respecte les opinions religieuses, mais là, cela devient ridicule !
str_npc3_personalityclash_speech_b|Ses blagues scabreuses à mon égard font rire ces malpropres de soldats. Je ne tolérerai pas cela éternellement.
str_npc4_personalityclash_speech_b|Je suis certain qu'il s'agit d'un espion. Je ne puis tolérer sa présence plus longtemps. Il vous faut choisir : c'est lui ou moi !
str_npc5_personalityclash_speech_b|À mon réveil, j'ai vu son visage pâle et ses dents juste au-dessus de moi. Je n'apprécie guère de me tenir sous la même bannière qu'un vampire.
str_npc6_personalityclash_speech_b|Marcher aux côtés de ce monstre devient de plus en plus effrayant. Je ne suis pas du genre timide, mais c'est assez perturbant d'avoir un bourreau dans son dos.
str_npc7_personalityclash_speech_b|Il passe son temps à vociférer ses chants polonais et traite les seigneurs de guerre du tsar de couards et de bandits. Ma patience a atteint ses limites !
str_npc8_personalityclash_speech_b|Qu'est-ce que j'ai dit de mal ? C'était un compliment. Je lui faisais simplement remarquer que, dans mon harem, elle serait la troisième, voire la seconde femme. Qu'est-ce qui ne tourne pas rond chez ces femmes russes ?
str_npc9_personalityclash_speech_b|S'il continue, nous réglerons cela en duel.
str_npc10_personalityclash_speech_b|Le respect de la hiérarchie est la base de la discipline. Pardonnez-moi, mais je n'aime guère les familiarités.
str_npc11_personalityclash_speech_b|Le pire, c'est qu'il me hurle dessus en permanence pendant les batailles, me dictant ce que je dois faire. Grâce à lui, j'ai perdu mes yesir, mes prisonniers ! Apprenez-lui à se tenir, ô Mirza, ou je le ferai moi-même.
str_npc12_personalityclash_speech_b|Je suis un membre du groupe au même titre que lui. Quel noble il fait, sans même une terre arable ! Je ne tolérerai plus cette humiliation.
str_npc13_personalityclash_speech_b|Je suis une fille respectable et je n'ai pas à supporter la grossièreté des soldats.
str_npc14_personalityclash_speech_b|S'il me jette encore une fois son manteau en marmonnant que celui-ci doit être propre d'ici le lendemain matin, je vais devoir chercher une autre compagnie.
str_npc15_personalityclash_speech_b|C'est un bon guerrier, et alors ? Quand il rôde la nuit, mon cœur s'emplit de terreur. Je ne suis pas la seule à me méfier de lui... Il vous faut prendre une décision...
str_npc16_personalityclash_speech_b|L'autre jour, elle est venue me voir et m'a offert un porte-bonheur. À moi, un musulman ! Alors qu'Allah condamne les infidèles à mort...
str_npc1_personalityclash2_speech|Il y a un Cosaque fauteur de troubles dans le groupe. Vous voyez de qui je veux parler : {s11}. Il ne cause que des problèmes. S'il reste parmi nous plus longtemps, je vais devoir vous quitter, {mon garçon/ma fille}.
str_npc2_personalityclash2_speech|Ce n'est peut-être pas à moi de le dire, {Monsieur/Madame}, mais cette {s11} est une vraie sorcière. Je l'ai vue dans le cimetière une nuit de clair de lune. Elle ramassait des racines. Je n'ose imaginer quelle potion elle va préparer avec cela.
str_npc3_personalityclash2_speech|Par la Vierge Marie, ce Cosaque, {s11}, est un démon ! Et je ne parle pas de sa haine des bons catholiques. J'ai assisté à de nombreuses choses, mais jamais je n'avais vu un homme capable de vider une bouteille de vodka de bon matin et de chercher ensuite la bagarre... C'est la première fois de ma vie que je vois ça.
str_npc4_personalityclash2_speech|Je ne comprends pas. Ce {s11} ne touche jamais à la vodka ! C'est un chevalier de l'enfer, c'est sûr !
str_npc5_personalityclash2_speech|{Herr/Dame} commandant, pardonnez ma franchise, mais ce parvenu lituanien, {s11}, ne me laisse jamais de repos. Il se croit officier et exige que je sois son serviteur.
str_npc6_personalityclash2_speech|Vous savez quoi, {Monsieur/Madame} ? Je vais être franc : nous ne devrions pas garder cette sorcière avec nous. Nous n'avons pas besoin des potions, des sorts et de la magie de cette {s11}.
str_npc7_personalityclash2_speech|Capitaine, écoutez-moi. {s11} fait de ma vie un enfer. D'abord, elle était condescendante envers moi, puis elle s'est mise à m'appeler "fiston". Cette nuit, elle a essayé d'entrer dans ma tente !
str_npc8_personalityclash2_speech|Encore une chose, {playername}-aga ! Votre garde, {s11}, me déteste depuis le premier jour. Je m'attends toujours à ce qu'elle me joue un mauvais tour.
str_npc9_personalityclash2_speech|C'est {s11} ! Il a raflé la meilleure place sous mon nez sans même s'excuser ! Si ce Tartare n'apprend pas à se conduire comme une personne civilisée, je vais lui donner une leçon !
str_npc10_personalityclash2_speech|{s11} est un homme dangereux. Si c'est un médecin, alors je suis le patriarche de Jérusalem. Que fait-il dans notre groupe ?
str_npc11_personalityclash2_speech|{s11} espionne pour le compte des Giray ! On l'a envoyée m'assassiner, j'en suis convaincu.
str_npc12_personalityclash2_speech|Je n'aurais pas à me plaindre s'il n'y avait pas {s11}. Cette sorcière me hait. Elle n'arrête pas de répéter que je lui rappelle son défunt mari.
str_npc13_personalityclash2_speech|Ma patience a atteint ses limites. Ce {s11} me confond apparemment avec la pani qui l'a si hardiment manipulé. Je trouve sa cour et ses insinuations insultantes.
str_npc14_personalityclash2_speech|Répondez-moi franchement. Pourquoi gardons-nous ce charlatan dans notre groupe ? {s11} est un escroc et un bon à rien. Ses concoctions me font mal au ventre et s'il me montre encore ces horribles sangsues, je les lui ferai avaler.
str_npc15_personalityclash2_speech|Je n'en peux plus. Ce {s11}, le marchand païen, a encore rapporté de la viande faisandée et des légumes pourris. Comment puis-je faire un repas avec ça ?
str_npc16_personalityclash2_speech|{s11} est un parvenu avec des idées folles. Il imagine un khanat nogaï indépendant. Croyez-moi, il va nous attirer des ennuis.
str_npc1_personalityclash2_speech_b|Il passe son temps à engloutir sa vodka et à chercher la prochaine personne qu'il délestera de sa bourse...
str_npc2_personalityclash2_speech_b|Vous vous demandez ce que je faisais dans le cimetière tard dans la nuit ? Je me baladais, voilà tout. Sachez que si vous gardez cette sorcière, je quitterai le groupe.
str_npc3_personalityclash2_speech_b|Lors de notre dernière bataille, il a failli me tuer en me prenant pour l'ennemi. Il me traite constamment de "satané schismatique". Je suis d'une ancienne maison aristocratique de Spasokukotskis, je ne laisserai pas un serf se moquer de moi.
str_npc4_personalityclash2_speech_b|Je suis désolé, mais si les miens me voient en compagnie de ce poltron, tout le Sich se moquera de moi.
str_npc5_personalityclash2_speech_b|Je suis un mercenaire suédois et je ne sers que celui qui me paie. Mon épée est à vendre, mais pas mon honneur. Si cela ne cesse pas, je devrai partir.
str_npc6_personalityclash2_speech_b|Hier, elle a donné à tout le monde une potion "contre les balles". Je ne l'ai pas bue, j'ai préféré me rendre dans l'église la plus proche et allumer un cierge. Si cela continue, je vais être à court de cierges.
str_npc7_personalityclash2_speech_b|Il y a quelques jours, elle s'est énervée contre moi pour je ne sais quelle raison. Elle m'a traité d'imbécile insensible et d'idiot ingrat. Encore une ou deux nuits comme celle-ci et je partirai me trouver d'autres compagnons.
str_npc8_personalityclash2_speech_b|Il est vrai que mon dernier travail ne m'a pas apporté un grand respect de la part de mes compatriotes, mais elle, elle pourrait me dépecer comme un mouton !
str_npc9_personalityclash2_speech_b|Et il y a pire : durant les batailles, la seule chose à laquelle il pense, c'est faire des prisonniers. On n'entend que "yesir, yesir" de sa bouche. Il va transformer notre compagnie en horde.
str_npc10_personalityclash2_speech_b|Gardez-le à l'œil ou il se peut que je ne reste pas dans votre compagnie.
str_npc11_personalityclash2_speech_b|Elle doit garder ses distances ou vous devrez choisir entre nous deux.
str_npc12_personalityclash2_speech_b|Quand elle s'empare de son arme, j'ai des frissons qui me parcourent l'échine. Ce qu'elle a fait m'obsède.
str_npc13_personalityclash2_speech_b|Et s'il croit qu'une fille esseulée va se taire pendant qu'il raconte ses blagues scabreuses, il se trompe lourdement.
str_npc14_personalityclash2_speech_b|À votre place, {Monsieur/Madame}, il y a longtemps que je l'aurais renvoyé. J'espère que vous le ferez bientôt... sinon je vais devoir me mettre en quête d'un nouveau maître.
str_npc15_personalityclash2_speech_b|Voilà ce que j'en pense. Il ne devrait pas y avoir deux maîtresses de maison derrière un four. Vous n'êtes pas un de ces Tartares qui possèdent quatre femmes. Alors, si elle continue à se mêler des corvées ménagères...
str_npc16_personalityclash2_speech_b|Fermez les yeux et je renverrai son esprit dans la Steppe grise à la rencontre de ses ancêtres. Ma patience est à bout.
str_npc1_personalitymatch_speech|Ce {s11} me plaît. C'est un bourreau païen, mais il est courageux et respectueux.
str_npc2_personalitymatch_speech|Si seulement nous avions davantage de guerriers comme {s11} dans notre compagnie ! C'est un érudit qui s'y connait en saignée.
str_npc3_personalitymatch_speech|Je tenais à vous dire que le meilleur homme de cette compagnie est {s11}, même si c'est un musulman.
