str_no_string|¡NO STRING!
str_npc12_2ary_morality_speech|[Ningún código moral secundario]
str_npc13_2ary_morality_speech|¿Sois permisivo en lo que respecta a {s21}? Me temo que no nos vamos a llevar muy bien.
str_npc14_2ary_morality_speech|[Sin código ético secundario]
str_npc15_2ary_morality_speech|[Sin código ético secundario]
str_npc16_2ary_morality_speech|[Sin código ético secundario]
str_npc1_personalityclash_speech|Escuchad, {hijo/hija mía}, si el maldito ladrón de {s11} está con nosotros, yo no puedo estar tranquilo. Finge ser un santo, pero en verdad es un maleante y un estafador.
str_npc2_personalityclash_speech|Ya no lo soporto más. Ese monje exclaustrado, {s11}, no para de acosarme. No sé lo que pretende, pero todas las noches dibuja un círculo con tiza y se pone a rezar dentro de él mientras me mira con una cara rara. Y el otro día intentó rociarme agua bendita...
str_npc3_personalityclash_speech|Escuchad, comandante. Ese viejo {s11} es un tipo cruel. No puedo dar un paso sin que me acuse de cometer toda clase de pecados mortales.
str_npc4_personalityclash_speech|Escuchad, amigo. No me fío de {s11}. Su historia sobre la huída de Moscú es claramente una invención. Os juro por mi cruz que nos está espiando, fingiendo enviar cartas a Astrakhan.
str_npc5_personalityclash_speech|¡Permitidme hablar, {Herr/Frau} {playername}! Tengo la impresión de que {s11} es algo sospechoso. No le gusta la luz del sol, se pasea por el campamento de noche y se comporta de un modo muy extraño.
str_npc6_personalityclash_speech|¡Permitidme hablar! No me gusta ese {s11} y sus costumbres de verdugo. Solo de pensar que habría podido caer en las manos de tipos como él si no hubiera huido de Moscú... Me pone los pelos de punta.
str_npc7_personalityclash_speech|Capitán, no puedo callármelo más tiempo. La presencia de ese viejo {s11} se me hace cada día más insoportable. Tan pronto se ha enterado de que no soportaba el olor a alcohol, se ha puesto a echarme el aliento a la cara, y apesta como un barril de cerveza.
str_npc8_personalityclash_speech|¡Escuchad, aga! {s11}-hanum es una mujer horrible, lo juro por Alá. Mató a su marido y creo que ahora viene a por mí.
str_npc9_personalityclash_speech|¡{playername}! Me gustaría decir que {s11} no es la mejor de las compañías. Se refiere a mi tierra, Bryansk, como si fuera parte de Rusia, mientras que cualquier hombre con una mínima educación sabe que siempre ha formado parte de Lituania.
str_npc10_personalityclash_speech|Disculpadme, pero ¿por cuánto tiempo debo soportar la presencia de ese sueco ordinario? {s11} no es un buen compañero de viaje, no es más que un sirviente. Y si le pides un pequeño favor, ¡se hincha como un pavo real!
str_npc11_personalityclash_speech|¡Ese chico me está volviendo loco! Sí, el {s11} ese. Siempre está por medio.
str_npc12_personalityclash_speech|He intentado controlarme, comandante, pero {s11} me desespera. Para él no soy más que un siervo, un esclavo sin derecho a ni siquiera mirarle a la cara.
str_npc13_personalityclash_speech|Si {s11} no deja de mirarme como si fuera una tabernera, le echaré un maleficio. Podéis estar seguro de eso.
str_npc14_personalityclash_speech|{Señor/Señora}, permitidme que deje algo bien claro. No me gusta ese noble que me trata como si fuera un montón de escoria o algo que se le ha pegado en su noble bota. Sí, me refiero a {s11}. ¡Soy intendente del ejército, no una miserable sirvienta!
str_npc15_personalityclash_speech|Disculpad que esta pobre mujer ose hablar, pero decidme, ¿cómo es que aceptastéis a un vampiro en el grupo? Evidentemente, me refiero a {s11}. ¿A quién si no? Es igualito que los que salían en los cuentos de mi abuela.
str_npc16_personalityclash_speech|¡Ay, señor! Soy capaz de soportar muchas cosas, pero tener una bruja en el grupo, no. No me gustan para nada las triquiñuelas de esa chamana.
str_npc1_personalityclash_speech_b|Si ese {s11} intenta sermonearme otra vez, os juro que le doy una paliza, como haría cualquier noble.
str_npc2_personalityclash_speech_b|Respeto las creencias religiosas de cada uno, ¡pero esta situación se ha vuelto absurda!
str_npc3_personalityclash_speech_b|Por culpa de sus bromas desagradables soy el hazmerreír de los soldados. No lo toleraré por mucho más tiempo.
str_npc4_personalityclash_speech_b|Estoy seguro de que es un espía. Y si seguís tolerando su presencia, tendréis que elegir: ¡o él, o yo!
str_npc5_personalityclash_speech_b|Una vez me desperté y me encontré su cara pálida y sus colmillos sobre mi cara. No me hace gracia compartir estandarte con un vampiro.
str_npc6_personalityclash_speech_b|Caminar junto a ese monstruo es aún más espantoso de día. No soy tímido, pero saber que tengo a un verdugo detrás de mí me da escalofríos.
str_npc7_personalityclash_speech_b|Se pasa el día cantando a gritos sus canciones a los polacos, y llama cobardes y bandidos a los capitanes del zar. ¡Se me ha agotado la paciencia!
str_npc8_personalityclash_speech_b|¿Pero qué he dicho? Pretendía ser un cumplido. ¡Solo he comentado que en mi harén sería la tercera esposa o incluso la segunda! ¿Qué les pasa a estas rusas?
str_npc9_personalityclash_speech_b|Si continúa así, lo más seguro es que la cosa termine en duelo.
str_npc10_personalityclash_speech_b|La disciplina se basa en la subordinación estricta. Disculpadme, pero no soy amigo de la familiaridad.
str_npc11_personalityclash_speech_b|Lo peor es que en combate no para de decirme a gritos lo que debo hacer. ¡Por culpa suya hemos perdido buenos prisioneros, señor! Enseñadle a comportarse, oh mirza, o tendré que hacerlo yo mismo.
str_npc12_personalityclash_speech_b|¡Pero yo soy tan miembro de vuestro equipo como él! ¿Qué clase de noble es, si no tiene ni una parcela de tierra arable? ¡Ya no soporto esta humillación!
str_npc13_personalityclash_speech_b|Soy una chica decente y no pienso tolerar las groserías de los soldados.
str_npc14_personalityclash_speech_b|Si me vuelve a tirar el abrigo mascullando "lo quiero limpio para mañana por la mañana", me temo que tendré que buscarme otra compañía.
str_npc15_personalityclash_speech_b|Puede que sea un buen soldado, pero ¿y qué? Cuando se pone a merodear por la noche, me muero de miedo. Y no soy el único... Tendréis que tomar una decisión.
str_npc16_personalityclash_speech_b|El otro día se me acercó y me ofreció un amuleto de la suerte. ¡A mí, a un musulmán! ¡Cuando Alá condena a muerte a los infieles...!
str_npc1_personalityclash2_speech|Hay un cosaco camorrista en el grupo. Ya sabéis a quién me refiero: {s11}. Causa cien veces más problemas de lo que vale. Si va a quedarse con nosotros más tiempo, tendré que deciros adiós, {hijo/hija mía}.
str_npc2_personalityclash2_speech|Disculpad si hablo cuando no me toca, {señor/señora}, pero esa {s11} es una bruja. Me la encontré en el cementerio la noche de luna llena. Estaba recogiendo raíces. No quiero ni imaginarme la pócima que piensa fabricar con ellas...
str_npc3_personalityclash2_speech|Pongo a la Virgen María por testigo de que {s11}, el cosaco, es un peligro. Y no lo digo solo por su odio a los católicos honrados. He visto muchas cosas en la vida, pero nunca había conocido a un hombre que se pudiera beber una botella entera de vodka por la mañana y luego se paseara por el campamento buscando bronca... Sí, desde luego es la primera vez en mi vida que veo algo así.
str_npc4_personalityclash2_speech|No lo entiendo. Ese {s11} ni siquiera huele el vodka. ¿Qué clase de caballero es, si se puede saber?
str_npc5_personalityclash2_speech|{Herr/Frau} comandante, disculpad mi franqueza, pero ese arribista lituano, {s11}, no me deja en paz. Se cree un oficial y me pide que sea su criado. 
str_npc6_personalityclash2_speech|¿Sabéis qué, {señor/señora}? Soy un hombre directo, así que os seré totalmente sincero. No deberíamos llevar a una bruja con nosotros. No necesitamos a {s11}, ni sus pociones, sus hechizos y su magia.
str_npc7_personalityclash2_speech|Escuchadme, capitán. {s11} me está haciendo la vida imposible. Primero empezó a decirme lo que tenía que hacer, luego empezó a llamarme hijo y luego intentó meterse en mi tienda por la noche.
str_npc8_personalityclash2_speech|{Capitán/Capitana}. {s11} es una niña insolente. He intentado ser educado, incluso amigable, pero ella sigue rechazándome.
str_npc9_personalityclash2_speech|{Señor/Mi señora}, espero que no os importe que os lo diga, pero en mi opinión {s11}, el comerciante, no entiende cuál es su lugar. Durante la última batalla me cortó el camino para enfrentarse a un enemigo que yo había marcado como mío.
str_npc10_personalityclash2_speech|{Hermano/Hermana}, tengo una pregunta. ¿Quién está al mando de la compañía, vos o {s11}?
str_npc11_personalityclash2_speech|{Capitán/Capitana}. {s11} no me hace mucha gracia. Tras la última batalla se puso a murmurar encantamientos, mientras pasaba por entre los cuerpos buscando cosas de valor.
str_npc12_personalityclash2_speech|Yo estaría muy contento y no tendría ninguna queja si no fuera por {s11}. Esa bruja me odia. Se queja de que le recuerdo a su difunto marido.
str_npc13_personalityclash2_speech|Tengo mucha paciencia, pero también tengo un límite. Ese tal {s11} me ha confundido con esa pani que lo tuvo totalmente anulado. Sus agasajos e insinuaciones me resultan ofensivas.
str_npc14_personalityclash2_speech|Decidme sinceramente, ¿por qué sigue ese curandero en el grupo? Es un farsante y un inútil. Sus remedios me producen dolor de barriga, y si me vuelve a enseñar esas asquerosas sanguijuelas, se las comerá con patatas...
str_npc15_personalityclash2_speech|Yo ya no puedo más. {s11}, el mercader pagano, ha vuelto a traer carne podrida y verduras mustias. ¿Cómo se supone que voy a cocinar con esto?
str_npc16_personalityclash2_speech|{s11} es un arribista con la cabeza llena de tonterías sobre la independencia del kanato de Nogai. Creedme, solo nos traerá problemas.
str_npc1_personalityclash2_speech_b|Siempre se está hinchando a vodka y pensando a quién robará...
str_npc2_personalityclash2_speech_b|Y si queréis saber qué hacía yo en el cementerio a esas horas de la noche, solo estaba de paso. Os advierto que si mantenéis en el grupo a esa bruja, tendré que abandonaros.
str_npc3_personalityclash2_speech_b|En la última batalla por poco me mata, al confundirme con el enemigo. Y no para de gritarme "¡Maldito hereje! Yo procedo de una noble familia, los Spasokukotski, y no pienso tolerar que un siervo se burle de mí.
str_npc4_personalityclash2_speech_b|Disculpad, pero si la gente me ve en la misma compañía que ese llorica, seré el hazmerreír de toda la Sich.
str_npc5_personalityclash2_speech_b|Soy un mercenario sueco, y solo respondo ante aquel que me paga el salario. Mi espada está en venta, pero no mi honor. Si esto sigue así, tendré que dejaros.
str_npc6_personalityclash2_speech_b|Ayer nos dio a todos una poción "contra las balas". Yo no me la bebí, pero fui a una iglesia cercana y encendí una vela. Si esto continúa así, se me acabarán las velas.
str_npc7_personalityclash2_speech_b|Hace unos días se enfadó conmigo por algún motivo. Me llamó bruto insensible e ingrato. Si tengo muchas noches más como esa, tendré que buscarme otros compañeros.
str_npc8_personalityclash2_speech_b|Es cierto que con mi último trabajo no me gané mucho el respeto de mis conciudadanos, ¡pero esa mujer es capaz de despellejarme como una oveja en cualquier momento!
str_npc9_personalityclash2_speech_b|Y lo que es peor, durante la batalla, solo piensa en atrapar prisioneros, y no en lo que le toca hacer. Solo se le oye decir "sí, señor; sí, señor". Convertirá nuestra compañía en una auténtica horda.
str_npc10_personalityclash2_speech_b|Vigiladle de cerca, o no permaneceré en vuestro grupo.
str_npc11_personalityclash2_speech_b|Será mejor que guarde las distancias, ¡o tendréis que elegir entre ella o yo!
str_npc12_personalityclash2_speech_b|Cuando blande su arma, me pone los pelos de punta. No me lo quito de la cabeza estos días.
str_npc13_personalityclash2_speech_b|Y si se cree que una chica se va a quedar callada mientras él cuenta sus chistes desagradables, está muy equivocado.
str_npc14_personalityclash2_speech_b|{Señor/Señora}, yo en su lugar le enseñaría la puerta. Espero que lo hagáis, o tendré que empezar a buscarme otro maestro.
str_npc15_personalityclash2_speech_b|Escuchadme bien. En una misma cocina no debería haber nunca dos mujeres. Vos no sois tártaro como para tener cuatro mujeres o algo así, de modo que si continúa metiendo las narices en todos los matrimonios...
str_npc16_personalityclash2_speech_b|Volved la cabeza, y enviaré su espíritu a la Estepa Gris para que se reencuentre con sus antepasados. Se me ha agotado la paciencia.
str_npc1_personalitymatch_speech|Me gusta ese tal {s11}. Es verdad que es un verdugo pagano, pero a la hora de luchar es valiente, y sabe cómo mostrar sus respetos.
str_npc2_personalitymatch_speech|Permitidme que os diga que me gustaría que hubiera más guerreros como {s11} en nuestro grupo. Es un hombre muy educado, y lo sabe todo sobre la extracción de sangre.
str_npc3_personalitymatch_speech|Solo quería decir que {s11} es el mejor hombre de toda la compañía, aunque sea musulmán.
str_npc4_personalitymatch_speech|¡{s11} es una chica encantadora! El otro día le di un pellizco y me dio con un cabestro con tanta fuerza que tuve que irme corriendo.
str_npc5_personalitymatch_speech|Si os soy sincero, si hay algún hombre decente entre nosotros, ese es con toda certeza {s11}. Aunque soy luterano, lo considero un santo padre. Sobre todo después de aquella comunión en la que él y yo nos terminamos un barril entero de vino Tokay.
str_npc6_personalitymatch_speech|{Señor/Señora}, me siento limpio y como nuevo. Hace poco, {s11} me aplicó sus sanguijuelas. Es un médico respetable y honorable.
str_npc7_personalitymatch_speech|Capitán, disculpadme si me meto donde no me llaman, pero quisiera decirle una cosa... ¡{s11} es un auténtico guerrero y buen amigo!
str_npc8_personalitymatch_speech|Digan lo que digan, los tártaros y los cosacos son hermanos. Anoche, {s11} y yo volvíamos de la taberna cogidos del brazo y cantando. Él cantaba canciones cosacas y yo tártaras. ¡Fue una noche estupenda! Los aldeanos salieron corriendo en pijama para escucharnos.
str_npc9_personalitymatch_speech|¡Bendito el día en que {s11} llegó a nuestra compañía! Agua, comida y... otras alegrías del servicio militar. Eso significa mucho para los soldados.
str_npc10_personalitymatch_speech|{s11} no es ningún cobarde, y no le tiene miedo a la sangre.
str_npc11_personalitymatch_speech|Nosotros, los nogai, siempre hemos tenido un gran concepto de las doncellas ucranianas. Son las mejores esposas y concubinas. ¡Y nuestra {s11} es una joya! En cuanto consiga la independencia para los nogai y me proclame kan, la tomaré como esposa. Mi querida esposa.
str_npc12_personalitymatch_speech|Por cierto, {s11} es un gran tipo. Nunca presume de la grandeza de su familia como hacen algunos, y siempre está dispuesto a echar una mano a un camarada.
str_npc13_personalitymatch_speech|Os habría dejado hace mucho tiempo si no fuera por {s11}, que es como un padre para mí. ¡Él es el único con el que me siento a salvo!  
str_npc14_personalitymatch_speech|{Señor/Señora}, dicen que entre mujeres nunca puede haber una amistad, pero quiero que sepáis que yo siempre puedo confiar en {s11}. Me curó a todos los caballos de la caravana y a mí me preparó un caldo para aliviarme una fiebre. Al día siguiente ya estaba en pie de nuevo.
str_npc15_personalitymatch_speech|¿Quién es ese jinete? A lo mejor es {s11}, que vuelve de hacer la ronda. No puedo hablar mal de él; es un caballero delicado y cortés, y siempre alaba mis guisos y... En fin, que es muy gentil.
str_npc16_personalitymatch_speech|{s11} sí que es un auténtico guerrero. Puede que sus chistes sean ordinarios y sus costumbres burdas, pero pelea como nadie.
str_npc1_personalitymatch_speech_b|Y si algún día me condenan a muerte, espero que sea él el que blanda el hacha.
str_npc2_personalitymatch_speech_b|Sus conocimientos médicos me salvaron la vida recientemente.
str_npc3_personalitymatch_speech_b|Es curioso, pero enseguida encontramos algo en común. Si pudiera convertirlo a la cristiandad, seguro el obispo me devolvía mis hábitos.
str_npc4_personalitymatch_speech_b|¡Y es increíble lo económica que es! Da igual que sea de Novgrod, su sopa de albóndigas es tan buena que relamemos el plato. Hicisteis bien al traerla con nosotros.
str_npc5_personalitymatch_speech_b|Nuestro santo padre también es bastante útil en combate, como sin duda habréis advertido. La última vez empezó a proferir tantos improperios que hasta los caballos del enemigo se acobardaron.
str_npc6_personalitymatch_speech_b|El bálsamo que me aplicó en las heridas después del combate me las curó en cuestión de días. Me alegro de tener a este hombre tan sabio en nuestra compañía.
str_npc7_personalitymatch_speech_b|Al principio parecía muy arrogante, pero ahora sé que es un hombre en el que siempre puedes confiar.
str_npc8_personalitymatch_speech_b|¿Queréis decir que Alá prohibe beber vino? Sí, es cierto, pero {s11} conoce todos los recovecos de la religión, y según él, en el Corán no se dice en ningún momento que esté prohibido beber vodka...
str_npc9_personalitymatch_speech_b|Nuestra intendente siempre responde como es debido. Dios sabe que si no fuera de origen humilde, le habría ofrecido mi mano y mi corazón. No encontraría mejor ama de llaves para mi propiedad en todo el mundo.
str_npc10_personalitymatch_speech_b|¡Os aseguro que él y yo somos imparables en combate!
str_npc11_personalitymatch_speech_b|Si es tan habilidosa en los placeres carnales como lo es con sus artimañas de hechicera, seguro que tendríamos una vida muy plena.
str_npc12_personalitymatch_speech_b|Es una pena que haya elegido ser soldado; habría sido un médico maravilloso.
str_npc13_personalitymatch_speech_b|Y parece que yo también le he caído en gracia. Voy al bosque a buscar unas hierbas para curarle la gota.
str_npc14_personalitymatch_speech_b|Es vuestra seguidora más valiosa. Haced saber a todos vuestros hombres que si alguno le pone un dedo encima, comerá carne de caballo podrida lo que queda del viaje.
str_npc15_personalitymatch_speech_b|Si lo veis, decidle que venga enseguida a comer. Le he guardado unos manjares. Si mi marido hubiera sido así de galante y gentil, no le habría partido el rodillo de amasar en la cabeza.
str_npc16_personalitymatch_speech_b|Debéis elogiarle, maestro, y recompensarle sus hazañas. ¡Es infalible!
str_npc1_retirement_speech|¡Oh, {hijo mío/hija mía}! Mis doloridos huesos me dicen que mi época de ir dando saltos de aquí para allá y blandiendo el arma ha terminado. Tengo un dinerito ahorrado, y me gustaría comprar una casa donde pueda envejecer.
str_npc2_retirement_speech|{Señor/Señora}, debo deciros algo. Desde un principio, las cosas no han ido como yo esperaba. Perdonadme, pero debo abandonaros. Buscaré unos compañeros que me traten bien y que respeten mis costumbres.
str_npc3_retirement_speech|¡Escuchad, comandante! Anoche tuve una visión. La Virgen María me dijo que fuera a Riga, visitara al obispo y me retractara, y que él revocaría mi excomunión y me devolvería a la parroquia. No es la primera visión de este tipo que tengo. Es mejor que me vaya...
str_npc4_retirement_speech|Mirad, muchacho, mis hermanos del Don han programado un viaje a Persia, para transportar unas mercancías, y me han pedido que les acompañe. No os lo toméis mal, pero me voy con ellos.
str_npc5_retirement_speech|Disculpadme, {Herr/Frau} comandante, pero insisto en que se cancele nuestro acuerdo. El lugar de un soldado no es entre mercenarios, sino en las fuerzas armadas reales. ¡Que la suerte os acompañe allá donde vayáis!
str_npc6_retirement_speech|Escuchad, {señor/señora}. Estoy muy triste y siempre estoy pensando en mi mujer, que está sola en tierras extranjeras. Por favor, no os ofendáis, pero debo dejaros un tiempo.
str_npc7_retirement_speech|¡Capitán! Disculpadme, pero últimamente me siento fuera de lugar. Tendré que buscarme otra compañía que me sepa valorar.
str_npc8_retirement_speech|Lo siento, aga, pero hay un problema... El verdugo de un pueblo cerca de aquí se ha jubilado, ¡y si supierais cuánto echo de menos mi trabajo! Por las noches sueño con el hacha, el nudo corredizo y el hilo de seda para estrangular, así que creo que me acercaré hasta allí a ver si me dan el trabajo para el que nací.
str_npc9_retirement_speech|{playername}, ha llegado la hora de separarnos. He oído que la guerra se ha recrudecido en Bryansk, y me gustaría ir hasta allí para recuperar las tierras que me robaron. Gracias por todo, y recordadme con cariño.
str_npc10_retirement_speech|Iré directo al grano: soy soldado de fortuna, y las cosas con vos hace tiempo que no pintan bien. Además, me han hecho una oferta más atractiva. ¡Pero espero no encontraros nunca en el campo de batalla! Adiós.
str_npc11_retirement_speech|¡Viene un heraldo de la estepa, mirza! ¡Ha llegado el momento! La horda de Nogai está lista para librarse del  yugo turco, ¡y yo debo ayudarles! ¡Adiós!
str_npc12_retirement_speech|Ha llegado el momento de separarnos, comandante. La gente de aquí me ha convencido para que me quede y les cure. Os agradezco vuestra ayuda y protección, y si algún día necesitáis mis sanguijuelas, ya sabéis dónde encontrarme.
str_npc13_retirement_speech|¡Estoy harto de tanto viaje y tanta batalla, {playername}! Voy a buscarme un rincón acogedor donde pueda vivir en paz y dedicarme a mi oficio. Pero antes de que nos separemos, os haré un hechizo para que tengáis suerte en la batalla.
str_npc14_retirement_speech|Lo siento, {señor/señora}, pero se me ha agotado la paciencia. Vuestros soldados son unos glotones y unos ingratos, y vuestros compañeros, unos groseros maleducados. Además, administrar provisiones sin llenarme yo los bolsillos no vale la pena en mi oficio. Aquí tenéis los ingresos y los gastos detallados. Espero que podamos quedar como amigos. ¿Qué os parece?
str_npc15_retirement_speech|{Señor/Señora}, no soporto esta vida de vagabundeo. Viajamos por los campos y los bosques como osos en invierno. Tengo que volver a casa. Gracias por el pan y la sal, por el refugio y los conocimientos que me habéis proporcionado.
str_npc16_retirement_speech|Lo siento, pero no puedo seguir ofreciéndoos mi leal protección. Vuestros compañeros y vuestras acciones no me parecen aceptables. Adiós. Quizá nos volvamos a ver.
str_npc1_rehire_speech|{Hijo/Hija mía}, puede que ya no sea un mozo, pero la vida tranquila no va conmigo, ¡y menos aún cuando esto está infestado de enemigos! De modo que si pedís que me traigan una jarra de vino, estaré encantado de volver a someterme a vuestro mando.
str_npc2_rehire_speech|Debo admitir que sois el mejor compañero que he tenido nunca. Marcharme fue un gran error.
str_npc3_rehire_speech|¡Ah, sois vos, comandante! ¡El sacristán de la catedral de Riga me dijo que creer en los sueños es pecado! Los días que pasé en la prisión diocesana fueron horribles. En fin, podéis contar conmigo.
str_npc4_rehire_speech|¡Ay, comandante! Intuía que este viaje que he emprendido no me iría muy bien. Me tocó tan poca cosa en el reparto que lo malgasté en la primera taberna que me encontré, de modo que estaría encantado de que aceptaseis mi regreso.
str_npc5_rehire_speech|¡{Herr/Frau} {playername}! Unas cuantas semanas en un regimiento de mosqueteros me han bastado para comprender mi error. En lugar de luchar, nos pasábamos el día entrenando, y el día que volvía de un permiso un poquito bebido, me castigaban diez días en un frío y húmedo calabozo. Allí sentado, recordaba nuestras campañas como los momentos más felices de mi vida. He traído un pergamino con un contrato nuevo. ¿Seríais tan amable de firmarlo?
str_npc6_rehire_speech|¡Por fin os he encontrado! Mi mujer está bien, y estoy listo para luchar bajo vuestro estandarte de nuevo.
str_npc7_rehire_speech|Buenos días, capitán. Me equivoqué cuando dije que quería buscar mejores compañeros. ¿Os importaría que volviera con vos?
str_npc8_rehire_speech|No esperaba encontraros aquí, aga. Por lo visto solo pueden trabajar de verdugos la gente de aquí, de modo que voy en busca de algún trabajito. ¿Me aceptaríais de nuevo en vuestras filas?
str_npc9_rehire_speech|No sé qué decir, {playername}... Al parecer, adquirir nuevas tierras bajo vuestro mando sería más fácil que volver a mis antiguas propiedades. Espero que no os importe que volvamos a luchar bajo el mismo estandarte.
str_npc10_rehire_speech|¡Por lo visto en estas tierras solo hay estafadores y bribones! Su "oferta atractiva" solo fue atractiva hasta que llegó el día de pagar el salario. Con la calderilla que me dieron no tenía ni para comprarme un cinturón. Total, que si no os importa, estoy listo para regresar a vuestra compañía.
str_npc11_rehire_speech|Lamentablemente, Alá no ha estado con nosotros esta vez. Nos han derrotado, pero nuestra lucha por la independencia aún no ha terminado. Os ruego que me volváis a aceptar, si aún me necesitáis.
str_npc12_rehire_speech|Con el sueldo escaso que me ofrecen en el pueblo, ya casi me había dado por vencido. No, estoy mucho mejor sirviendo como médico militar. ¿Volveríais a aceptarme en vuestra compañía?
str_npc13_rehire_speech|Vaya, vaya, nos volvemos a encontrar. Teníais razón: la guerra lo invade todo y hay muy pocos sitios tranquilos en estas tierras. Prefiero estar entre soldados amigos.
str_npc14_rehire_speech|¡Mi {señor/señora}! ¡Estoy muy contenta de volver a veros! Los intendentes independientes tienen un destino  muy desafortunado. Los ejércitos no necesitan proveedores; sus comandantes se limitan a saquear todos los poblados que se cruzan en su camino. Os ruego que olvidéis lo que os dije. Perdono al sueco. Espero poder volver a vuestra compañía.
str_npc15_rehire_speech|¡Ay, {señor/señora}! No hay felicidad para esta pobre viuda. Mi casa fue confiscada por orden del capitán. Vuelvo a ser una simple vagabunda. ¡Os ruego que me aceptéis de nuevo! Os serviré y me tendréis a vuestros pies.
str_npc16_rehire_speech|Desde que nos separamos habéis cambiado bastante. Espero que no sea para peor, pero ya se verá. Me aceptaréis de nuevo, ¿verdad?
str_npc1_home_intro|¡Wadowice! Las tierras de la Gran Polonia, donde pasé mi infancia y juventud...
str_npc2_home_intro|¡Kamenets! No me digáis que no es el lugar más bonito del mundo.
str_npc3_home_intro|Cracovia. La antigua capital de Polonia, una ciudad de grandes reyes y católicos fervientes.
str_npc4_home_intro|Yo soy de aquí. Mi padre sirvió en el regimiento de Korsun.
str_npc5_home_intro|Yo nací y me crié en estas tierras.
str_npc6_home_intro|Un lugar encubierto y escondido que puede servir de guarida, refugio... o prisión; eso es lo que significa Tula. Así es como se llama mi ciudad natal.
str_npc7_home_intro|Ryazan, la primera ciudad rusa que cayó en la invasión de los mongoles. Yo soy de allí.
str_npc8_home_intro|En estas tierras en las que el Don desemboca en el mar de Azov es donde yo nací.
str_npc9_home_intro|¡Ya oigo las campanas de Vilna, la antigua capital de Lituania! ¡Cuántos recuerdos me traen...!
str_npc10_home_intro|¡Yo conozco estas tierras! Una vez participé en una batalla estupenda aquí, cuando llegué por primera vez a vuestros dominios.
str_npc11_home_intro|La estepa, la infinita estepa... Mi querida tierra.
str_npc12_home_intro|¡Estamos llegando a Kiev!
str_npc13_home_intro|Poltava, un nombre aún desconocido para la humanidad, pero mis dotes de adivino predicen que aquí pronto se librará una sangrienta batalla. Una batalla que glorificará mi ciudad, de modo que será conocida en el mundo entero, y los mejores bardos le dedicarán sus canciones.
str_npc14_home_intro|Unas cuantas millas más ¡y veremos las murallas de Reval!
str_npc15_home_intro|Este tranquilo riachuelo del bosque se llama Volkhov. De aquí a Novgorod hay muy poca distancia.
str_npc16_home_intro|Ya oigo el rumor del oleaje. Pronto veremos Kafa, mi ciudad.
str_npc1_home_description|Esta es la tierra que dio lugar a Polonia. Nuestra nobleza es una gran amante de la libertad, y nuestro rey siempre ha sido elegido y siempre ha gobernado como representante de sus semejantes.
str_npc2_home_description|Esto no está lejos de Valachia, mi tierra natal, una ciudad que siempre ha estado en una frontera u otra. Muchos ejércitos han llegado hasta ella, solo para notar el alquitrán que les echaban los defensores de sus murallas. Las tumen de Batu Khan, los regimientos de Algirdas. Nalivaiko, Krivonos, Bogun... y hasta Hmelnitski sitiaron la ciudad.
str_npc3_home_description|Fue aquí donde el príncipe lituano Jogaila fue bautizado en 1386. Y más tarde, su matrimonio con la reina Jadwiga sentó las bases de la unión de Polonia y Lituania que se convertiría en nuestra gran República.
str_npc4_home_description|Korsun fue fundada por Yaroslav el Sabio, y de todas las ciudades de Ucrania, quizá sea solo la segunda despés de Chigirin.
str_npc5_home_description|Ah, Vybord, la gran ciudad de los cruzados suecos, que llegaron aquí en el siglo XIII para traer la luz de la fe cristiana a los bárbaros paganos de Karelia. La primera fortaleza de la ciudad fue erigida en 1293 por orden del rey Tolhils Knutsen.
str_npc6_home_description|Hace medio siglo, Tula fue capturada por Dimitri el Falso, que esperó aquí la caída de Moscú. Tres años más tarde, llegó otro impostor, el Ladrón de Tushino.
str_npc7_home_description|Actualmente, la ciudad está situada a cincuenta versts de la antigua ciudad, pero mi lugar de nacimiento es justo aquí.
str_npc8_home_description|Esto es Azaq-Kale, la antigua Tana, que los cosacos llaman Azov. Mi abuelo me contó que nuestros antepasados provienen de los griegos que ocuparon la ciudad. Incluso en aquellos tiempos remotos, ya hacían gala de su apelativo: los ejecutores.
str_npc9_home_description|¿Oís aullar a los lobos? Es una buena señal. Los ancianos cuentan que el príncipe lituano Gediminas vino a cazar a estas tierras y mató a un toro salvaje. Después se echó a hacer una siesta y vio un lobo de hierro gigante en sueños. Fue un sueño profético, y al cabo de poco tiempo el lugar donde había descansado se convirtió en una poderosa fortaleza.
str_npc10_home_description|Mi tierra natal está muy, muy lejos...
str_npc11_home_description|Nosotros, los descendientes del Ilkhan, llegamos a la estepa no como refugiados sino como gobernantes de pleno derecho. No obstane, el sultán turco prefirió a los Giray de Crimea, y desde aquel día vivimos como esclavos.
str_npc12_home_description|¡Es una ciudad preciosa! Los años le han pasado factura, pero la capital de la antigua Rus sigue siendo el lugar más bonito de la tierra.
str_npc13_home_description|Conozco bien estos dominios. Su tierra es negra, sus bosques están llenos de presas y su gente tiene un gran corazón. De no haber sido por la guerra...
str_npc14_home_description|Reval, antes de ser tomada por los suecos, fue una ciudad libre y formó parte de la Liga Hanseática. Mi familia residía aquí, incluso ya en la época de la Orden de Livonia.
str_npc15_home_description|Es una ciudad grande y próspera. Me pasé la infancia en el barrio de mercaderes. 
str_npc16_home_description|Mi ciudad natal es un gran centro comercial. Nuestras mercancías son muy especiales. Los esclavos tienen que estar bien alimentados y tratados, ya que su precio se fija por su aspecto.
