qstr_Next_Page|Sonraki sayfa
qstr_Only_you_know_exactly_wh|Eski hayatını bitirip maceracı olmaya niye karar verdiğini tam olarak sadece sen biliyorsun. Diğerlerine göre, açıkça ve tamamen kişisel kazanç peşindesin. Zengin, güçlü, saygıdeğer ve korkulan biri olmak istiyorsun. Diğerlerinin sözüne uymak için koşuşturduğu kişi olmak istiyorsun. İnsanların adını bilmesini ve adının konuşulduğu yerde titremelerini istiyorsun. Her şeyi istiyorsun, ve kimsenin seni alıkoymasına izin verecek değilsin...
qstr_Back_to_the_beginnin|Başa dön...
qstr_View_next_segment...|Sonraki kısma geç...
qstr___| -
qstr__+| +
qstr_^No_food:___{reg7}|^Yiyecek yok:  -{reg7}
qstr_^Wage_debt:___{reg6}|^Maaş borcu:  -{reg6}
qstr_Current_party_morale|Grubunun şu anki morali {reg5}.^^Parti moralini etkileyen faktörler:^^Temel Moral:  +50^Grup Büyüklüğü: {s2}{reg1}^Liderlik: {s3}{reg2}^Yiyecek Çeşitliliği: {s4}{reg3}{s5}{s6}^Son Olaylar: {s7}{reg4}^TOPLAM:  {reg5}
qstr_Defending|Savunma yapıyor.
qstr_Gathering_army|Ordu topluyor.
qstr_Besieging_{s11}|{s11} kuşatmasında.
qstr_Raiding_{s11}|{s11} saldırısında.
qstr_Attacking_enemies_ar|{s11} yakınlarındaki düşmanlara saldırıyor. 
qstr_No_one|Hiç kimse
qstr_{s9}{s10}^Current_st|{s9}{s10}^Current state: {s11}^Marshal: {s12}^Since the last offensive: {reg1} hours^Offensive maximum followers: {reg2}^^
qstr_Selected_faction_is:|Seçili taraf: {s10}^^{s9}
qstr_You_are_currently_re|Bu aralar şu kitabı okuyorsun: {s8}.
qstr_You_are_not_reading_|Şimdilik herhangi bir kitabı okumuyorsun.
qstr_none|hiçbiri
qstr_{s5}_and_{s6}|{s5} ve {s6}
qstr_{s5}_{s6}|{s5}, {s6}
qstr_Renown:_{reg2}.^Hono|Nam: {reg2}.^Onur: {reg3}.^Dostlar: {s8}.^Düşmanlar: {s6}.^{s9}
qstr_Your_estates_are:_{s|Mülklerin: {s8}.^{s9}
qstr_You_are_a_lord_of_{s|{s8}.^{s9} soylususun.
qstr_Current_party_size_l|Grup büyüklüğü limiti {reg5}.^Grup büyüklüğü bileşenleri:^^Temel büyüklük:  +{reg4}^Liderlik: {s2}{reg1}^Karizma: {s3}{reg2}^Nam: {s4}{reg3}^TOPLAM:  {reg5}
qstr_Loyal|Adanmış
qstr_Devoted|Adanmış
qstr_Fond|Dostça
qstr_Gracious|Dostça
qstr_Friendly|Destekleyici
qstr_Supportive|Destekleyici
qstr_Favorable|Olumlu
qstr_Cooperative|Olumlu
qstr_Accepting|Kayıtsız
qstr_Indifferent|Kayıtsız
qstr_Suspicious|Kayıtsız
qstr_Grumbling|Şüpheci
qstr_Hostile|Şüpheci
qstr_Resentful|Hınçlı
qstr_Angry|Hınçlı
qstr_Hateful|Nefret dolu
qstr_Revengeful|Nefret dolu
qstr_Vengeful|Düşmanca
qstr_{s2}^{s4}:_{reg1}__{|{s2}^{s4}: {reg1} ({s3})
qstr_Your_relation_with_t|Ülkelerle ilişkin:^{s2}
qstr_V_{s10}_stroitsya_{s|{s11} is constructed in {s10}. Remaining {reg4} = {reg5}
qstr_V_{s10}_postroeno_{s|{s10}'{.de} {s11} inşaatı tamamlandı.
qstr_Player_renown_is_inc|Oyuncunun namı 100 arttı. 
qstr_{reg1}_{s1}_{reg2?ac|{reg1} {s1} teklifi kabul ediyor.
qstr_No_one_accepts_the_o|Kimse teklifi kabul etmiyor.
qstr_You_start_reading_{s|{s2} isimli kitabı okumaya başlıyorsun. Bir kaç sayfa sonra, bu kitaptan öğreneceğin çok şey olduğunu hissediyorsun. Kitabı yanında tutup uygun her fırsatta okumaya karar veriyorsun.
qstr_You_flip_through_the|{s2} kitabının sayfalarını karıştırıyorsun, ama takibi zor geliyor. Deneyip zorlasan da, birazdan başın ağrımaya başlıyor ve bırakman gerekiyor.
qstr_You_paid_{reg3}_of_y|{reg4} talerinden adamlarına {reg3} ödeme yaptın. Toplam {reg5} talerin kaldı.
qstr_Your_debt_to_your_me|Adamlarına {reg3} taler ödeme yapman lazım. Ancak sadece {reg4} talerin vardı. Ödeyemediğin {reg5} taler borcuna eklendi ve grubun moral kaybetti.
qstr_This_week_s_wages:_{|Bu haftanın maaşları: {reg6} taler^Önceki borçların: {reg2} taler^Toplam Ödeme: {reg3} taler^Mevcut varlığın: {reg4} taler^^{s1}
qstr_Villagers|Köylüler
qstr_You_have_encountered|{s1} ile karşılaştın.
qstr_Armiya_protivnika_po|Düşman kuvvetleri kampa geri çekildi.
qstr_You_have_engaged_{s1|{s3} {s1} tarafından yağmalanıyorken, {s1} ile çarpışmaya girdin.
qstr_You_were_caught_by_{|{s3} askerlerin tarafından yağmalanırken {s1} tarafından yakalandın.
qstr_You_were_victorious!|Zafer kazandın!
qstr_Battle_was_lost._You|Savaş kaybedildi. Güçlerin feci bir şekilde ezildi.
qstr_Your_companions_carr|Arkadaşların seni savaş alanından uzaklaştırıyor.
qstr_You_have_defeated_th|Düşmanı yendin.
qstr_You_have_retreated_f|Savaştan geri çekildin.
qstr_^^Ally_Casualties:{s|^^Müttefik Kayıpları:{s0}
qstr_{s1}_of_{s3}_managed|{s1} kaçmayı başardı.
qstr_{s17}|{s17}
qstr__V_gorode_ostalos_{r|Esir aldığın {reg0} savaşçı var. Onlarla ne yapacaksın?
qstr__V_gorode_ostalos_{re|Tutsaklıktan kurtardığın {reg0} savaşçı var. Garnizona kayıtlarını alacak mısın? 
qstr_Victory_comment._Pla|Savaş yorumu. Oyuncu yalnızdı.
qstr_Ordinary_victory_com|Sıradan zafer yorumu. Oyuncu toplam kuvvetin en az yüzde kırkını sağladı. 
qstr_Player_participation|Oyuncu katılım yorumu. Düşmanın başlangıçta en az 1k gücü vardı.  
qstr_No_victory_comment._|Zafer yorumu yok. Savaş küçüktü ve oyuncu toplam kuvvetin yüzde kırkından azını sağladı.
qstr_Some_of_your_tendons|Tendonların savaşta kısmen hasar almış. 1 Güç kaybettin.
qstr_You_took_a_nasty_wou|İyileştikten sonra bile topallamana sebep olan sağlam bir yara aldın. 1 Çeviklik kaybettin.
qstr_You_have_trouble_thi|Savaştan sonra düşünürken zorlanmaya başlıyorsun, muhtemelen başına aldığın sert bir darbeden, ve sürekli başağrıları musallat oluyor. Zekan 1 düştü.
qstr_Perhaps_I_m_getting_|Belki de şansım azalıyordur...
qstr_Retirement_is_starti|Emeklilik gittikçe kulağa daha iyi geliyor.
qstr_No_matter!_I_will_pe|Neyse ne! Dayanacağım!
qstr_What_did_I_do_to_des|Bunu haketmek için ne yaptım?
qstr_I_suppose_it_ll_make|En azından iyi bir hikaye çıkar, sanırım.
qstr_Player_retreats_from|Oyuncu savaştan çekiliyor.
qstr_{s9}_wants_you_to_fo|{s9} ordusunu sonraki emre kadar takip etmeni istiyor.
qstr_{s8}_of_{s9}|{s9}'{.n}{.den} {s8}
qstr__Your_own_banner_fli| Sancağın kale girişinde dalgalanıyor.
qstr__You_see_the_banner_| Kale kapısının üzerinde {s7}'{.nin} sancağının dalgalandığını farkediyorsun.
qstr__This_castle_seems_t| Bu kale kimseye ait gözükmüyor.
qstr__Your_own_banner_flie| Sancağın şehir girişinde dalgalanıyor.
qstr__You_see_the_banner_o| Şehir kapılarının üzerinde {s7}'{.nin} sancağının dalgalandığını farkediyorsun.
qstr__The_townsfolk_here_| Bu şehrin halkı bağımsızlığını ilan etmiş.
qstr_Zapasov_edi_v_{reg6?|{reg6?Kentin:Kalenin} yiyecek stokları {reg3} gün daha dayanabilir.
qstr_Zapasov_edi_v_{reg6?g|{reg6?Kentin:Kalenin} yiyecek stokları tükendi ve müdafaadakiler açlık çekiyor.
qstr_Vi_stroite_lestnici_|Duvarlara saldırmaya hazırlanıyorsunuz. Hazırlıklar {reg9} saate kadar bitecek.
qstr_Prokladka_podkopa_dl|Patlayıcıları yerleştirmek {reg9} saat daha sürecek.
qstr_Postroika_lestnic_za|Hazırlıklar tamamlandı, istediğin zaman saldırıyı başlatabilirsin.
qstr_Postroika_podkopa_za|Hazırlıklar tamamlandı, istediğin zaman saldırıyı başlatabilirsin.
qstr_As_a_last_defensive_|Son bir savunma şansı için kalenin ana salonuna çekiliyorsun. Kalan adamlarınla burada çaresiz bir savaşa girişiyorsun. Eğer yenilirseniz, geri çekilecek bir yer kalmayacak.
qstr_You_ve_been_driven_a|Duvarlardan sürüldünüz. Saldırganlar sokaklara akmaya başladı. Eğer onları yenebilirseniz, belki işin akışını çevirip günü kurtarabilirsiniz.
qstr_You_ve_breached_the_|Şehir duvarlarından girdin. Ama inatçı müdafiler dirençlerine sokaklarda devam ediyorlar! Şehrin kalbindeki kaleye saldırmadan önce onları halletmen lazım.
qstr_The_town_centre_is_y|Şehir merkezi senin, ama geri kalan saldırganlar kaleye çekildiler. Galibiyetini tamamlamak için kalenin düşmesi şart.
qstr_The_remaining_defend|Savunmada kalanlar son savunma için kaleye çekildiler. Girip kalan direnci de kırmalısınız.
qstr__kriticheskie|kritik
qstr__ogromnie|büyük
qstr__visokie|yüksek
qstr_However_since_you_ar|Ne var ki, {s9}'{.nin} yeminli bir {adamı/takipçisi} olmadığından,  seni bu {reg8?şehrin:kalenin} {lordu/hanımı} olarak tanımasına imkan yok.
qstr_The_enemy_has_been_f|Düşman çekilmeye zorlandı. Saldırı sona erdi, ama kuşatma devam ediyor.
qstr__This_village_and_th| Bu köy ve onu çevreleyen alan sana ait.
qstr__You_remember_that_t| Bu köyün ve civardaki toprakların sahibinin {s7} olduğunu hatırlıyorsun.
qstr__These_lands_belong_| Bu topraklar kimseye ait değil.
qstr__{s3}__{reg9}_.| {s3} ({reg9}).
qstr__The_village_is_infe| Köy {reg8} {s35} tarafından istila edildi.
qstr__The_village_has_bee| Köy yağmalandı. Yanmış evlerin arasından geçerken birkaç köylünün kaçıştığını görüyorsun.
qstr__The_village_is_bein| Köy yağmalanıyor.
qstr_No_one_here_seems_to|Burada kimse birliğine katılmaya istekli görünmüyor.
qstr_One_{s3}_volunteers_|Bir {s3} seni izlemek için gönüllü oluyor.
qstr_{reg5}_{s3}_voluntee|{reg5} {s3} seni izlemek için gönüllü oluyor.
qstr_Try_as_you_might_you|Elinizden geleni yapsanız da, haydutları yenemiyorsunuz. Öfkeden kudurmuş bir şekilde, köylüleri cezalandırmak için köyü yerle bir ediyorlar ve yanmakta olan yıkıntıların arasından buradan ayrılıyorlar.
qstr_village|köy
qstr_town|kasaba
qstr_castle|kale
qstr_{s18}_{s0}|{s18}, {s0}
qstr_The_{s17}_has_no_imp|{s17} için hiçbir gelişme yapılmamış.
qstr_The_{s17}_has_the_fo|{s17} için yapılan gelişmeler:{s18}.
qstr_The_assasins_beat_yo|Suikastçiler seni dövüp ölüme terkediyorlar.
qstr_You_have_fallen._The|Düştün. Haydutlar hızlıca vücudunu arayıp bulabildikleri tüm parayı kapıp gecenin karanlığına karışıyorlar. Seni canlı bıraktılar, neredeyse.
qstr_Luckily_some_of_your|Neyse ki dönmeyince bazı yandaşların seni aramaya geliyorlar ve yolun kenarında yatarken buluyorlar. Seni güvenli bir yere götürüp yaralarını sarıyorlar.
qstr_Luckily_some_passing|Neyse ki yoldan geçen bazı kasabalılar seni yolun kenarında buluyorlar ve bir dilenciden fazlası olduğunu farkediyorlar. Seni en yakın hana taşıyıp yaralarını sarıyorlar.
qstr_You_fail_to_steal_an|Hiçbir sığırı kaçırmayı başaramadınız.
qstr_You_drive_away_{reg1|Köyün sürüsünden {reg17} baş sığır kaçırıyorsunuz.
qstr_OiM_Teper_luchshe_{s|{s9} tarafından görülmesen iyi olur.
qstr_OiM_Potop_Loshad_tep|At zapteldildi. Artık onu ait olduğu yere götürme zamanı.
qstr_You_are_at_{s2}.|{s2}'{.e} geldin.
qstr__You_have_successful| Başarıyla içeri sızdın.
qstr___{reg1}_denars_per_| (Geceliği {reg1} taler)
qstr_Moreover_you_earn_{r|Üstüne bir de, kendi üstüne oynadığın zekice bahislerden {reg8} taler kazandın...
qstr_Victory_is_yours!_Yo|Galibiyet senin! Bu turu kazandın ama şimdi sonraki tura hazırlanman gerekiyor.
qstr_You_have_been_bested|Bu kavgada yenildin, ama turnuva hakemi yetenek ve cesaretini alkışlayıp sonraki turda savaşmana izin veriyor.
qstr_{s11}^{s12}|{s11}^{s12}
qstr_You_were_beaten._The|Yenildin. Köylüler başarılarından dolayı yüreklendiler, ancak almalarını istediğin dersi muhtemelen kapamadılar.
qstr_After_beating_your_l|Son rakibini de yendikten sonra, köylülere bu tip saldırılara karşı kendilerini nasıl korumaları gerektiğini anlatıyorsun. Bir dahaki sefere bu deneyimlerini kullanarak daha hazırlıklı olabileceklerini umut ediyorsun.
qstr_The_bandits_are_brok|Haydutlar dağıldı! Hayatta kalıp bilinci yerinde olanlar da kuyruklarını bacaklarının arasına sıkıştırıp, köylüler ve yeni müdafilerinden dehşete düşmüş bir şekilde kaçıyorlar.
qstr_{s1}_s_Ship|{s1}'in Gemisi
qstr_^{s3}_=_{reg1}{s1}|^{s3} = {reg1}{s1}
qstr_^{s3}_=_{reg1}{s2}|^{s3} = {reg1}{s2}
qstr_However_{reg3?You_ar|Ne yazık ki,{reg3? :{s1} }kâr edecek mallar {reg3?bulamıyorsun:bulamıyor.}
qstr_^Buying_{s4}_here_an|^Buradan {s4} alıp {s5}{.de} satmak, mal başına {reg6} taler kâr getirecektir.{s3}
qstr_{reg3?You_find:{s1}_|{reg3?Şunları buluyorsun:{s1} şunları buluyor}:^{s3}
qstr__Continue....|Devam et...
qstr__Ne_hvataet_money_nu|Yeterli paran yok. {reg8} taler gerekiyor.
qstr__Back|Devam et...
qstr__Stoimost_{reg8}_din|Fiyat: {reg9} taler.
qstr__Continue|Devam et...
qstr_{s2}^{reg1}_{s1}_ear|{s2}^{reg1} {s1}, {reg0} tecrübe kazandı.
qstr_{s2}^{s1}_earned_an_|{s2}^{s1}, ek olarak {reg0} tecrübe kazandı.
qstr_^You_earned_{reg0}_e|^{reg0} tecrübe kazandın.{s2}
qstr_The_training_didn_t_|Talim hiç de iyi geçmedi.
qstr_The_training_didn_t_g|Talim pek iyi geçmedi.
qstr_The_training_went_qu|Talim fena geçmedi.
qstr_The_training_went_ve|Talim oldukça iyi geçti.
qstr_The_training_went_pe|Talim mükemmel geçti.
qstr_{s13}_asked_you_to_r|{s13}, en az {reg13} askerle ona rapor vermeni emretti.
qstr_{s13}_ordered_you_to|{s13}, {s14}{.e} yapılan saldırıya katılmanı emretti.
qstr_Find_and_speak_with_|{s4}{.den} {s3} ile konuşup ona bağlılık yeminini sunmalısın.
qstr_you|sen
qstr_OiM_You_ve_failed_to|Köyü korumakta başarısız oldun.
qstr_OiM_You_ve_protected|Düşmanı bozguna uğrattın. Yoluna devam edebilirsin.
qstr_OiM_You_ve_failed_to_|Atı teslim edemedin.
qstr_OiM_You_ve_protected_|Seni takip edenleri atlatmayı başardın. Şimdi bir başkası da atı sahiplenmeye kalkmadan, bir an önce atı teslim etmelisin. 
qstr_OiM_Da_takoe_bivaet_|Böyle fırsat insanın önüne bir kere çıkar.
qstr_OiM_Potop_Pani_osvob|Pani serbest. Geri dönme zamanı.
qstr_OiM_Potop_kshetuskiy|Ahıra gizlice girmelisin.
qstr_OiM_You_ve_failed_to_w|Düşmanın savunmasını aşamadın; savaş kaybedildi.
qstr_OiM_You_ve_got_the_h|Seni takip edenleri atlatmayı başardın. Şimdi bir an önce atı Skrzetuski'ye teslim etmelisin. 
qstr_Kozaki_podnyali_na_n|Kazaklar nöbetçileri alarma geçirdi!
qstr_OIM_getman_heroe_can|Macar Şehri Berghoff hocasından büyük üstada bir rapor. ^^Selamlar, Mösyö! Öğrendiğime göre efsanevi “Kara Gürz”, Rusya'nın en önde gelen ailelerinden birine ait bir yadigarmış. Oleg hanesi efsanesine göre, milattan sonra 12. yüzyılın ortalarında ataları, kahinler diye bilinen pagan rahiplerle gizli bir anlaşma yapmışlar. Kahinlerin halk üzerinde derin bir etkisi varmış ve söylenen o ki prensler de gücü ele geçirmek için bu etkinin peşindelermiş. ^İşte bu da,  kahinlerin Oleg hanesinin prenslerine Kara Gürz'ü, inanılmaz güçleri olan bu silahı verdikleri zaman oluyor. Prensler gürzün saklanması için Kiev yakınlarındaki Kirillovskiy Manastırı'nı inşa ettirmişler. ^^Benzer bir efsane de Zhmuda'nın önde gelen ailelerinden Radzivill'ler için anlatılıyor. Görünen o ki Radzivill ailesinin rahip olan atalarının varlığı, ta Rurik hanesi zamanlarına kadar uzanıyor.
qstr_OIM_getman_heroe_nee|Kitap anlayamadığın eski bir dilde yazılmış. Birinin senin için kitabı çevirmesi lazım.
qstr_OIM_add__pora_nayti_|Arşivlerde uzun saatler geçirdikten sonra, gürzün Radziwill aile kabrinde olması gerektiğini keşfediyorsun. 
qstr_OiM_You_ve_failed_to_wi|Savaşı kaybettin. Muhafızlar seni bağlayıp, zindana attı. 
qstr_OiM_You_ve_wing_the_|Kral tahttan indirildi. 
qstr_OIM_add_getman__Da_z|Radziwill'in gürz için çabalamasının bir sebebi vardı. Gürzü elinde bulunduran büyük ihtimalle tüm kadim ailelerin de desteğini kazanaktı. Bu antik yadigarı bulmayı denemelisin... 
qstr_OIM_add_getman__Knig|Bu kitap bir çevirmen olmadan okunamaz.
qstr_OIM_add_getman__Prik|Düşmana gerçek Kazak'ların nasıl savaştığını göstermenin zamanı geldi.
qstr_OIM_add_getman__Nuzh|Ataman'ın senin için yeni bir görevi var. Onunla buluşmalısın.
qstr_OiM_dmitriy_Teper_ko|Muhafızlar öldüğüne göre, yüzünü tanıyabilecek sadece Çar kaldı. Seni koruyacak güçlü bir hami bulmalısın. 
qstr_OIM_add_getman__Prika|Barabash sana Moskova Çarlığını fethetme emri veriyor.
qstr_OIM_add_getman__Bunt|İsyan kendi kanında boğuldu. Barabash  seni görmek istiyor.
qstr_you_we_lost_the_figh|Savaşı kaybettin. Daha da kötüsü düşmana {reg0} taler ödemek zorundasın.
qstr_you_won_the_fight._A|{reg0} taler kazandın. Aynı zamanda bazı yeni dövüş teknikleri öğrendin.
qstr_you_we_lost_the_fight|Yenildin. Şanslısın ki bir sıyrıkla atlattın.
qstr_you_won_the_fight._An|Dövüşü kazandın ve birkaç yeni numara öğrendin. 
qstr_You_ve_got_wound.._I|Yaralandın. En iyisi biraz dinlenip gücünü toparlaman. 
qstr_oim_the_duel_is_over|Dövüş berabere sonuçlandı. 
qstr_oim_the_duel_is_over.|Kaybettin. Atış becerilerin üzerinde daha fazla çalışmalısın.
qstr_oim_the_duel_is_over._|Tüfekle uzun saatlerce yaptığın talimler işe yaradı. Kazandın!
qstr_You_sought_that_the_|Tavernada akşam yemeğini yerken zengin bir şehirli dikkatini çekti. Biraz da sarhoş olan bu adamın ağır kesesini hafifletmek pek de zor olmayacak gibi...
qstr_There_is_gourds._It_|Tavernada biraz dinlenip bir şeyler yedikten sonra yolculuğuna devam etmeye karar veriyorsun.
qstr_You_lost_the_fight._|Kaybettin. Kavgayı duyan muhafızlar gelip seni yere seriyor...
qstr_The_man_is_dead..._Y|Rakibini öldürdün. Silahını ve kesesindeki paraları al.
qstr_you_were_killed_as_c|Mahkemenin kararı kuşkusuz acımasız -- {playername} cinayet ve soygundan idama mahkum edildi.
qstr_Nu_vow_vostaniye_zak|İsyan sona erdi. Razi'le konuşma zamanı.
qstr_Razin_now_is_the_mar|Razin mareşal oldu.
qstr_OiM_text_for_main_qs|Ulak, kralın seni bizzat görmek istediğini söyledi...
qstr_Viberite_nuzhnuyu_va|Gerekli hizmeti seç.
qstr_Na_daniy_moment_eto_|Bu yerleşim merkezi bomboş. Sokaklarda sadece rüzgarın uğultusu duyuluyor.
qstr_V_vashem_otryade_net|Hiç yoldaşın yok.
qstr_V_vashem_otryade_ime|Grubunda eğitilebilecek yoldaşların var. 
qstr_Prosmotret_spisok_go|İçinde yardımcın bulunan, kuşatma altında olmayan şehirlerin listesini gör. 
qstr_U_vas_net_gorodov_gd|Şu anda yardımcı gönderebileceğin bir yer yok. 
qstr_Vam_nuzhno_poslat_go|Başkentin işgal edildi. Geçici bir başkent seçmelisin.
qstr_Vibor_stolici_proshe|Artık yeni bir başkentin var.
qstr_Vam_nuzhno_vibrat_di|Bir başkentin, ya da başkent ilan edebileceğin başka bir şehrin yok.
qstr_{s5}|{s5}
qstr_{s6}_^{s5}|{s6} ^{s5}
qstr_{s7}|{s7}
qstr_{s8}_^{s7}|{s8} ^{s7}
qstr_Breaking_camp...|Kamp toplanıyor...
qstr_{s65}|{s65}
qstr_Current_wealth:_{reg|Mevcut servetin: {reg1}
qstr_Your_party_is_spotte|Partin {s1} tarafından farkedildi.
qstr_{reg1}_{s1}_{reg2?ha|Gece vakti grubundan {reg1} {s1} kaçtı.
qstr_{s1}_of_{s3}_has_bee|{s3}{.den} {s1} esaretten serbest bırakıldı.
qstr_Building_of_{s0}_in_|{s4}{.de}ki {s0} inşası tamamlandı.
qstr_{s1}_is_no_longer_in|{s1}{.de}ki haydut istilası sonra erdi (gece).
qstr_You_pay_for_accommod|Barınma için ücret ödüyorsun.
qstr__Your_tactics_skill_| Taktik yeteneğin 1 yükseldi.
qstr__Your_persuasion_ski| İkna yeteneğin 1 yükseldi.
qstr__Your_leadership_ski| Liderlik yeteneğin 1 yükseldi.
qstr__Your_intelligence_h| Zekan 1 yükseldi.
qstr__Your_trade_skill_ha| Ticaret yeteneğin1 yükseldi.
qstr__Your_weapon_master_| Silah ustası yeteneğin 1 yükseldi.
qstr__Your_engineer_skill| Mühendislik yeteneğin 1 yükseldi.
qstr_You_have_finished_re|{s1} kitabını okumayı bitirdin.{s2}
qstr_Book_Read|Kitap okundu.
qstr_You_must_follow_{s1}|{s1}'{.i} takip etmelisin!
qstr_You_must_follow_{s1}!|{s1}'{.i} takip etmelisin! Bu son uyarıdır!
qstr_{s1}_is_scouted.|{s1} gözlendi.
qstr_{s1}_has_switched_fr|{s1}, {s2}{.den} {s3}{.e} geçti.
qstr_{s4}_is_in_{s5}|{s4} {s5}'{.de}.
qstr_OiM_Ne_uspeli_otoyti|Sen Kazaklardan uzaklaşamadan mahkum seninle konuşmaya çalışıyor.
qstr_OiM_add_{s2}_joined_|{s2} Zagloba isyanına katıldı!
qstr_{s5}^_{s1}|{s5}^ {s1}
qstr_You_promised_to_help|{s13}'{.e} {s14} tahtını ele geçirmesine yardım etme sözü verdin.
qstr_{s6}_has_joined_your_|{s6} grubuna katıldı.
qstr_{reg65?my_Lady:my_Lo|{reg65?hanımım:lordum}
qstr_{reg65?My_Lady:My_Lo|{reg65?Hanımım:Lordum}
qstr_{reg65?madame:sir}|{reg65?hanımefendi:efendim}
qstr_{reg65?Madame:Sir}|{reg65?Hanımefendi:Efendim}
qstr_Viberite_variant.|Nasıl askerler eğitmemizi istersiniz efendim?
qstr_Seychas_vse_dostupni|Şu anda tüm ehil subaylar acemilerin eğitimiyle meşgul. 
qstr_U_vas_nedostatochno_|Şu anda para kesen tek bir milis asker bile alamayacak kadar hafif! 
qstr_Vot_vse_chto_dostupn|İşte sana teklifim.
qstr_Vot_chto_vam_seychas|Mevcut olanlar:
qstr_Na_daniy_moment_net_|Uygun bir seçenek yok.
qstr_Ya_seychas_zaynuat_p|Üzgünüm ama hala {s1} siparişinle meşgulüm. Tekrar boşa çıkma sürem: {reg2} {reg1?gün:saat}.
qstr_Viberite_zhelayumiy_|Ne bilmek istiyorsun?
qstr_Zdes_esche_net_{s1}.|Burada hala {s1} eksik
qstr_Zdes_uzhe_est_{s1}.|Burada zaten {s1} var
qstr_{reg0?Naynyat:Postro|{reg0?İşe al:İnşa Et}.
qstr_U_vas_zdes_uzhe_post|Şu binalar hali hazırda yapılmış durumda:^
qstr_Zdes_k_tebe_loyalni_|Şehirdeki şu görevler için birilerini atadın:^
qstr_U_vas_nichego_esche_|Şimdilik bu konuda başarıya ulaşamadık.
qstr_It_s_your_money_or_y|Ya paran ya canın, {koçum/güzelim}. Ani hareket yapma, deşeriz.
qstr_Lucky_for_you_you_ca|Şanslısın bugün sağımdan kalktım. Tüm paranızı verirseniz yaşamanıza izin verebilirim.
qstr_This_a_robbery_eh?_I|Bu bi' soygun, ha? Size her şeyinizi vermek için bi' şans veriyorum, yoksa ben ve adamlarım sizi öldürüveririz. Anladın mı?
qstr_we_have_made_very_li|şimdilik çok az ilerleme katettik
qstr_we_have_suceeded_in_|mesafe kaydetmeye başladık, ama yine de yapacak çok işimiz var
qstr_we_have_become_a_sig|dikkate edilmesi gereken bir güç haline geldik ve kazanma şansımız var
qstr_we_are_winning_the_w|savaşı kazanıyoruz, ama düşmanlarımız hala direniyor
qstr_we_are_on_the_verge_|galibiyetin eşiğindeyiz. Kalan düşmanlar bir tehdit oluşturmuyor, ama yine de onları avlamamız gerekiyor
qstr_Yes_{s5}?|Evet, {s5}?
qstr__no_fiefs_|(Hiç mülkü yok)
qstr__fiefs:_{s0}_|(Mülkleri: {s0})
qstr_{playername}_when_we|{playername}, uzun yürüyüşümüze başladığımızda pek az kişinin beni destekleyecek cesareti vardı. Ve çok daha azı davam için hayatlarını riske atmaya istekliydi. Ama sen, kendini düşmanlarımın önüne atmak için bir an bile durmadın. Beraber çok şey geçirdik ve umudu kaybetmeye yaklaştığım zamanlar oldu. Ama Tanrı'nın yardımıyla, alnımız açık çıktık. Artık yanından ayrılma ve hakettiğimi alma vakti geldi. Bu andan itibaren {s3}{.i} yönetme sorumluluğunu taşıyacağım. Hala pek çok engelle karşılaşabiliriz ve bunları aşmak için sana güveniyorum. Ve tabii ki, her zaman en önemli vasalım olarak kalacaksın.
qstr_I_am_{s4}_the_ruler_|Ben {s4}, {s6} hükümdarı
qstr_I_am_{s4}_a_vassal_o|Ben {s4}, {s6} derebeyi.
qstr_{s9}{reg5?_and_the_l|{s9}{reg5? Ve {s8} lordu.:.
qstr_Your_mission_is_comp|Görev tamamlandı. {s9} ordusunu takip etmeye devam etmine istiyor. 
qstr_{s13}_asked_you_to_g|{s13}, {reg3} baş sığır toplamanı ve ona getirmeni emretti.
qstr_{s9}_asked_you_to_sc|{s9}; {s13}, {s14} ve {s15} bölgelerini gözlemeni ve ona rapor etmeni istedi.
qstr_{s16}_and_{s17}|{s16} ve {s17}
qstr_{s16}_{s17}|{s16}, {s17}
qstr_Very_well_I_will_acc|Pekala, seni saflarıma tekrar kabul edeceğim, eğer kutsal yemini tekrar etmeye hazırsan.
qstr_A_pardon_will_only_b|Seni affetmemin tek yolu, bana {s17}'{.i} teslim etmen. Şartlarımı kabul ediyor musun?
qstr_No._There_is_no_chan|Hayır, aramızda barış olma şansı yok. İlgilenmiyorum.
qstr_We_are_not_at_war_wi|Kimseyle savaş durumunda değiliz.
qstr_We_are_at_war_with_{|{s12} ile savaş halindeyiz.
qstr_{s9}_asked_you_to_ta|{s9} senden {s13} için yazdığı bir mesajı götürmeni istiyor. Görevi aldığın sırada {s13}, {s4}'{.de} bulunuyordu.
qstr_{s9}_asked_you_to_tak|{s9} senden {s15}'{.den} {s13}'{.e} bir mesaj götürmeni istiyor. Görevi aldığında, {s13}, {s4}'{.de} bulunuyordu.
qstr_{s11}_asked_you_to_e|{s11} senden {s17}'{.i} {s13}'{.den} {s14}'{.e} kadar refakatçilik yapmanı istiyor.
qstr_{s13}_asked_you_to_d|{s13}, senden ona ait {s15}'{.e} yerleşen haydutlarla ilgilenmeni, ardından kendisine rapor vermeni istedi.
qstr_{s9}_asked_you_to_ra|{s9}, {reg1} {s14} yetiştirip kendisine getirmeni istedi.
qstr_{s9}_asked_you_to_co|{s9}, {s3} vergilerini toplamanı istedi. Topladığın tüm paranın beşte birini sana bırakmayı önerdi
