qstr_Next_Page|Nächste Seite
qstr_Only_you_know_exactl|Nur Ihr selbst wisst, was Euch dazu brachte, Euer altes Leben in den Wind zu schlagen und auf Abenteuersuche zu gehen. Eine schwierige Entscheidung war es jedoch nicht, bei all der heißen Wut in Eurem Herzen. Ihr trachtet nach Rache. Ihr trachtet nach Gerechtigkeit. Nichts kann ungeschehen gemacht werden, und nur Blut begleicht die Schuld ...
qstr_Only_you_know_exactly|Nur Ihr selbst wisst, was Euch dazu brachte, Euer altes Leben in den Wind zu schlagen und auf Abenteuersuche zu gehen. Klar ist, dass Ihr nicht länger bleiben konntet, nicht mit den schmerzhaften Erinnerungen an Eure geliebten Menschen. Vielleicht wird Euer neues Leben Euch vergessen lassen ... oder Euch lehren, den Namen zu ehren, den auszusprechen Ihr nicht mehr ertragt.
qstr_Only_you_know_exactly_|Nur Ihr selbst wisst, was Euch dazu brachte, Euer altes Leben in den Wind zu schlagen und auf Abenteuersuche zu gehen. Es ist nicht einmal klar, wann Euer Heim Euch zum Gefängnis wurde und Euer Alltag so profan, aber Eure früheren Träume von der Wanderschaft sind heute Wirklichkeit. Ob es Euch nun nach fernen Orten verlangte oder nur nach der Freiheit der Straße, Ihr konntet es nicht länger ertragen, am selben Ort zu verharren. So bracht Ihr einfach auf und saht Euch nicht mehr um ...
qstr_Only_you_know_exactly_w|Nur Ihr selbst wisst, was Euch dazu brachte, Euer altes Leben in den Wind zu schlagen und auf Abenteuersuche zu gehen. Ihr wisst auch, dass es keine Rückkehr für Euch gibt. Es gibt nichts, zu dem Ihr zurückkehren könntet. Eure Heimat ist nicht mehr, und Ihr müsst damit leben, dass Ihr ganz allein seid in der großen weiten Welt. Schwimmt oder geht unter ...
qstr_Only_you_know_exactly_wh|Nur Ihr selbst wisst, was Euch dazu brachte, Euer altes Leben in den Wind zu schlagen und auf Abenteuersuche zu gehen. Allen anderen ist freilich deutlich, dass Euch allein Euer persönlicher Vorteil antreibt. Reich wollt Ihr sein, mächtig, angesehen, gefürchtet. Euer Wort soll anderen Befehl sein. Die Menschen sollen Euren Namen kennen und zittern, wenn sie ihn aussprechen. Ihr wollt alles, und Ihr lasst nicht zu, dass Euch jemand aufhält...
qstr_Back_to_the_beginnin|Zurück zum Anfang...
qstr_View_next_segment...|Nächsten Abschnitt anzeigen...
qstr___| -
qstr__+| +
qstr_^No_food:___{reg7}|^Keine Nahrung: -{reg7}
qstr_^Wage_debt:___{reg6}|^Ausstehender Sold: -{reg6}
qstr_Current_party_morale|Aktuelle Truppmoral: {reg5}.^^Aktuelle Modifikatoren der Truppmoral:^^Basismoral: +50^Truppgröße: {s2}{reg1}^Führung: {s3}{reg2}^Nahrungsmittelvielfalt: {s4}{reg3}{s5}{s6}^Jüngste Ereignisse: {s7}{reg4}^GESAMT: {reg5}
qstr_Defending|Verteidigen
qstr_Gathering_army|Armee sammeln
qstr_Besieging_{s11}|{s11} belagern
qstr_Raiding_{s11}|{s11} überfallen
qstr_Attacking_enemies_ar|Feinde um {s11} angreifen
qstr_No_one|Niemand
qstr_{s9}{s10}^Current_st|{s9}{s10}^Aktueller Status: {s11}^Marschall: {s12}^Seit der letzten Offensive: {reg1} Stunden^Maximale Offensivgefolgschaft: {reg2}^^
qstr_Selected_faction_is:|Ausgewählte Fraktion: {s10}^^{s9}
qstr_You_are_currently_re|Ihr lest derzeit {s8}.
qstr_You_are_not_reading_|Ihr lest derzeit keine Bücher.
qstr_none|keine
qstr_{s5}_and_{s6}|{s5} und {s6}
qstr_{s5}_{s6}|{s5}, {s6}
qstr_Renown:_{reg2}.^Hono|Ansehen: {reg2}.^Wertung Ehre: {reg3}.^Freunde: {s8}.^Feinde: {s6}.^{s9}
qstr_Your_estates_are:_{s|Eure Besitztümer: {s8}.^{s9}
qstr_You_are_a_lord_of_{s|Ihr seid ein Adliger aus {s8}.^{s9}
qstr_Current_party_size_l|Aktuelle maximale Truppgröße: {reg5}.^^Aktuelle Modifikatoren der Truppgröße:^^Basisgröße: +{reg4}^Führung: {s2}{reg1}^Charisma: {s3}{reg2}^Ansehen: {s4}{reg3}^GESAMT: {reg5}
qstr_Loyal|Loyalität
qstr_Devoted|Loyalität
qstr_Fond|Freundlichkeit
qstr_Gracious|Freundlichkeit
qstr_Friendly|Unterstützung
qstr_Supportive|Unterstützung
qstr_Favorable|Mitgefühl
qstr_Cooperative|Mitgefühl
qstr_Accepting|Gleichgültigkeit
qstr_Indifferent|Gleichgültigkeit
qstr_Suspicious|Gleichgültigkeit
qstr_Grumbling|Misstrauen
qstr_Hostile|Misstrauen
qstr_Resentful|Abneigung
qstr_Angry|Abneigung
qstr_Hateful|Hass
qstr_Revengeful|Hass
qstr_Vengeful|Feindseligkeit
qstr_{s2}^{s4}:_{reg1}__{|{s2}^{s4}: {reg1} ({s3})
qstr_Your_relation_with_t|Euer Verhältnis mit den Nationen:^{s2}
qstr_V_{s10}_stroitsya_{s|{s11} wird in {s10} erbaut. {reg4} verbleibend = {reg5}
qstr_V_{s10}_postroeno_{s|{s11}: Bau abgeschlossen in {s10}.
qstr_Player_renown_is_inc|Spieleransehen erhöht sich um 100. 
qstr_{reg1}_{s1}_{reg2?ac|{reg1} {s1} {reg2?akzeptieren:akzeptiert} das Angebot.
qstr_No_one_accepts_the_o|Niemand akzeptiert das Angebot.
qstr_You_start_reading_{s|Ihr beginnt, {s2} zu lesen. Nach ein paar Seiten erkennt Ihr, dass Ihr aus diesem Buch eine Menge lernen könnt. Ihr beschließt, es zu behalten und darin zu lesen, wann immer Ihr Zeit findet.
qstr_You_flip_through_the|Ihr blättert durch {s2}, aber findet den Text verwirrend und schwierig. Ihr bemüht Euch zwar, habt jedoch schon bald üble Kopfschmerzen und müsst aufgeben.
qstr_You_paid_{reg3}_of_y|Ihr habt {reg3} von {reg4} Talern an Eure Mannen gezahlt. {reg5} Taler verbleiben Euch.
qstr_Your_debt_to_your_me|Ihr schuldet Euren Mannen mittlerweile {reg3} Taler. Ihr verfügt jedoch nur über {reg4}. Die Differenz von {reg5} Talern verbleibt Euch als Schuld, und die Moral Eures Trupps sinkt.
qstr_This_week_s_wages:_{|Sold dieser Woche: {reg6} Taler^Frühere Schulden: {reg2} Taler^Zahlung gesamt: {reg3} Taler^Aktueller Wohlstand: {reg4} Taler^^{s1}
qstr_Villagers|Dörfler
qstr_You_have_encountered|Ihr seid auf {s1} gestoßen.
qstr_Armiya_protivnika_po|Die feindlichen Truppen haben sich in das Lager zurückgezogen.
qstr_You_have_engaged_{s1|Ihr stolpert über ein Schlachtfeld. {s1} greift {s3} an. Ihr beschließt, {s3} zu helfen.
qstr_You_were_caught_by_{|Ihr wurdet von {s1} überrumpelt, während Eure Truppen {s3} angriffen.
qstr_You_were_victorious!|Ihr habt gesiegt!
qstr_Battle_was_lost._You|Ihr habt die Schlacht verloren. Eure Truppen wurden völlig niedergemacht.
qstr_Your_companions_carr|Eure Gefährten tragen Euch vom Schlachtfeld.
qstr_You_have_defeated_th|Ihr habt den Feind besiegt.
qstr_You_have_retreated_f|Ihr habt Euch aus dem Kampf zurückgezogen.
qstr_^^Ally_Casualties:{s|^^Verluste der Verbündeten:{s0}
qstr_{s1}_of_{s3}_managed|{s1} von {s3} konnten entkommen.
qstr_{s17}|{s17}
qstr__V_gorode_ostalos_{r|{reg0} Kämpfer haben überlebt. Ihr nehmt sie gefangen. Wie wollt Ihr mit ihnen verfahren?
qstr__V_gorode_ostalos_{re|{reg0} Kämpfer haben überlebt. Ihr entlasst sie aus der Gefangenschaft. Möchtet Ihr sie in die Garnison übernehmen?
qstr_Victory_comment._Pla|Kommentar bei Sieg. Der Spieler war allein.
qstr_Ordinary_victory_com|Normaler Kommentar bei Sieg. Der Spieler hat mindestens 40 Prozent der Truppen gestellt.
qstr_Player_participation|Kommentar zu Spielerbeteiligung. Der Feind hatte zu Beginn mindestens 1k Stärke.
qstr_No_victory_comment._|Kommentar bei Niederlage. Die Schlacht war klein, und der Spieler hat weniger als 40 Prozent der alliierten Truppen gestellt.
qstr_Some_of_your_tendons|In der Schlacht wurden einige Eurer Sehnen in Mitleidenschaft gezogen. Ihr verliert 1 Stärkepunkt.
qstr_You_took_a_nasty_wou|Ihr habt eine garstige Wunde davongetragen. Ihr werdet leicht humpeln, auch wenn sie heilt. Ihr verliert 1 Wendigkeitspunkt.
qstr_You_have_trouble_thi|Ihr könnt seit dem Gefecht nicht mehr klar denken, vielleicht durch einen besonders harten Schlag auf den Kopf. Ihr werdet fortan regelmäßig von Kopfschmerzen geplagt. Ihr verliert 1 Intelligenzpunkt.
qstr_Perhaps_I_m_getting_|Vielleicht hat sich das Glück von mir abgewendet ...
qstr_Retirement_is_starti|Der Begriff Ruhestand klingt süßer und süßer.
qstr_No_matter!_I_will_pe|Einerlei! Ich werde es schaffen!
qstr_What_did_I_do_to_des|Womit habe ich das verdient?
qstr_I_suppose_it_ll_make|Immerhin gibt es eine gute Geschichte ab ...
qstr_Player_retreats_from|Spieler zieht sich aus der Schlacht zurück.
qstr_{s9}_wants_you_to_fo|{s9} heißt Euch bis auf weitere Anweisung seiner Armee folgen.
qstr_{s8}_of_{s9}|{s8} von {s9}
qstr__Your_own_banner_fli| Diese Festung gehört Euch.
qstr__You_see_the_banner_| Diese Festung gehört {s7}.
qstr__This_castle_seems_t| Diese Festung gehört offenbar niemandem.
qstr__Your_own_banner_flie| Euer eigenes Banner weht über den Stadttoren.
qstr__You_see_the_banner_o| Diese Stadt gehört {s7}.
qstr__The_townsfolk_here_| Die Städter haben ihre Unabhängigkeit erklärt.
qstr_Zapasov_edi_v_{reg6?|Die Vorräte in der {reg6?Stadt:Festung} reichen noch für {reg3} Tage.
qstr_Zapasov_edi_v_{reg6?g|Die Vorräte in der {reg6?Stadt:Festung} sind aufgebraucht. Die Verteidiger hungern.
qstr_Vi_stroite_lestnici_|Ihr habt mit der Herstellung von Leitern begonnen. {reg9} Stunden verbleiben, bis sie fertig sind.
qstr_Prokladka_podkopa_dl|Es wird noch {reg9} Stunden dauern, bis der Sprengstoff platziert ist.
qstr_Postroika_lestnic_za|Die Vorbereitungen sind abgeschlossen. Ihr könnt diese Stadt jederzeit stürmen.
qstr_Postroika_podkopa_za|Die Vorbereitungen sind abgeschlossen. Ihr könnt diese Stadt jederzeit stürmen.
qstr_As_a_last_defensive_|Als letzte Verteidigungsanstrengung zieht Ihr Euch in die Haupthalle des Bergfrieds zurück. Hier werdet Ihr Euch mit Euren verbliebenen Soldaten in einen verzweifelten Kampf werfen. Werdet Ihr besiegt, habt Ihr keine Rückzugsmöglichkeit mehr.
qstr_You_ve_been_driven_a|Man hat Euch von den Mauern vertrieben, und die Angreifer strömen in die Straßen. Wenn Ihr sie niederkämpfen könnt, mag sich das Schlachtenglück noch wenden.
qstr_You_ve_breached_the_|Die Stadtmauern habt Ihr durchbrochen, doch nun trotzen Euch die Verteidiger in den Straßen! Ihr müsst sie überwinden, ehe Ihr den Bergfried im Herzen der Stadt angreifen könnt.
qstr_The_town_centre_is_y|Das Stadtzentrum ist Euer, doch Ihr müsst die verbliebenen Verteidiger überwinden, ehe Ihr den Sieg beanspruchen könnt.
qstr_The_remaining_defend|Die verbliebenen Verteidiger haben sich zum letzten Gefecht in die Festung zurückgezogen. Ihr müsst hineingelangen und jeden Widerstand zerschmettern.
qstr__kriticheskie|kritisch
qstr__ogromnie|massiv
qstr__visokie|hoch
qstr_However_since_you_ar|Da Ihr nicht zu den eingeschworenen Gefolgsleuten von {s9} gehört, wird {s9} Euch nicht als {Fürst/Fürstin} dieser {reg8?Stadt:Burg} anerkennen.
qstr_The_enemy_has_been_f|Der Feind wurde zum Rückzug gezwungen. Der Angriff ist vorüber, die Belagerung jedoch nicht.
qstr__This_village_and_th| Das Dorf samt Umgebung ist Euer.
qstr__You_remember_that_t| Bedenkt, dass dieses Dorf samt Umgebung {s7} gehört.
qstr__These_lands_belong_| Diese Ländereien gehören niemandem.
qstr__{s3}__{reg9}_.| {s3} ({reg9}).
qstr__The_village_is_infe| Dieses Dorf wird von {reg8} {s35} geplagt.
qstr__The_village_has_bee| Dieses Dorf wurde verwüstet. Als Ihr die niedergebrannten Häuser passiert, stieben eine Handvoll Seelen auseinander.
qstr__The_village_is_bein| Das Dorf wird überfallen.
qstr_No_one_here_seems_to|Offenbar ist niemand gewillt, sich Eurem Trupp anzuschließen.
qstr_One_{s3}_volunteers_|Ein {s3} bietet sich an, Euch zu folgen.
qstr_{reg5}_{s3}_voluntee|{reg5} {s3} bieten sich an, Euch zu folgen.
qstr_Try_as_you_might_you|Was Ihr auch tatet, Ihr konntet die Banditen nicht besiegen. Erbost machen sie das Dorf dem Erdboden gleich, um die Bauern zu bestrafen. Dann kehren sie den brennenden Trümmern den Rücken.
qstr_village|Dorf
qstr_town|Stadt
qstr_castle|Festung
qstr_{s18}_{s0}|{s18}, {s0}
qstr_The_{s17}_has_no_imp|{s17} wurde nicht verbessert.
qstr_The_{s17}_has_the_fo|{s17} wurde verbessert wie folgt: {s18}.
qstr_The_assasins_beat_yo|Die Meuchelmörder schlagen Euch nieder und lassen Euch für tot zurück.
qstr_You_have_fallen._The|Ihr seid gefallen. Die Banditen durchsuchen Euch hastig nach Wertsachen, dann verschwinden sie in die Nacht. Ihr seid noch am Leben -- mehr oder weniger.
qstr_Luckily_some_of_your|Zum Glück kommen ein paar Eurer Gefährten nach Euch suchen, nachdem Ihr ausgeblieben seid. Sie finden Euch am Straßenrand, bringen Euch eilends in Sicherheit und versorgen Eure Wunden.
qstr_Luckily_some_passing|Zum Glück kommen einige Städter vorbei, finden Euch am Straßenrand und erkennen, dass Ihr kein einfacher Bettler seid. Sie tragen Euch in die nächste Herberge und versorgen Eure Wunden.
qstr_You_fail_to_steal_an|Euer Viehdiebstahl schlägt fehl.
qstr_You_drive_away_{reg1|Ihr treibt {reg17} Stück Vieh aus der Dorfherde fort.
qstr_OiM_Teper_luchshe_{s|{s9} kommt Ihr besser nicht unter die Augen.
qstr_OiM_Potop_Loshad_tep|Ihr habt das Pferd an Euch gebracht. Zeit, es hinzubringen, wo es hingehört.
qstr_You_are_at_{s2}.|Ihr seid in {s2}.
qstr__You_have_successful| Ihr habt Euch erfolgreich eingeschlichen.
qstr___{reg1}_denars_per_| ({reg1} Taler pro Nacht)
qstr_Moreover_you_earn_{r|Zudem erhaltet Ihr {reg8} Taler, da Ihr schlauerweise auf Euch selbst gewettet habt ...
qstr_Victory_is_yours!_Yo|Der Sieg ist Euer! Diesen Kampf habt Ihr gewonnen, doch nun müsst Ihr die nächste Runde gewärtigen. 
qstr_You_have_been_bested|In diesem Nahkampf wurdet Ihr überwunden, doch der Zeremonienmeister zollt Euren Fertigkeiten und Eurer Tapferkeit seine Anerkennung. Ihr dürft an der nächsten Runde teilnehmen. 
qstr_{s11}^{s12}|{s11}^{s12}
qstr_You_were_beaten._The|Ihr wurdet besiegt. Die Bauern sind von ihrem Erfolg ermutigt, doch die Lektion, die Ihr ihnen erteilen wolltet, scheint nicht angekommen zu sein ... 
qstr_After_beating_your_l|Nachdem Ihr Euren letzten Gegner geschlagen hab, erklärt Ihr den Bauern, wie sie sich besser gegen solche Angriffe wehren können. Hoffentlich lernen sie aus der Erfahrung und kämpfen beim nächsten Mal umsichtiger.
qstr_The_bandits_are_brok|Die Banditen sind geschlagen! Die, die noch leben und bei Bewusstsein sind, zeigen in Panik vor den Bauern und deren neuem Meister das Hasenpanier.
qstr_{s1}_s_Ship|Schiff von {s1}
qstr_^{s3}_=_{reg1}{s1}|^{s3} = {reg1}{s1}
qstr_^{s3}_=_{reg1}{s2}|^{s3} = {reg1}{s2}
qstr_However_{reg3?You_ar|Doch {reg3?Ihr seid:{s1} ist} nicht in der Lage, profitable Handelsgüter zu finden.
qstr_^Buying_{s4}_here_an|^Kaufte man hier {s4} zur Veräußerung in {s5}, so brächte dies einen Profit von {reg6} Talern pro Stück ein.{s3}
qstr_{reg3?You_find:{s1}_|{reg3?Ihr erfahrt:{s1} erfährt} dies:^{s3}
qstr__Continue....|Weiter...
qstr__Ne_hvataet_money_nu|Nicht genug Geld. {reg8} Taler erforderlich.
qstr__Back|Weiter...
qstr__Stoimost_{reg8}_din|Kosten: {reg9} Taler
qstr__Continue|Weiter...
qstr_{s2}^{reg1}_{s1}_ear|{s2}^{reg1} {s1} hat {reg0} Erfahrung gewonnen.
qstr_{s2}^{s1}_earned_an_|{s2}^{s1} hat {reg0} an zusätzlicher Erfahrung gewonnen.
qstr_^You_earned_{reg0}_e|^Ihr habt {reg0} Erfahrung gewonnen.{s2}
qstr_The_training_didn_t_|Diese Übung ist misslungen.
qstr_The_training_didn_t_g|Diese Übung ist nicht gut gelungen.
qstr_The_training_went_qu|Diese Übung ist einigermaßen gelungen.
qstr_The_training_went_ve|Diese Übung ist gut gelungen.
qstr_The_training_went_pe|Diese Übung ist perfekt gelungen.
qstr_{s13}_asked_you_to_r|{s13} wünscht, dass Ihr Euch mit mindestens {reg13} Truppen meldet.
qstr_{s13}_ordered_you_to|{s13} befahl Euch, am Angriff auf {s14} teilzunehmen.
qstr_Find_and_speak_with_|Findet {s3} von {s4} und sucht das Gespräch, um Euren Treueeid zu leisten.
qstr_you|Ihr
qstr_OiM_You_ve_failed_to|Ihr konntet das Dorf nicht schützen.
qstr_OiM_You_ve_protected|Ihr habt dem Feind gezeigt, was eine Harke ist. Ihr könnt Euren Weg fortsetzen.
qstr_OiM_You_ve_failed_to_|Ihr konntet das Pferd nicht abliefern.
qstr_OiM_You_ve_protected_|Ihr konntet Eure Verfolger abschütteln. Liefert das Pferd so schnell wie möglich ab, ehe jemand anders beschließt, es sich anzueignen.
qstr_OiM_Da_takoe_bivaet_|Eine solche Gelegenheit gibt es nur einmal im Leben.
qstr_OiM_Potop_Pani_osvob|Die Herrin ist frei. Zeit für die Rückkehr.
qstr_OiM_Potop_kshetuskiy|Ihr müsst Euch in die Ställe schleichen.
qstr_OiM_You_ve_failed_to_w|Ihr vermochtet den feindlichen Widerstand nicht zu brechen und habt die Schlacht verloren.
qstr_OiM_You_ve_got_the_h|Ihr konntet Eure Verfolger abschütteln. Liefert das Pferd so schnell wie möglich bei Skrzetuski ab.
qstr_Kozaki_podnyali_na_n|Die Kosaken haben die Wache alarmiert!
qstr_OIM_getman_heroe_can|Bericht des Präzeptors der ungarischen Stadt Berghoff an den Großmeister ^^Gruß Euch, mein Herr! Ich habe erfahren, dass der legendäre Schwarze Streitkolben ein Relikt von einer der größten Herrscherfamilien Russlands ist. Der Familienlegende des Hauses Oleg zufolge schlossen ihre Vorfahren Mitte des XXII. Jahrhunderts unseres Herrn einen geheimen Pakt mit den heidnischen Priestern, den Wahrsagern. Diese Wahrsager beherrschten das gemeine Volk, und über ihren Einfluss trachteten die Prinzen nach der Macht. ^Da gaben die Wahrsager den Prinzen des Hauses Oleg den Schwarzen Streitkolben -- eine Waffe von unglaublicher Macht. Bei Kiew errichteten die Prinzen das Kloster Kirilowski, in dem der Streitkolben anscheinend verwahrt wird. ^^Eine ähnliche Legende gibt es über die Magnaten der Smuda, die Radziwill. Wie sich zeigt, lebten die Priestervorfahren der Radziwill schon zu Zeiten des Hauses Rurik.
qstr_OIM_getman_heroe_nee|Das Buch ist in einer altertümlichen Sprache verfasst, die Ihr nicht versteht. Ihr werdet jemanden brauchen, der es übersetzt.
qstr_OIM_add__pora_nayti_|Nach zahllosen Stunden in den Archiven entdeckt Ihr, dass der Streitkolben sich in der Familiengruft der Radziwills befinden muss.
qstr_OiM_You_ve_failed_to_wi|Ihr habt die Schlacht verloren. Die Wachen haben Euch gefesselt und in den Kerker geworfen.
qstr_OiM_You_ve_wing_the_|Der König wurde entthront.
qstr_OIM_add_getman__Da_z|Radziwill strebte nicht umsonst nach dem Streitkolben. Wer seiner habhaft wird, dem dürfte die Unterstützung aller alten Familien sicher sein. Ihr müsst versuchen, dieses uralte Artefakt zu finden...
qstr_OIM_add_getman__Knig|Ihr könnt das Buch nicht ohne Übersetzer lesen.
qstr_OIM_add_getman__Prik|Zeit, dass die Feinde erfahren, wie echte Kosaken kämpfen.
qstr_OIM_add_getman__Nuzh|Der Hetman hat eine neue Mission für Euch. Ihr solltet ihn aufsuchen.
qstr_OiM_dmitriy_Teper_ko|Nun, da die Kerkerwachen tot sind, kennt nur noch der Zar Euer Antlitz. Ihr solltet Euch einen mächtigen Schutzpatron suchen.
qstr_OIM_add_getman__Prika|Barabasch befiehlt Euch, das Zarenreich Russland zu erobern.
qstr_OIM_add_getman__Bunt|Der Aufstand wurde blutig niedergeschlagen. Barabasch wünscht Euch zu sprechen.
qstr_you_we_lost_the_figh|Ihr habt die Schlacht verloren. Damit nicht genug: Ihr müsst dem Feind {reg0} Taler zahlen.
qstr_you_won_the_fight._A|Ihr habt {reg0} Taler gewonnen. Außerdem habt Ihr ein paar neue Kampftechniken erlernt.
qstr_you_we_lost_the_fight|Ihr wurdet besiegt. Ihr habt Glück, es ist nur eine Fleischwunde.
qstr_you_won_the_fight._An|Ihr habt den Kampf gewonnen und ein paar neue Kniffe gelernt
qstr_You_ve_got_wound.._I|Ihr seid verwundet. Ruht Euch aus und sammelt Eure Kräfte.
qstr_oim_the_duel_is_over|Der Kampf endete unentschieden.
qstr_oim_the_duel_is_over.|Ihr habt verloren. Ihr solltet Eure Schießkünste verbessern.
qstr_oim_the_duel_is_over._|Eure langen Übungsstunden an der Muskete haben sich ausgezahlt. Ihr habt gewonnen!
qstr_You_sought_that_the_|Beim Abendessen in der Taverne bemerkt Ihr einen reichen Städter. Ihr seht, dass er angetrunken ist. Es dürfte nicht schwer sein, ihm die pralle Börse zu erleichtern...
qstr_There_is_gourds._It_|Nach Rast und Mahl in der Taverne beschließt Ihr, Eure Reise fortzusetzen.
qstr_You_lost_the_fight._|Ihr habt verloren. Die Wachen, vom Handgemenge alarmiert, fallen über Euch her...
qstr_The_man_is_dead..._Y|Ihr habt Euren Gegner getötet. Ihr nehmt seine Waffe und etwas Geld aus seiner Börse.
qstr_you_were_killed_as_c|Das Verdikt ist hart -- {Spielername} wird wegen Raubmordes zum Tod durch den Strang verurteilt. 
qstr_Nu_vow_vostaniye_zak|Die Rebellion ist vorüber. Zeit für ein Gespräch mit Razin.
qstr_Razin_now_is_the_mar|Razin ist nun der Marschall.
qstr_OiM_text_for_main_qs|Der Bote sagte, der König selbst wolle Euch sehen...
qstr_Viberite_nuzhnuyu_va|Erforderlichen Dienst auswählen
qstr_Na_daniy_moment_eto_|Das Zentrum dieser Siedlung ist verlassen. Nur der Wind heult durch die leeren Gassen.
qstr_V_vashem_otryade_net|Ihr habt keine Gefährten.
qstr_V_vashem_otryade_ime|Ihr habt Gefährten in Eurem Trupp, die Ihr ausbilden könnt.
qstr_Prosmotret_spisok_go|Seht Euch die Liste der nicht belagerten Städte an, in denen Ihr Helfer habt.
qstr_U_vas_net_gorodov_gd|Ihr habt noch keinen Ort, an den Ihr einen Helfer schicken könntet.
qstr_Vam_nuzhno_poslat_go|Eure Hauptstadt wurde eingenommen. Ihr müsst eine vorläufige Hauptstadt erwählen.
qstr_Vibor_stolici_proshe|Nun habt Ihr eine neue Hauptstadt.
qstr_Vam_nuzhno_vibrat_di|Ihr habt weder eine Hauptstadt noch eine Stadt, die Ihr dazu machen könntet.
qstr_{s5}|{s5}
qstr_{s6}_^{s5}|{s6} ^{s5}
qstr_{s7}|{s7}
qstr_{s8}_^{s7}|{s8} ^{s7}
qstr_Breaking_camp...|Lager wird abgebrochen...
qstr_{s65}|{s65}
qstr_Current_wealth:_{reg|Aktueller Wohlstand: {reg1}
qstr_Your_party_is_spotte|Euer Trupp wird von {s1} entdeckt.
qstr_{reg1}_{s1}_{reg2?ha|{reg1} {s1} {reg2?sind:ist} in der Nacht aus Eurem Trupp entwichen.
qstr_{s1}_of_{s3}_has_bee|{s1} von {s3} wurde aus der Gefangenschaft entlassen.
qstr_Building_of_{s0}_in_|{s0} wurde in {s4} fertiggebaut.
qstr_{s1}_is_no_longer_in|{s1} wird nachts nicht mehr von Banditen geplagt.
qstr_You_pay_for_accommod|Ihr zahlt für Logis.
qstr__Your_tactics_skill_| Eure Taktik-Fertigkeit hat sich um 1 erhöht.
qstr__Your_persuasion_ski| Eure Überzeugungskraft hat sich um 1 erhöht.
qstr__Your_leadership_ski| Eure Führungskraft hat sich um 1 erhöht.
qstr__Your_intelligence_h| Eure Intelligenz hat sich um 1 erhöht.
qstr__Your_trade_skill_ha| Eure Handelsfertigkeit hat sich um 1 erhöht.
qstr__Your_weapon_master_| Eure Waffenmeister-Fertigkeit hat sich um 1 erhöht.
qstr__Your_engineer_skill| Eure Baumeister-Fertigkeit hat sich um 1 erhöht.
qstr_You_have_finished_re|Ihr habt {s1} durchgelesen. {s2}
qstr_Book_Read|Gelesenes Buch
qstr_You_must_follow_{s1}|Ihr müsst {s1} folgen!
qstr_You_must_follow_{s1}!|Ihr müsst {s1} folgen! Dies ist die letzte Warnung!
qstr_{s1}_is_scouted.|{s1} wurde ausgekundschaftet.
qstr_{s1}_has_switched_fr|{s1} hat von {s2} zu {s3} gewechselt.
qstr_{s4}_is_in_{s5}|{s4} ist in {s5}.
qstr_OiM_Ne_uspeli_otoyti|Ehe Ihr Euch von den Kosaken entfernen könnt, versucht der Gefangene, mit Euch zu sprechen.
qstr_OiM_add_{s2}_joined_|{s2} beteiligt sich an Zaglobas Aufstand!
qstr_{s5}^_{s1}|{s5}^ {s1}
qstr_You_promised_to_help|Ihr habt versprochen, {s13} beim Erringen des Throns von {s14} zu helfen.
qstr_{s6}_has_joined_your_|{s6} hat sich Eurem Trupp angeschlossen.
qstr_{reg65?my_Lady:my_Lo|{reg65?meine Fürstin:mein Fürst}
qstr_{reg65?My_Lady:My_Lo|{reg65?meine Fürstin:mein Fürst}
qstr_{reg65?madame:sir}|{reg65?Meine Herrin:Mein Herr}
qstr_{reg65?Madame:Sir}|{reg65?Meine Herrin:Mein Herr}
qstr_Viberite_variant.|Dies kann ich Euch anbieten:
qstr_Seychas_vse_dostupni|Derzeit sind alle fähigen Offiziere mit der Ausbildung von Rekruten beschäftigt.
qstr_U_vas_nedostatochno_|Eure Börse ist zu leicht, um auch nur einen Milizionär anzuheuern!
qstr_Vot_vse_chto_dostupn|Dies kann ich Euch anbieten.
qstr_Vot_chto_vam_seychas|Jetzt verfügbar:
qstr_Na_daniy_moment_net_|Keine Optionen verfügbar.
qstr_Ya_seychas_zaynuat_p|Vergebt mir, doch ich bin noch beschäftigt mit Eurem {s1}-Befehl. Ich bin in {reg2} {reg1?Tagen:Stunden} wieder verfügbar.
qstr_Viberite_zhelayumiy_|Was möchtet Ihr wissen?
qstr_Zdes_esche_net_{s1}.|Diesem Platz fehlt noch etwas: {s1}
qstr_Zdes_uzhe_est_{s1}.|Dieser Platz verfügt bereits über: {s1}
qstr_{reg0?Naynyat:Postro|{reg0?Anheuern:Bauen}.
qstr_U_vas_zdes_uzhe_post|Folgende Gebäude habt Ihr bereits errichtet:^
qstr_Zdes_k_tebe_loyalni_|Ihr habt Mannen zu folgenden Aufgaben in dieser Stadt abgestellt:^
qstr_U_vas_nichego_esche_|Bisher gab es in dieser Hinsicht keine Erfolge.
qstr_It_s_your_money_or_y|Geld oder Leben, {Herr/Herrin}. Keine falsche Bewegung, sonst machen wir Euch nieder.
qstr_Lucky_for_you_you_ca|Euer Glück -- ich habe gute Laune. Gebt uns Eure ganze Barschaft, dann lasse ich Euch vielleicht am Leben.
qstr_This_a_robbery_eh?_I|Herr, dies ist ein Überfall, klar? Ich gebe Euch eine Chance, alles rauszurücken, was Ihr habt. Meine Leute haben sehr scharfe Messer. Verstanden?
qstr_we_have_made_very_li|wir haben bis jetzt kaum Fortschritte gemacht
